"TOA5","PNNL_33","CR1000X","9647","CR1000X.Std.03.01","CPU:Tempest_v3a.CR1X","11799","Terosdata"
"TIMESTAMP","RECORD","Statname","Teros(1,1)","Teros(1,2)","Teros(1,3)","Teros(2,1)","Teros(2,2)","Teros(2,3)","Teros(3,1)","Teros(3,2)","Teros(3,3)","Teros(4,1)","Teros(4,2)","Teros(4,3)","Teros(5,1)","Teros(5,2)","Teros(5,3)","Teros(6,1)","Teros(6,2)","Teros(6,3)","Teros(7,1)","Teros(7,2)","Teros(7,3)","Teros(8,1)","Teros(8,2)","Teros(8,3)","Teros(9,1)","Teros(9,2)","Teros(9,3)","Teros(10,1)","Teros(10,2)","Teros(10,3)","Teros(11,1)","Teros(11,2)","Teros(11,3)","Teros(12,1)","Teros(12,2)","Teros(12,3)","Teros(13,1)","Teros(13,2)","Teros(13,3)","Teros(14,1)","Teros(14,2)","Teros(14,3)","Teros(15,1)","Teros(15,2)","Teros(15,3)","Teros(16,1)","Teros(16,2)","Teros(16,3)","Teros(17,1)","Teros(17,2)","Teros(17,3)","Teros(18,1)","Teros(18,2)","Teros(18,3)","Teros(19,1)","Teros(19,2)","Teros(19,3)","Teros(20,1)","Teros(20,2)","Teros(20,3)","Teros(21,1)","Teros(21,2)","Teros(21,3)","Teros(22,1)","Teros(22,2)","Teros(22,3)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-09-16 12:00:00",12966,"PNNL_33",2526.85,17.3,26,"NAN","NAN","NAN",2585.75,17.5,17,2204,59.7,17,"NAN","NAN","NAN",2555.01,17.3,42,"NAN","NAN","NAN",2426.86,17.8,71,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2519.13,17.3,7,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2540.05,17.7,12,2529.28,19,17,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-09-16 12:15:00",12967,"PNNL_33","NAN","NAN","NAN","NAN","NAN","NAN",2585.7,17.6,16,1681.34,69.6,16,"NAN","NAN","NAN",2556.35,17.3,41,"NAN","NAN","NAN",2426.43,17.8,70,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2519.05,17.3,7,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2539.75,17.8,13,2528.37,19,20,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-09-16 12:30:00",12968,"PNNL_33","NAN","NAN","NAN","NAN","NAN","NAN",2585.55,17.6,17,2185.05,59.8,17,"NAN","NAN","NAN",2553.86,17.3,39,"NAN","NAN","NAN",2425.57,17.8,67,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2518.11,17.4,7,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2539,17.8,13,2528.69,19,18,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-09-16 12:45:00",12969,"PNNL_33","NAN","NAN","NAN","NAN","NAN","NAN",2586.21,17.6,17,1834.08,65.9,15,"NAN","NAN","NAN",2555.78,17.4,40,"NAN","NAN","NAN",2425.96,17.8,68,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2517.58,17.4,6,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2538.48,17.8,13,2528.83,19,21,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-09-16 13:00:00",12970,"PNNL_33","NAN","NAN","NAN","NAN","NAN","NAN",2584.99,17.7,16,1677.5,69.7,16,"NAN","NAN","NAN",2553.27,17.4,45,"NAN","NAN","NAN",2424.36,17.9,70,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2518.44,17.4,7,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2539.87,17.8,14,2528.28,19,18,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-09-16 13:15:00",12971,"PNNL_33","NAN","NAN","NAN","NAN","NAN","NAN",2584.89,17.7,15,1677.21,69.7,15,"NAN","NAN","NAN",2555.44,17.4,42,"NAN","NAN","NAN",2423.27,17.9,66,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2516.55,17.5,7,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2538.38,17.9,13,2528.76,19,18,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-09-16 13:30:00",12972,"PNNL_33","NAN","NAN","NAN","NAN","NAN","NAN",2584.23,17.8,15,1677.83,69.7,15,"NAN","NAN","NAN",2554.61,17.5,41,"NAN","NAN","NAN",2424.96,17.9,67,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2516.31,17.5,7,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2539.1,17.9,13,2529.76,18.9,22,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-09-16 13:45:00",12973,"PNNL_33","NAN","NAN","NAN","NAN","NAN","NAN",2583.06,17.8,15,1686.7,69.4,15,"NAN","NAN","NAN",2554.35,17.5,41,"NAN","NAN","NAN",2421.11,17.9,70,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2516.12,17.6,8,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2538.66,17.9,15,2528.57,18.9,18,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
