Site,Plot,Tag,Extra_tag,Species_code,DBH_cm_2018,State_2018,Date_2018,DBH_cm_2019,State_2019,Date_2019,DBH_cm_2020,State_2020,Date_2020,Notes
SERC,HSME,814,,LITU,51.2,Alive,4/13/2018,51.5,Alive,4/16/2019,52.0,Alive,4/27/2020,
SERC,HSME,815,,COFL,3.3,Alive,4/13/2018,3.5,Alive,4/16/2019,3.5,Alive,4/27/2020,
SERC,HSME,816,,ULRU,17.5,Alive,4/13/2018,17.6,Alive,4/16/2019,17.7,Alive,4/27/2020,
SERC,HSME,817,,LITU,66.1,Alive,4/13/2018,66.6,Alive,4/16/2019,67.3,Alive,4/27/2020,
SERC,HSME,818,,ULRU,10.2,Alive,4/13/2018,10.3,Alive,4/16/2019,10.4,Alive,4/27/2020,
SERC,HSME,819,,FAGR,14.7,Alive,4/13/2018,15.5,Alive,4/16/2019,15.9,Alive,4/27/2020,
SERC,HSME,820,,NYSY,35.3,Alive,4/13/2018,35.4,Alive,4/16/2019,35.5,Alive,4/27/2020,
SERC,HSME,821,,,,Alive,4/13/2018,,Alive,4/16/2019,,Alive,4/27/2020,"Not found, lost tag?"
SERC,HSME,822,,LITU,27.9,Alive,4/13/2018,27.9,Alive,4/16/2019,28.1,Alive,4/27/2020,
SERC,HSME,823,,LITU,35.7,Alive,4/13/2018,35.9,Alive,4/16/2019,36.2,Alive,4/27/2020,
SERC,HSME,824,,FAGR,14.8,Alive,4/13/2018,14.7,Alive,4/16/2019,15.4,Alive,4/27/2020,
SERC,HSME,825,,FAGR,30.8,Alive,4/13/2018,31.2,Alive,4/16/2019,31.5,Alive,4/27/2020,
SERC,HSME,826,,,7.3,Dead,4/13/2018,,Alive,4/16/2019,,Alive,4/27/2020,"Not found, tag fell?; 2020 not found"
SERC,HSME,827,,FAGR,10.2,Alive,4/13/2018,10.2,Alive,4/16/2019,10.4,Alive,4/27/2020,
SERC,HSME,828,,QUMA,23.5,Dead,4/13/2018,23.5,Dead,4/16/2019,23.7,Dead,4/27/2020,
SERC,HSME,829,,QUMA,38.2,Alive,4/13/2018,38.8,Alive,4/16/2019,39.0,Alive,4/27/2020,
SERC,HSME,830,,LITU,59.4,Alive,4/13/2018,59.8,Alive,4/16/2019,60.5,Alive,4/27/2020,
SERC,HSME,831,,LIST,36.2,Alive,4/13/2018,36.4,Alive,4/16/2019,36.2,Alive,4/27/2020,
SERC,HSME,832,,COFL,8.1,Alive,4/13/2018,8,Alive,4/16/2019,8.0,Alive,4/27/2020,
SERC,HSME,833,,LITU,33.4,Alive,4/13/2018,33.3,Alive,4/16/2019,34.0,Alive,4/27/2020,
SERC,HSME,834,,,8.3,Alive,4/13/2018,8.3,Alive,4/16/2019,8.0,Alive,4/27/2020,
SERC,HSME,835,,FAGR,10,Alive,4/13/2018,10.2,Alive,4/16/2019,10.4,Alive,4/27/2020,
SERC,HSME,836,,LITU,43.4,Alive,4/13/2018,43.7,Alive,4/16/2019,43.9,Alive,4/27/2020,
SERC,HSME,837,,LITU,50.1,Alive,4/13/2018,50.4,Alive,4/16/2019,50.6,Alive,4/27/2020,
SERC,HSME,838,,COFL,9.1,Alive,4/13/2018,9.1,Alive,4/16/2019,9.3,Alive,4/27/2020,
SERC,HSME,839,,LITU,34.5,Alive,4/13/2018,34.8,Alive,4/16/2019,35.1,Alive,4/27/2020,
SERC,HSME,840,,CACA,15.1,Alive,4/13/2018,15.2,Alive,4/16/2019,15.2,Alive,4/27/2020,
SERC,HSME,841,,CACA,8.7,Alive,4/13/2018,8.6,Alive,4/16/2019,8.7,Alive,4/27/2020,
SERC,HSME,842,,,7.2,Dead,4/13/2018,7.2,Dead,4/16/2019,7.2,Dead,4/27/2020,
SERC,HSME,843,,LITU,46.3,Alive,4/13/2018,46.4,Alive,4/16/2019,46.9,Alive,4/27/2020,
SERC,HSME,844,,ACRU,12.8,Alive,4/13/2018,12.6,Alive,4/16/2019,,Down,4/27/2020,2020 dead and down
SERC,HSME,845,,CA??,4.5,Alive,4/13/2018,4.5,Alive,4/16/2019,4.5,Alive,4/27/2020,
SERC,HSME,846,,LITU,21.1,Alive,4/13/2018,21.2,Alive,4/16/2019,21.3,Alive,4/27/2020,
SERC,HSME,847,,FAGR,16.4,Alive,4/13/2018,16.5,Alive,4/16/2019,16.7,Alive,4/27/2020,
SERC,HSME,848,,LIST,25.3,Alive,4/13/2018,24.1,Alive,4/16/2019,24.3,Alive,4/27/2020,Check 2018 sheet
SERC,HSME,849,,FAGR,6.1,Alive,4/13/2018,6.3,Alive,4/16/2019,6.5,Alive,4/27/2020,
SERC,HSME,850,,LITU,67.8,Alive,4/13/2018,68.5,Alive,4/16/2019,69.0,Alive,4/27/2020,
SERC,HSME,851,,LITU,11.8,Dead,4/13/2018,11.8,Dead,4/16/2019,11.8,Dead,4/27/2020,
SERC,HSME,852,,,34.4,Alive,4/13/2018,34.7,Dead,4/16/2019,34.7,Dead,4/27/2020,
SERC,HSME,853,,LITU,54.9,Alive,4/13/2018,55.1,Alive,4/16/2019,55.9,Alive,4/27/2020,
SERC,HSME,854,,LIST,18.7,Alive,4/13/2018,18.7,Alive,4/16/2019,18.7,Alive,4/27/2020,
SERC,HSME,855,,COFL,9.7,Alive,4/13/2018,9.6,Alive,4/16/2019,9.7,Alive,4/27/2020,
SERC,HSME,856,,COFL,11.1,Alive,4/13/2018,11,Alive,4/16/2019,11.0,Alive,4/27/2020,
SERC,HSHE,901,,FAGR,59.7,Alive,4/13/2018,59.7,Alive,4/16/2019,57.5,Alive,4/27/2020,"2020 meausured twice, 57.5"
SERC,HSHE,902,,FAGR,25.4,Alive,4/13/2018,24.5,Alive,4/16/2019,25.0,Alive,4/27/2020,
SERC,HSHE,903,,FAGR,,Alive,4/13/2018,,Alive,4/16/2019,,Alive,4/27/2020,"Not found, check 2018 sheet"
SERC,HSHE,904,,FAGR,7.3,Alive,4/13/2018,7.5,Alive,4/16/2019,7.8,Alive,4/27/2020,
SERC,HSHE,905,,LITU,37.6,Alive,4/13/2018,38,Alive,4/16/2019,38.4,Alive,4/27/2020,
SERC,HSHE,906,,LITU,54,Alive,4/13/2018,54.3,Alive,4/16/2019,54.4,Alive,4/27/2020,
SERC,HSHE,907,,LIST,13.6,Alive,4/13/2018,13.6,Alive,4/16/2019,13.7,Alive,4/27/2020,
SERC,HSHE,908,,CA??,13.8,Alive,4/13/2018,13.5,Alive,4/16/2019,13.8,Dead,4/27/2020,
SERC,HSHE,909,,FAGR,4.3,Alive,4/13/2018,4.3,Alive,4/16/2019,4.5,Alive,4/27/2020,
SERC,HSHE,910,,QU??,20.5,Alive,4/13/2018,20.9,Alive,4/16/2019,21.0,Alive,4/27/2020,
SERC,HSHE,911,,FAGR,11.5,Alive,4/13/2018,11.7,Alive,4/16/2019,11.8,Alive,4/27/2020,
SERC,HSHE,912,,ACRU,16.6,Alive,4/13/2018,16.7,Alive,4/16/2019,16.7,Alive,4/27/2020,
SERC,HSHE,913,,FAGR,16.1,Alive,4/13/2018,16.3,Alive,4/16/2019,16.5,Alive,4/27/2020,
SERC,HSHE,914,,,43.5,Alive,4/13/2018,43.9,Alive,4/16/2019,43.6,Dead,4/27/2020,
SERC,HSHE,915,,FAGR,5.2,Alive,4/13/2018,5.4,Alive,4/16/2019,5.5,Alive,4/27/2020,Check 2018 sheet
SERC,HSHE,916,,LIST,43.5,Alive,4/13/2018,43.9,Dead,4/16/2019,43.6,Dead,4/27/2020,
SERC,HSHE,917,,FAGR,11.4,Alive,4/13/2018,11.6,Alive,4/16/2019,11.8,Alive,4/27/2020,
SERC,HSHE,918,,CA??,47.1,Alive,4/13/2018,48.2,Alive,4/16/2019,48.3,Alive,4/27/2020,
SERC,HSHE,919,,CA??,9.1,Dead,4/13/2018,9.1,Dead,4/16/2019,9.1,Dead,4/27/2020,
SERC,HSHE,920,,CA??,6,Alive,4/13/2018,6.1,Alive,4/16/2019,6.1,Alive,4/27/2020,
SERC,HSHE,921,,ACRU,12.4,Alive,4/13/2018,12.4,Alive,4/16/2019,12.4,Alive,4/27/2020,
SERC,HSHE,922,,QURU,54.5,Alive,4/13/2018,54.3,Alive,4/16/2019,54.5,Alive,4/27/2020,
SERC,HSHE,923,,FAGR,9.1,Alive,4/13/2018,9.1,Alive,4/16/2019,9.2,Alive,4/27/2020,
SERC,HSHE,924,,FAGR,10.1,Alive,4/13/2018,10.3,Alive,4/16/2019,10.3,Alive,4/27/2020,
SERC,HSHE,925,,FAGR,23.5,Alive,4/13/2018,24,Alive,4/16/2019,24.3,Alive,4/27/2020,
SERC,HSHE,926,,LITU,35.3,Alive,4/13/2018,35.5,Alive,4/16/2019,35.7,Alive,4/27/2020,
SERC,HSHE,927,,LITU,49,Alive,4/13/2018,49.4,Alive,4/16/2019,49.7,Alive,4/27/2020,
SERC,HSHE,928,,,4.6,Dead,4/13/2018,4.6,Dead,4/16/2019,,Down,4/27/2020,2020 not found
SERC,HSHE,929,,LIST,11,Alive,4/13/2018,10.9,Alive,4/16/2019,11.0,Alive,4/27/2020,
SERC,HSHE,930,,LITU,42,Alive,4/13/2018,42.4,Alive,4/16/2019,42.5,Alive,4/27/2020,
SERC,HSHE,931,,ACRU,33.7,Alive,4/13/2018,33.9,Alive,4/16/2019,34.0,Alive,4/27/2020,
SERC,HSHE,932,,LITU,56.9,Alive,4/13/2018,57.4,Alive,4/16/2019,57.9,Alive,4/27/2020,
SERC,HSHE,933,,FAGR,2.5,Alive,4/13/2018,2.6,Alive,4/16/2019,2.6,Alive,4/27/2020,
SERC,HSHE,934,,FAGR,12.3,Alive,4/13/2018,12.7,Alive,4/16/2019,13.0,Alive,4/27/2020,
SERC,HSHE,935,,QUMA,25.4,Alive,4/13/2018,25.5,Alive,4/16/2019,25.7,Alive,4/27/2020,
SERC,HSHE,936,,FAGR,5.9,Alive,4/13/2018,6,Alive,4/16/2019,6.2,Alive,4/27/2020,
SERC,HSHE,937,,FAGR,2.3,Alive,4/13/2018,2.3,Alive,4/16/2019,2.4,Alive,4/27/2020,
SERC,HSHE,938,,LIST,54.2,Alive,4/13/2018,53.8,Alive,4/16/2019,54.0,Alive,4/27/2020,
SERC,HSHE,939,,FAGR,6.7,Alive,4/13/2018,6.8,Alive,4/16/2019,7.0,Alive,4/27/2020,
SERC,HSHE,940,,QU??,24.8,Alive,4/13/2018,24.9,Alive,4/16/2019,25.2,Alive,4/27/2020,
SERC,HSHE,941,,NYSY,13.4,Alive,4/13/2018,13.4,Alive,4/16/2019,13.3,Alive,4/27/2020,
SERC,HSHE,942,,ACRU,17.3,Alive,4/13/2018,17.2,Alive,4/16/2019,17.3,Alive,4/27/2020,
SERC,HSHE,943,,LIST,42,Alive,4/13/2018,42.3,Alive,4/16/2019,42.3,Alive,4/27/2020,
SERC,HSHE,944,,ULRU,12.8,Alive,4/13/2018,12.5,Alive,4/16/2019,12.9,Alive,4/27/2020,
SERC,HSHE,945,,FAGR,16.1,Alive,4/13/2018,16.3,Alive,4/16/2019,16.6,Alive,4/27/2020,
SERC,HSHE,946,,FAGR,16.4,Alive,4/13/2018,16.7,Alive,4/16/2019,16.6,Alive,4/27/2020,
SERC,HSHE,947,,FAGR,15.6,Alive,4/13/2018,16,Alive,4/16/2019,16.4,Alive,4/27/2020,
SERC,HSHE,948,,QURU,56.6,Alive,4/13/2018,57.2,Alive,4/16/2019,57.9,Alive,4/27/2020,
SERC,HSHE,949,,COFL,6.2,Alive,4/13/2018,6.1,Alive,4/16/2019,6.1,Alive,4/27/2020,
SERC,HSHE,950,,COFL,8.7,Alive,4/13/2018,8.7,Alive,4/16/2019,8.8,Alive,4/27/2020,
SERC,MSLE,401,,NYSY,4.2,Alive,4/13/2018,4.3,Alive,4/25/2019,4.4,Alive,4/20/2020,
SERC,MSLE,402,,FAGR,28.6,Alive,4/13/2018,28.5,Alive,4/25/2019,29.0,Alive,4/20/2020,
SERC,MSLE,403,,ACRU,8.4,Alive,4/13/2018,8.5,Alive,4/25/2019,8.5,Alive,4/20/2020,
SERC,MSLE,404,,FAGR,23.1,Alive,4/13/2018,23.2,Alive,4/25/2019,23.4,Alive,4/20/2020,
SERC,MSLE,405,,QU??,55.6,Alive,4/13/2018,56.1,Alive,4/25/2019,56.2,Alive,4/20/2020,
SERC,MSLE,406,,NYSY,7.2,Alive,4/13/2018,7.3,Alive,4/25/2019,7.2,Alive,4/20/2020,
SERC,MSLE,407,,NYSY,8.3,Alive,4/13/2018,8.4,Alive,4/25/2019,8.2,Alive,4/20/2020,
SERC,MSLE,408,,FAGR,18,Alive,4/13/2018,18.1,Alive,4/25/2019,18.2,Alive,4/20/2020,
SERC,MSLE,409,,QU??,47.2,Alive,4/13/2018,47.1,Alive,4/25/2019,47.4,Alive,4/20/2020,
SERC,MSLE,410,,NYSY,4.9,Alive,4/13/2018,4.9,Alive,4/25/2019,4.9,Alive,4/20/2020,
SERC,MSLE,411,,NYSY,6.9,Alive,4/13/2018,7,Alive,4/25/2019,7.0,Alive,4/20/2020,
SERC,MSLE,412,,NYSY,10.3,Alive,4/13/2018,10.4,Alive,4/25/2019,10.4,Alive,4/20/2020,
SERC,MSLE,413,,ILOP,7.4,Alive,4/13/2018,7.6,Alive,4/25/2019,7.8,Alive,4/20/2020,
SERC,MSLE,414,,ILOP,6.6,Alive,4/13/2018,7,Alive,4/25/2019,7.0,Alive,4/20/2020,
SERC,MSLE,415,,ILOP,6,Alive,4/13/2018,6.1,Alive,4/25/2019,6.1,Alive,4/20/2020,
SERC,MSLE,416,,CA??,20.6,Alive,4/13/2018,20.6,Alive,4/25/2019,20.8,Alive,4/20/2020,
SERC,MSLE,417,,FAGR,32.3,Alive,4/13/2018,32.9,Alive,4/25/2019,33.2,Alive,4/20/2020,
SERC,MSLE,418,,NYSY,14.1,Alive,4/13/2018,14.1,Alive,4/25/2019,14.0,Alive,4/20/2020,
SERC,MSLE,419,,NYSY,5.7,Alive,4/13/2018,5.9,Alive,4/25/2019,5.9,Alive,4/20/2020,
SERC,MSLE,420,,FAGR,16.1,Alive,4/13/2018,16,Alive,4/25/2019,16.0,Alive,4/20/2020,
SERC,MSLE,421,,LIST,42.8,Alive,4/13/2018,42.8,Alive,4/25/2019,42.8,Alive,4/20/2020,
SERC,MSLE,422,,NYSY,7.3,Alive,4/13/2018,7.4,Alive,4/25/2019,7.0,Alive,4/20/2020,
SERC,MSLE,423,,FAGR,22.9,Alive,4/13/2018,23.3,Alive,4/25/2019,23.7,Alive,4/20/2020,
SERC,MSLE,424,,,22.4,Dead,4/13/2018,22.4,Dead,4/25/2019,22.4,Dead,4/20/2020,
SERC,MSLE,425,,FAGR,33.4,Alive,4/13/2018,34.2,Alive,4/25/2019,35.3,Alive,4/20/2020,
SERC,MSLE,426,,NYSY,8.9,Alive,4/13/2018,9.1,Alive,4/25/2019,9.1,Alive,4/20/2020,
SERC,MSLE,427,,LITU,46.7,Alive,4/13/2018,47.2,Alive,4/25/2019,47.7,Alive,4/20/2020,
SERC,MSLE,428,,,42.1,Dead,4/13/2018,,Dead,4/25/2019,,Dead,4/20/2020,2019 and 2020 not found
SERC,MSLE,429,,LIST,57.5,Alive,4/13/2018,57.4,Alive,4/25/2019,57.7,Alive,4/20/2020,
SERC,MSLE,430,,,23.9,Dead,4/13/2018,23.9,Dead,4/25/2019,23.9,Dead,4/20/2020,
SERC,MSLE,431,,FAGR,47.4,Alive,4/13/2018,48.1,Alive,4/25/2019,49.0,Alive,4/20/2020,
SERC,MSLE,432,,NYSY,11,Alive,4/13/2018,11.1,Alive,4/25/2019,11.1,Alive,4/20/2020,
SERC,MSLE,433,,LIST,60.8,Alive,4/13/2018,61,Alive,4/25/2019,61.0,Alive,4/20/2020,
SERC,MSLE,434,,LIST,51.9,Alive,4/13/2018,52.2,Alive,4/25/2019,52.5,Alive,4/20/2020,
SERC,MSLE,435,,FAGR,9.9,Alive,4/13/2018,10.1,Alive,4/25/2019,10.0,Alive,4/20/2020,
SERC,MSLE,436,,FAGR,25.7,Alive,4/13/2018,26.2,Alive,4/25/2019,26.5,Alive,4/20/2020,
SERC,MSLE,437,,NYSY,41,Alive,4/13/2018,41.1,Alive,4/25/2019,41.2,Alive,4/20/2020,
SERC,MSLE,438,,ACRU,14.5,Alive,4/13/2018,14.5,Alive,4/25/2019,14.5,Alive,4/20/2020,
SERC,MSLE,439,,FAGR,3.6,Alive,4/13/2018,3.7,Dead,4/25/2019,3.7,Dead,4/20/2020,
SERC,MSLE,440,,FAGR,3.6,Alive,4/13/2018,4.3,Alive,4/25/2019,4.9,Alive,4/20/2020,
SERC,MSLE,441,,NYSY,34.8,Alive,4/13/2018,35,Alive,4/25/2019,35.2,Alive,4/20/2020,
SERC,MSLE,442,,NYSY,13,Alive,4/13/2018,13.1,Alive,4/25/2019,13.1,Alive,4/20/2020,
SERC,MSLE,443,,FAGR,10.2,Alive,4/13/2018,10.5,Alive,4/25/2019,10.7,Alive,4/20/2020,
SERC,MSLE,444,,CACA,16.8,Alive,4/13/2018,16.9,Alive,4/25/2019,17.0,Alive,4/20/2020,
SERC,MSLE,445,,LIST,40.5,Alive,4/13/2018,40.9,Alive,4/25/2019,41.5,Alive,4/20/2020,
SERC,MSLE,446,,LITU,28.7,Alive,4/13/2018,29.4,Alive,4/25/2019,30.3,Alive,4/20/2020,
SERC,MSLE,447,,CACA,6.5,Alive,4/13/2018,6.6,Alive,4/25/2019,6.6,Alive,4/20/2020,
SERC,MSLE,448,,LIST,62.7,Alive,4/13/2018,62.8,Alive,4/25/2019,63.1,Alive,4/20/2020,
SERC,MSLE,449,,QU??,67.9,Dead,4/13/2018,67.9,Dead,4/25/2019,67.9,Dead,4/20/2020,
SERC,MSLE,450,,FAGR,17.4,Alive,4/13/2018,17.9,Alive,4/25/2019,18.3,Alive,4/20/2020,
SERC,MSME,501,,LITU,24.3,Alive,4/13/2018,24.4,Alive,4/25/2019,24.7,Alive,4/20/2020,
SERC,MSME,502,,ACRU,23.4,Alive,4/13/2018,23.7,Alive,4/25/2019,23.9,Alive,4/20/2020,
SERC,MSME,503,,FAGR,6.6,Alive,4/13/2018,6.7,Alive,4/25/2019,6.7,Alive,4/20/2020,
SERC,MSME,504,,NYSY,10.2,Alive,4/13/2018,10.3,Alive,4/25/2019,10.3,Alive,4/20/2020,
SERC,MSME,505,,FAGR,5.7,Alive,4/13/2018,5.7,Alive,4/25/2019,5.8,Alive,4/20/2020,
SERC,MSME,506,,NYSY,7.6,Alive,4/13/2018,7.6,Alive,4/25/2019,7.6,Alive,4/20/2020,
SERC,MSME,507,,LITU,4,Alive,4/13/2018,4.2,Alive,4/25/2019,4.3,Alive,4/20/2020,
SERC,MSME,508,,ACRU,8.5,Alive,4/13/2018,8.5,Alive,4/25/2019,8.5,Alive,4/20/2020,
SERC,MSME,509,,CA??,33.6,Alive,4/13/2018,33.7,Alive,4/25/2019,33.8,Alive,4/20/2020,
SERC,MSME,510,,CA??,9.5,Alive,4/13/2018,9.5,Alive,4/25/2019,9.4,Alive,4/20/2020,
SERC,MSME,511,,CA??,19.9,Alive,4/13/2018,19.9,Alive,4/25/2019,19.9,Alive,4/20/2020,
SERC,MSME,512,,FAGR,12.2,Alive,4/13/2018,12.3,Alive,4/25/2019,12.5,Alive,4/20/2020,
SERC,MSME,513,,QUAL,56.3,Alive,4/13/2018,56.4,Alive,4/25/2019,56.9,Alive,4/20/2020,
SERC,MSME,514,,QU??,63.8,Alive,4/13/2018,63.6,Alive,4/25/2019,64.0,Alive,4/20/2020,
SERC,MSME,515,,LITU,21.8,Alive,4/13/2018,21.8,Alive,4/25/2019,21.9,Alive,4/20/2020,
SERC,MSME,516,,QU??,72.4,Alive,4/13/2018,73.2,Alive,4/25/2019,74.0,Alive,4/20/2020,
SERC,MSME,517,,FAGR,21.1,Alive,4/13/2018,21.3,Alive,4/25/2019,21.5,Alive,4/20/2020,
SERC,MSME,518,,LITU,52.8,Alive,4/13/2018,53.5,Alive,4/25/2019,54.7,Alive,4/20/2020,
SERC,MSME,519,,FAGR,25.5,Alive,4/13/2018,25.7,Alive,4/25/2019,25.8,Alive,4/20/2020,
