Site,Plot,Tag,Extra_tag,Species_code,DBH_cm_2018,State_2018,Date_2018,DBH_cm_2019,State_2019,Date_2019,DBH_cm_2020,State_2020,Date_2020,Notes
SERC,HSLE,701,,LIST,9.7,Alive,4/13/2018,9.8,Alive,4/16/2019,9.8,Alive,4/27/2020,
SERC,HSLE,702,,NYSY,20.9,Alive,4/13/2018,21,Alive,4/16/2019,21.1,Alive,4/27/2020,
SERC,HSLE,703,,LIST,44.1,Alive,4/13/2018,44.2,Alive,4/16/2019,44.2,Alive,4/27/2020,
SERC,HSLE,704,,LIST,55.5,Alive,4/13/2018,51.5,Alive,4/16/2019,51.5,Alive,4/27/2020,
SERC,HSLE,705,,LIST,44.3,Alive,4/13/2018,44.6,Alive,4/16/2019,45.0,Alive,4/27/2020,
SERC,HSLE,706,,LIST,39.8,Alive,4/13/2018,40,Alive,4/16/2019,39.9,Alive,4/27/2020,
SERC,HSLE,707,,ILOP,8,Alive,4/13/2018,8.4,Alive,4/16/2019,8.9,Alive,4/27/2020,
SERC,HSLE,708,,ACRU,30.9,Dead,4/13/2018,30.9,Dead,4/16/2019,30.9,Dead,4/27/2020,
SERC,HSLE,709,,LIST,34.7,Alive,4/13/2018,34.7,Alive,4/16/2019,34.7,Alive,4/27/2020,
SERC,HSLE,710,,,6.3,Dead,4/13/2018,6.3,Dead,4/16/2019,,Dead,4/27/2020,2020 not found
SERC,HSLE,711,,ACRU,47,Alive,4/13/2018,47.6,Alive,4/16/2019,48.3,Alive,4/27/2020,
SERC,HSLE,712,,LIST,41.3,Alive,4/13/2018,41.2,Alive,4/16/2019,41.3,Alive,4/27/2020,
SERC,HSLE,713,,ACRU,20.9,Alive,4/13/2018,39.5,Alive,4/16/2019,39.7,Alive,4/27/2020,
SERC,HSLE,714,,,8.6,Alive,4/13/2018,8.7,Alive,4/16/2019,9.0,Alive,4/27/2020,
SERC,HSLE,715,,,12.2,Dead,4/13/2018,12.2,Down,4/16/2019,,Down,4/27/2020,
SERC,HSLE,716,,,6,Alive,4/13/2018,6.1,Alive,4/16/2019,6.2,Alive,4/27/2020,
SERC,HSLE,717,,COFL,9.7,Alive,4/13/2018,9.7,Alive,4/16/2019,9.8,Alive,4/27/2020,
SERC,HSLE,718,,ACRU,35.6,Alive,4/13/2018,35.6,Alive,4/16/2019,35.7,Alive,4/27/2020,
SERC,HSLE,719,,ACRU,22.3,Alive,4/13/2018,22.5,Alive,4/16/2019,22.8,Alive,4/27/2020,
SERC,HSLE,720,,NYSY,12,Alive,4/13/2018,12,Alive,4/16/2019,12.0,Alive,4/27/2020,2018 thought dead
SERC,HSLE,721,,NYSY,5.3,Dead,4/13/2018,5.2,Dead,4/16/2019,5.2,Dead,4/27/2020,
SERC,HSLE,722,,,11.8,Alive,4/13/2018,11.8,Alive,4/16/2019,11.8,Alive,4/27/2020,
SERC,HSLE,723,,NYSY,17,Alive,4/13/2018,17,Alive,4/16/2019,17.0,Alive,4/27/2020,
SERC,HSLE,724,,QU??,91.4,Alive,4/13/2018,92.2,Alive,4/16/2019,93.3,Alive,4/27/2020,
SERC,HSLE,725,,QU??,59,Alive,4/13/2018,59.2,Alive,4/16/2019,59.8,Alive,4/27/2020,
SERC,HSLE,726,,ACRU,3.9,Alive,4/13/2018,3.9,Alive,4/16/2019,,Alive,4/27/2020,2020 not found
SERC,HSLE,727,,QU??,8.9,Alive,4/13/2018,9,Alive,4/16/2019,9.2,Alive,4/27/2020,
SERC,HSLE,728,,FAGR,16.1,Alive,4/13/2018,10.3,Alive,4/16/2019,10.5,Alive,4/27/2020,
SERC,HSLE,729,,,13.1,Dead,4/13/2018,13.1,Alive,4/16/2019,,Alive,4/27/2020,2020 not found
SERC,HSLE,730,,LIST,57.3,Alive,4/13/2018,57.3,Alive,4/16/2019,57.5,Alive,4/27/2020,
SERC,HSLE,731,,FAGR,3.7,Alive,4/13/2018,3.8,Alive,4/16/2019,4.0,Alive,4/27/2020,
SERC,HSLE,732,,LIST,35.1,Alive,4/13/2018,35.2,Alive,4/16/2019,35.2,Alive,4/27/2020,
SERC,HSLE,733,,FAGR,4.7,Alive,4/13/2018,4.8,Alive,4/16/2019,5.0,Alive,4/27/2020,
SERC,HSLE,734,,LIST,19.9,Alive,4/13/2018,20.1,Alive,4/16/2019,20.1,Alive,4/27/2020,
SERC,HSLE,735,,FAGR,12.2,Alive,4/13/2018,12.5,Alive,4/16/2019,12.8,Alive,4/27/2020,
SERC,HSLE,736,,QUAL,12.1,Alive,4/13/2018,12,Alive,4/16/2019,11.9,Alive,4/27/2020,
SERC,HSLE,737,,COFL,7.9,Alive,4/13/2018,7.9,Alive,4/16/2019,8.0,Alive,4/27/2020,
SERC,HSLE,738,,LIST,40.5,Alive,4/13/2018,40.7,Alive,4/16/2019,40.6,Alive,4/27/2020,
SERC,HSLE,739,,COFL,9.3,Alive,4/13/2018,9.1,Alive,4/16/2019,9.2,Alive,4/27/2020,
SERC,HSLE,740,,LITU,25.3,Alive,4/13/2018,25.6,Alive,4/16/2019,25.6,Alive,4/27/2020,
SERC,HSLE,741,,,27.7,Dead,4/13/2018,27.7,Dead,4/16/2019,27.7,Dead,4/27/2020,
SERC,HSLE,742,,,,Alive,4/13/2018,,Down,4/16/2019,,Down,4/27/2020,
SERC,HSLE,743,,FAGR,45.4,Alive,4/13/2018,45.5,Alive,4/16/2019,45.8,Alive,4/27/2020,
SERC,HSLE,744,,QUAL,9.5,Alive,4/13/2018,9.5,Alive,4/16/2019,9.5,Alive,4/27/2020,
SERC,HSLE,745,,LIST,26.6,Alive,4/13/2018,26.8,Alive,4/16/2019,26.3,Alive,4/27/2020,
SERC,HSLE,746,,FAGR,15.8,Alive,4/13/2018,16.1,Alive,4/16/2019,16.5,Alive,4/27/2020,
SERC,HSLE,747,,QUAL,11.7,Alive,4/13/2018,11.8,Alive,4/16/2019,11.9,Alive,4/27/2020,
SERC,HSME,801,,QUAL,25,Alive,4/13/2018,25,Alive,4/16/2019,25.2,Alive,4/27/2020,
SERC,HSME,802,,FAGR,45.3,Alive,4/13/2018,45.7,Alive,4/16/2019,46.2,Alive,4/27/2020,
SERC,HSME,803,,LIST,21.7,Alive,4/13/2018,21.7,Alive,4/16/2019,21.8,Alive,4/27/2020,
SERC,HSME,804,,LITU,70.3,Alive,4/13/2018,73.7,Alive,4/16/2019,74.1,Alive,4/27/2020,"2018 incorrect DBH recorded, check original sheet; changed from 20.3 to 70.3"
SERC,HSME,805,,COFL,9.2,Alive,4/13/2018,9.2,Alive,4/16/2019,9.2,Alive,4/27/2020,
SERC,HSME,806,,COFL,7.8,Alive,4/13/2018,7.8,Alive,4/16/2019,7.8,Alive,4/27/2020,
SERC,HSME,807,,COFL,9.8,Alive,4/13/2018,9.7,Alive,4/16/2019,9.7,Alive,4/27/2020,
SERC,HSME,808,,LITU,24.9,Alive,4/13/2018,25,Alive,4/16/2019,25.0,Alive,4/27/2020,
SERC,HSME,809,,FAGR,23.3,Alive,4/13/2018,23.5,Alive,4/16/2019,23.7,Alive,4/27/2020,
SERC,HSME,810,,LIST,35.8,Alive,4/13/2018,36.2,Alive,4/16/2019,35.8,Alive,4/27/2020,
SERC,HSME,811,,COFL,4.6,Dead,4/13/2018,,Alive,4/16/2019,,,4/27/2020,"Check this; 2019 not found, tag fell?; 2020 not found"
SERC,HSME,812,,LITU,64.2,Alive,4/13/2018,64.5,Alive,4/16/2019,65.0,Alive,4/27/2020,
SERC,HSME,813,,CACA,4.5,Alive,4/13/2018,4.5,Alive,4/16/2019,4.6,Alive,4/27/2020,
