Site,Collar,Collar_Offset,
SERC,5,6,
SERC,93,8,
SERC,76,8,
SERC,36,5.5,
SERC,16,9,
SERC,74,9,
SERC,14,5,
SERC,94,9,
SERC,73,8,
SERC,7,6,
SERC,35,6,
SERC,13,7,
SERC,15,7.5,
SERC,96,9,
SERC,34,4,
SERC,75,6.5,
SERC,8,6,
SERC,95,8,
SERC,33,9,
SERC,111,7,
SERC,112,7,
SERC,109,7,
SERC,110,7.5,
SERC,116,8.5,
SERC,114,9.5,
SERC,113,8,
SERC,115,8,
SERC,24,8,
SERC,25,5.5,
SERC,79,6.5,
SERC,9,5.5,
SERC,99,9,
SERC,78,8.5,
SERC,12,5.5,
SERC,100,7.5,
SERC,26,8,
SERC,10,6.5,
SERC,77,7.5,
SERC,97,8.5,
SERC,11,5,
SERC,21,6,
SERC,28,5.5,
SERC,80,9.5,
SERC,23,5.5,
SERC,22,6.5,
SERC,27,6.5,
SERC,98,8,
SERC,118,9,
SERC,119,7,
SERC,120,7,
SERC,117,7,
SERC,123,8,
SERC,122,7,
SERC,124,7,
SERC,121,8,
SERC,57,8,
SERC,88,8,
SERC,106,8,
SERC,44,7,
SERC,56,8,
SERC,54,6.5,
SERC,108,8,
SERC,53,9,
SERC,86,8,
SERC,42,7.5,
SERC,55,5,
SERC,105,7.5,
SERC,43,7,
SERC,58,6.5,
SERC,85,7,
SERC,41,6,
SERC,87,7.5,
SERC,59,6,
SERC,107,7,
SERC,60,7,
SERC,66,7,
SERC,82,7,
SERC,37,9,
SERC,101,8,
SERC,104,7,
SERC,48,9,
SERC,83,6.5,
SERC,47,9,
SERC,39,6,
SERC,81,7.5,
SERC,46,7,
SERC,38,7,
SERC,65,9,
SERC,67,6,
SERC,102,7,
SERC,45,6.5,?
SERC,103,8,
SERC,40,6.5,
SERC,84,8.5,
SERC,68,8.5,
SERC,50,8,
SERC,29,5,
SERC,52,9,
SERC,90,9,
SERC,4,8,
SERC,64,8,
SERC,72,9,
SERC,19,6.5,
SERC,91,9,
SERC,63,8,
SERC,17,6,
SERC,92,8,
SERC,2,9,
SERC,30,5,
SERC,20,7,
SERC,32,9.5,
SERC,69,8.5,
SERC,62,6,
SERC,1,6.5,
SERC,71,7,
SERC,89,7,
SERC,49,8,
SERC,70,8,
SERC,18,8,
SERC,3,6.5,
SERC,31,8,
SERC,61,6.5,
SERC,51,6.5,
SERC,6,6,
