Site,Plot,Collar,Distance_m,Tag,No_tag_species,No_tag_DBH,Date,Notes
SERC,HSME,81,3.9,806,,,6/12/2018,
SERC,HSME,81,3.9,807,,,6/12/2018,
SERC,HSME,81,7,817,,,6/12/2018,
SERC,HSME,81,4.2,816,,,6/12/2018,
SERC,HSME,81,6.8,850,,,6/12/2018,
SERC,HSME,81,7.5,851,,,6/12/2018,
SERC,HSME,81,6.5,849,,,6/12/2018,
SERC,HSME,81,8.5,839,,,6/12/2018,
SERC,HSME,81,3.5,815,,,6/12/2018,
SERC,HSME,81,5.2,814,,,6/12/2018,
SERC,HSME,81,7,813,,,6/12/2018,
SERC,HSME,81,9.1,812,,,6/12/2018,
SERC,HSME,81,7.8,810,,,6/12/2018,
SERC,HSME,81,6.5,809,,,6/12/2018,
SERC,HSME,81,3.2,808,,,6/12/2018,
SERC,HSME,81,8.5,801,,,6/12/2018,
SERC,HSME,81,8.5,802,,,6/12/2018,
SERC,HSME,81,5.6,803,,,6/12/2018,
SERC,HSME,81,5.6,811,,,6/12/2018,
SERC,HSME,81,8.3,804,,,6/12/2018,
SERC,HSHE,88,2.1,931,,,6/12/2018,
SERC,HSHE,88,5.7,932,,,6/12/2018,
SERC,HSHE,88,7,933,,,6/12/2018,
SERC,HSHE,88,7.2,902,,,6/12/2018,
SERC,HSHE,88,1.9,930,,,6/12/2018,
SERC,HSHE,88,6.7,905,,,6/12/2018,
SERC,HSHE,88,7.4,904,,,6/12/2018,
SERC,HSHE,88,9.8,,ACRU,19.2,6/12/2018,
SERC,HSHE,88,7,929,,,6/12/2018,
SERC,HSHE,88,8.4,928,,,6/12/2018,
SERC,HSHE,88,9,927,,,6/12/2018,
SERC,HSHE,88,10,924,,,6/12/2018,
SERC,HSHE,88,9.4,945,,,6/12/2018,
SERC,HSHE,88,3,941,,,6/12/2018,
SERC,HSHE,88,7.2,942,,,6/12/2018,
SERC,HSHE,85,7.9,930,,,7/26/2018,
SERC,HSHE,85,1.8,929,,,7/26/2018,
SERC,HSHE,85,9.6,905,,,7/26/2018,
SERC,HSHE,85,9.4,,?,8.3,7/26/2018,
SERC,HSHE,85,1.8,927,,,7/26/2018,
SERC,HSHE,85,7.6,906,,,7/26/2018,
SERC,HSHE,85,8.5,,TP,52,7/26/2018,
SERC,HSHE,85,3.8,926,,,7/26/2018,
SERC,HSHE,85,6.7,907,,,7/26/2018,
SERC,HSHE,85,9.9,,maple?,14.4,7/26/2018,
SERC,HSHE,85,9.5,919,,,7/26/2018,
SERC,HSHE,85,9.9,918,,,7/26/2018,
SERC,HSHE,85,9.5,922,,,7/26/2018,
SERC,HSHE,85,3,924,,,7/26/2018,
SERC,HSHE,85,4.2,925,,,7/26/2018,
SERC,HSHE,85,5,945,,,7/26/2018,
SERC,HSHE,85,6.8,923,,,7/26/2018,
SERC,HSHE,85,5.7,944,,,7/26/2018,
SERC,HSHE,85,7.6,943,,,7/26/2018,
SERC,HSHE,85,8.2,942,,,7/26/2018,
SERC,HSHE,85,6.9,941,,,7/26/2018,
SERC,HSHE,86,3.7,941,,,7/26/2018,
SERC,HSHE,86,1.9,930,,,7/26/2018,
SERC,HSHE,86,7.7,932,,,7/26/2018,
SERC,HSHE,86,8.9,902,,,7/26/2018,
SERC,HSHE,86,8.7,933,,,7/26/2018,
SERC,HSHE,86,5.5,905,,,7/26/2018,
SERC,HSHE,86,6.1,904,,,7/26/2018,
SERC,HSHE,86,8.2,,maple?,19.7,7/26/2018,
SERC,HSHE,86,8,,?,8.3,7/26/2018,
SERC,HSHE,86,9.2,906,,,7/26/2018,
SERC,HSHE,86,8.9,926,,,7/26/2018,
SERC,HSHE,86,6.6,927,,,7/26/2018,
SERC,HSHE,86,5.8,928,,,7/26/2018,
SERC,HSHE,86,4.6,929,,,7/26/2018,
SERC,HSHE,86,8.2,924,,,7/26/2018,
SERC,HSHE,86,8.8,925,,,7/26/2018,
SERC,HSHE,86,8.8,945,,,7/26/2018,
SERC,HSHE,86,8.8,944,,,7/26/2018,
SERC,HSHE,86,9.4,943,,,7/26/2018,
SERC,HSHE,86,7.8,942,,,7/26/2018,
SERC,HSHE,87,6.9,930,,,7/26/2018,
SERC,HSHE,87,6.2,905,,,7/26/2018,
SERC,HSHE,87,6.5,904,,,7/26/2018,
SERC,HSHE,87,6.7,,maple?,19.7,7/26/2018,
SERC,HSHE,87,4.7,,SG,8.3,7/26/2018,
SERC,HSHE,87,6.4,,?,14.5,7/26/2018,
SERC,HSHE,87,7.1,,TP,49,7/26/2018,
SERC,HSHE,87,3.9,906,,,7/26/2018,
SERC,HSHE,87,5.5,,TP,52,7/26/2018,
SERC,HSHE,87,5.6,907,,,7/26/2018,
SERC,HSHE,87,8.3,,?,13.5,7/26/2018,
SERC,HSHE,87,8.6,,?,6.9,7/26/2018,
SERC,HSHE,87,9.6,,?,5.6,7/26/2018,
SERC,HSHE,87,5,926,,,7/26/2018,
SERC,HSHE,87,3.9,927,,,7/26/2018,
SERC,HSHE,87,3.6,928,,,7/26/2018,
SERC,HSHE,87,3.5,929,,,7/26/2018,
SERC,HSHE,87,7.7,924,,,7/26/2018,
SERC,HSHE,87,8.9,925,,,7/26/2018,
SERC,HSHE,87,8.6,941,,,7/26/2018,
SERC,HSHE,87,10,931,,,7/26/2018,
SERC,HSME,82,3.4,803,,,7/26/2018,
SERC,HSME,82,4.6,802,,,7/26/2018,
SERC,HSME,82,9.2,,?,53.5,7/26/2018,
SERC,HSME,82,3.9,801,,,7/26/2018,
SERC,HSME,82,9.7,938,,,7/26/2018,
SERC,HSME,82,3.3,809,,,7/26/2018,
SERC,HSME,82,8.9,940,,,7/26/2018,
SERC,HSME,82,6.6,810,,,7/26/2018,
SERC,HSME,82,9.1,812,,,7/26/2018,
SERC,HSME,82,7.4,813,,,7/26/2018,
SERC,HSME,82,6,814,,,7/26/2018,
SERC,HSME,82,5.9,815,,,7/26/2018,
SERC,HSME,82,9.7,849,,,7/26/2018,
SERC,HSME,82,1.6,808,,,7/26/2018,
SERC,HSME,82,9.1,816,,,7/26/2018,
SERC,HSME,82,7.6,807,,,7/26/2018,
SERC,HSME,82,7.6,806,,,7/26/2018,
SERC,HSME,82,5.1,811,,,7/26/2018,
SERC,HSME,82,9,804,,,7/26/2018,
SERC,HSME,83,3.3,808,,,7/26/2018,
SERC,HSME,83,6.7,803,,,7/26/2018,
SERC,HSME,83,8.6,802,,,7/26/2018,
SERC,HSME,83,6.9,801,,,7/26/2018,
SERC,HSME,83,4,809,,,7/26/2018,
SERC,HSME,83,4.6,810,,,7/26/2018,
SERC,HSME,83,2.3,814,,,7/26/2018,
SERC,HSME,83,4,813,,,7/26/2018,
SERC,HSME,83,6.2,812,,,7/26/2018,
SERC,HSME,83,2,815,,,7/26/2018,
SERC,HSME,83,5.7,849,,,7/26/2018,
SERC,HSME,83,7.5,839,,,7/26/2018,
SERC,HSME,83,7.3,850,,,7/26/2018,
SERC,HSME,83,7.8,857,,,7/26/2018,
SERC,HSME,83,6.6,816,,,7/26/2018,
SERC,HSME,83,10,817,,,7/26/2018,
SERC,HSME,83,7.2,807,,,7/26/2018,
SERC,HSME,83,7.2,806,,,7/26/2018,
SERC,HSME,83,7.6,811,,,7/26/2018,
SERC,HSME,84,4.2,816,,,7/26/2018,
SERC,HSME,84,8.3,807,,,7/26/2018,
SERC,HSME,84,8.5,806,,,7/26/2018,
SERC,HSME,84,7,815,,,7/26/2018,
SERC,HSME,84,8.9,814,,,7/26/2018,
SERC,HSME,84,9.5,813,,,7/26/2018,
SERC,HSME,84,4.6,849,,,7/26/2018,
SERC,HSME,84,2.7,850,,,7/26/2018,
