Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	V1_IV	V2_IV	
* 1	2020-06-19 16:19:18	1		5.42351	38	-0.592859			
* 2	2020-06-19 16:20:43	2		4.91815	38	-0.544444			
* 3	2020-06-19 16:22:30	1		3.72869	40	-0.505014			
* 4	2020-06-19 16:23:55	2		3.12823	40	-0.506658			
* 5	2020-06-19 16:26:26	1		14.513	41	-0.857014			
* 6	2020-06-19 16:27:51	2		8.51895	41	-0.802696			
* 7	2020-06-19 16:29:29	1		5.20186	42	-0.660029			
* 8	2020-06-19 16:30:54	2		4.97106	42	-0.648064			
* 9	2020-06-19 16:33:14	1		4.31713	44	-0.367063			
* 10	2020-06-19 16:34:39	2		3.78216	44	-0.368908			
* 11	2020-06-19 16:38:04	1		11.103	16	-0.570464			
* 12	2020-06-19 16:39:30	2		9.42396	16	-0.527418			
* 13	2020-06-19 16:41:19	1		6.68708	15b	-0.883851			
* 14	2020-06-19 16:42:44	2		5.92632	15b	-0.788798			
* 15	2020-06-19 16:44:31	1		10.0477	14b	-0.778921			
* 16	2020-06-19 16:45:57	2		7.36619	14b	-0.609171			
* 17	2020-06-19 16:47:37	1		15.5893	13b	-1.76018			
* 18	2020-06-19 16:49:02	2		11.2181	13b	-1.548			
