Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2020-05-07 09:00:09	1		3.12266	4	-0.645278	
* 2	2020-05-07 09:01:35	2		3.46948	4	-0.566064	
* 3	2020-05-07 09:03:22	1		2.71689	2	-0.522968	
* 4	2020-05-07 09:04:47	2		2.85861	2	-0.443376	
* 5	2020-05-07 09:06:45	1		2.1105	3	-0.441173	
* 6	2020-05-07 09:08:11	2		1.63829	3	-0.400421	
* 7	2020-05-07 09:09:58	1		4.69019	1	-0.686216	
* 8	2020-05-07 09:11:23	2		3.06907	1	-0.566612	
* 9	2020-05-07 09:13:22	1		3.02671	5	-0.710413	
* 10	2020-05-07 09:14:48	2		2.85953	5	-0.682673	
* 11	2020-05-07 09:16:35	1		2.70786	8	-1.46182	
* 12	2020-05-07 09:18:01	2		2.54927	8	-1.36039	
* 13	2020-05-07 09:19:53	1		2.36055	7	-0.517026	
* 14	2020-05-07 09:21:19	2		2.50214	7	-0.569058	
* 15	2020-05-07 09:23:02	1		3.35981	6	-0.568864	
* 16	2020-05-07 09:24:28	2		0	6	0	
* 17	2020-05-07 09:26:37	1		4.04328	9	-0.33817	
* 18	2020-05-07 09:28:03	2		0	9	0	
* 19	2020-05-07 09:29:39	1		0	11	0	
* 20	2020-05-07 09:31:04	2		1.6595	11	-0.241631	
* 21	2020-05-07 09:32:58	1		2.45221	12	-0.249238	
* 22	2020-05-07 09:34:25	2		2.10781	12	-0.243281	
* 23	2020-05-07 09:36:19	1		2.47439	10	-0.17355	
* 24	2020-05-07 09:37:45	2		2.20898	10	-0.218464	
* 25	2020-05-07 09:42:07	1		1.96778	18	-0.449219	
* 26	2020-05-07 09:43:33	2		1.91618	18	-0.429667	
* 27	2020-05-07 09:45:17	1		3.47827	17	-0.496701	
* 28	2020-05-07 09:46:43	2		3.56645	17	-2.025	
* 29	2020-05-07 09:48:36	1		2.82479	20	-0.370702	
* 30	2020-05-07 09:50:02	2		2.32249	20	-0.307557	
* 31	2020-05-07 09:51:43	1		0	19	0	
* 32	2020-05-07 09:53:08	2		1.15673	19	-0.222274	
* 33	2020-05-07 09:55:12	1		1.59477	22	-0.14667	
* 34	2020-05-07 09:56:38	2		1.82261	22	-0.268368	
* 35	2020-05-07 09:58:22	1		3.43769	23	-0.292735	
* 36	2020-05-07 09:59:48	2		2.2735	23	-0.278036	
* 37	2020-05-07 10:01:37	1		2.04647	24	-0.315355	
* 38	2020-05-07 10:03:02	2		2.51757	24	-0.343237	
* 39	2020-05-07 10:05:04	1		3.32736	21	-0.425638	
* 40	2020-05-07 10:06:29	2		0	21	0	
* 41	2020-05-07 10:09:34	1		1.44338	26	-0.23512	
* 42	2020-05-07 10:11:01	2		1.59715	26	-0.1821	
* 43	2020-05-07 10:12:40	1		3.77873	28	-0.13626	
* 44	2020-05-07 10:14:06	2		2.86844	28	-0.0811377	
* 45	2020-05-07 10:16:24	1		1.43784	25	-0.569007	
* 46	2020-05-07 10:17:50	2		1.91978	25	-0.158595	
* 47	2020-05-07 10:19:47	1		6.44524	27	-0.349484	
* 48	2020-05-07 10:21:13	2		3.7203	27	-0.16744	
* 49	2020-05-07 10:24:53	1		2.81572	34	-0.137332	
* 50	2020-05-07 10:26:19	2		1.96031	34	-0.155962	
* 51	2020-05-07 10:28:07	1		1.76438	35	-0.21029	
* 52	2020-05-07 10:29:33	2		1.74385	35	-0.194171	
* 53	2020-05-07 10:31:29	1		2.27604	36	-0.146103	
* 54	2020-05-07 10:32:55	2		2.19499	36	-0.111489	
* 55	2020-05-07 10:35:08	1		1.86442	33	-0.117534	
* 56	2020-05-07 10:36:34	2		1.68394	33	-0.100148	
* 57	2020-05-07 10:39:12	1		0.625647	40	-0.0697364	
* 58	2020-05-07 10:40:38	2		0.638941	40	-0.0560379	
* 59	2020-05-07 10:42:25	1		3.47711	38	-0.165888	
* 60	2020-05-07 10:43:51	2		1.69085	38	-0.0654549	
* 61	2020-05-07 10:45:44	1		1.90469	39	-0.226789	
* 62	2020-05-07 10:47:10	2		1.36325	39	-0.00481513	
* 63	2020-05-07 10:49:03	1		1.9058	37	-0.106803	
* 64	2020-05-07 10:50:28	2		1.69456	37	-0.0390825	
* 65	2020-05-07 10:53:12	1		6.06208	45	-0.174983	
* 66	2020-05-07 10:54:37	2		0	45	0	
* 67	2020-05-07 10:56:26	1		4.80803	46	-0.568155	
* 68	2020-05-07 10:57:51	2		5.67922	46	-1.22478	
* 69	2020-05-07 10:59:38	1		2.06119	48	-0.201833	
* 70	2020-05-07 11:01:04	2		3.01572	48	-3.09321	
* 71	2020-05-07 11:02:52	1		2.98143	47	-0.262743	
* 72	2020-05-07 11:04:17	2		0	47	0	
