Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	V1_IV	V2_IV	
* 1	2020-07-08 09:04:47	1		0	48	0			
* 2	2020-07-08 09:06:13	2		3.6298	48	-0.106991			
* 3	2020-07-08 09:07:54	1		4.22454	47	-0.0984876			
* 4	2020-07-08 09:09:20	2		3.00737	47	-0.309795			
* 5	2020-07-08 09:10:59	1		3.46718	46	-0.153525			
* 6	2020-07-08 09:12:24	2		3.72681	46	-0.218531			
* 7	2020-07-08 09:14:01	1		4.50704	45	-0.0748818			
* 8	2020-07-08 09:15:27	2		4.06474	45	-0.0893556			
* 9	2020-07-08 09:17:24	1		6.75535	42	-0.433913			
* 10	2020-07-08 09:18:50	2		6.22744	42	-1.43057			
* 11	2020-07-08 09:20:22	1		3.70371	44	-0.210864			
* 12	2020-07-08 09:21:48	2		3.74217	44	-0.199161			
* 13	2020-07-08 09:23:35	1		13.509	41	-0.546373			
* 14	2020-07-08 09:25:01	2		7.66445	41	-0.528447			
* 15	2020-07-08 09:27:12	1		4.25844	40	-0.206413			
* 16	2020-07-08 09:28:38	2		4.35537	40	-0.226674			
* 17	2020-07-08 09:30:26	1		4.11594	38	-0.22511			
* 18	2020-07-08 09:31:52	2		4.55166	38	-0.276079			
* 19	2020-07-08 09:33:44	1		6.56572	39	-0.291238			
* 20	2020-07-08 09:35:10	2		6.66799	39	-0.227919			
* 21	2020-07-08 09:43:03	1		7.01408	37	-0.310667			
* 22	2020-07-08 09:44:28	2		6.68573	37	-0.268331			
* 23	2020-07-08 09:46:14	1		0	33	0			
* 24	2020-07-08 09:47:40	2		5.38927	33	-2.27278			
* 25	2020-07-08 09:49:15	1		3.23438	35	-0.0223752			
* 26	2020-07-08 09:50:40	2		2.67012	35	-6.95278e-05			
* 27	2020-07-08 09:52:20	1		4.27896	34	-1.30705			
* 28	2020-07-08 09:53:46	2		3.58444	34	-0.1961			
* 29	2020-07-08 09:55:20	1		0	36	0			
* 30	2020-07-08 09:56:45	2		3.75443	36	-0.193155			
* 31	2020-07-08 09:58:37	1		3.44693	31	0.0644261			
* 32	2020-07-08 10:00:03	2		3.01174	31	0.195854			
* 33	2020-07-08 10:01:36	1		2.08693	32	-0.20726			
* 34	2020-07-08 10:03:02	2		0	32	0			
* 35	2020-07-08 10:04:43	1		0	29	0			
* 36	2020-07-08 10:06:08	2		7.61896	29	-0.318636			
* 37	2020-07-08 10:07:47	1		5.11073	30	-0.0924459			
* 38	2020-07-08 10:09:12	2		4.11844	30	-0.0996351			
* 39	2020-07-08 10:10:58	1		3.87452	27	153.588			
* 40	2020-07-08 10:12:24	2		2.91458	27	-38.3288			
* 41	2020-07-08 10:15:21	1		5.39001	26	-0.161809			
* 42	2020-07-08 10:16:47	2		0	26	0			
* 43	2020-07-08 10:18:42	1		3.13171	28	-1.0451			
* 44	2020-07-08 10:20:08	2		2.95817	28	-0.30059			
* 45	2020-07-08 10:21:47	1		5.90127	25	-0.336865			
* 46	2020-07-08 10:23:12	2		5.77864	25	-0.353069			
* 47	2020-07-08 10:25:08	1		6.69593	23	-0.238364			
* 48	2020-07-08 10:26:33	2		5.99019	23	-0.700304			
* 49	2020-07-08 10:28:15	1		5.94061	22	-0.237427			
* 50	2020-07-08 10:29:39	2		4.45329	22	-1.88147			
* 51	2020-07-08 10:31:20	1		7.1468	21	-0.512334			
* 52	2020-07-08 10:32:45	2		7.06565	21	-0.521988			
* 53	2020-07-08 10:34:27	1		4.95458	24	-0.259257			
* 54	2020-07-08 10:35:52	2		0	24	0			
* 55	2020-07-08 10:37:48	1		2.24601	19	-0.0749542			
* 56	2020-07-08 10:39:13	2		0	19	0			
* 57	2020-07-08 10:40:47	1		7.27449	20	-0.474333			
* 58	2020-07-08 10:42:12	2		6.21438	20	-0.397121			
* 59	2020-07-08 10:43:46	1		4.43478	18	-2.19412			
* 60	2020-07-08 10:45:11	2		4.16575	18	-0.377147			
* 61	2020-07-08 10:46:46	1		12.7695	17	-2.18082			
* 62	2020-07-08 10:48:11	2		10.2824	17	-0.937399			
* 63	2020-07-08 10:51:19	1		6.64092	15	-0.588483			
* 64	2020-07-08 10:52:45	2		5.38407	15	-0.498704			
* 65	2020-07-08 10:54:28	1		8.43177	16	-0.299034			
* 66	2020-07-08 10:55:54	2		6.92734	16	-7.47874			
* 67	2020-07-08 10:57:29	1		13.7149	14	-0.583929			
* 68	2020-07-08 10:58:55	2		8.62728	14	-0.411124			
* 69	2020-07-08 11:00:58	1		2.12737	10	-0.116787			
* 70	2020-07-08 11:02:24	2		2.30258	10	-0.0108797			
* 71	2020-07-08 11:04:00	1		6.34234	12	0.00419766			
* 72	2020-07-08 11:05:26	2		5.29846	12	-0.0495631			
* 73	2020-07-08 11:07:19	1		10.3095	9	-0.414761			
* 74	2020-07-08 11:08:46	2		7.62995	9	-0.404102			
* 75	2020-07-08 11:10:22	1		4.16053	11	-0.119178			
* 76	2020-07-08 11:11:49	2		4.05407	11	-0.140956			
* 77	2020-07-08 11:13:42	1		10.7667	5	-1.41369			
* 78	2020-07-08 11:15:09	2		9.67038	5	-1.44299			
* 79	2020-07-08 11:16:58	1		7.93744	8	-1.10746			
* 80	2020-07-08 11:18:23	2		6.86965	8	-1.05329			
* 81	2020-07-08 11:20:16	1		7.03041	7	-0.572295			
* 82	2020-07-08 11:21:42	2		6.1298	7	-0.51077			
* 83	2020-07-08 11:23:19	1		9.30325	6	-0.660003			
* 84	2020-07-08 11:24:45	2		8.22343	6	-0.588359			
* 85	2020-07-08 11:26:46	1		16.035	1	-1.29388			
* 86	2020-07-08 11:28:11	2		0	1	0			
* 87	2020-07-08 11:29:45	1		6.60993	3	-0.347984			
* 88	2020-07-08 11:31:10	2		5.62211	3	-0.323942			
* 89	2020-07-08 11:32:46	1		9.14234	2	-0.583565			
* 90	2020-07-08 11:34:12	2		6.54543	2	-0.53697			
* 91	2020-07-08 11:35:49	1		7.56852	4	-0.684805			
* 92	2020-07-08 11:37:16	2		6.85559	4	-0.678677			
