Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2020-04-15 14:14:06	1		2.01565	2	-0.485292	
* 2	2020-04-15 14:15:31	2		0	2	0	
* 3	2020-04-15 14:17:28	1		1.60509	3	-0.798907	
* 4	2020-04-15 14:18:54	2		1.64386	3	-0.66788	
* 5	2020-04-15 14:20:38	1		1.20333	4	-0.392154	
* 6	2020-04-15 14:22:03	2		1.25653	4	-0.495932	
* 7	2020-04-15 14:23:44	1		2.02593	5	-0.672753	
* 8	2020-04-15 14:25:09	2		2.04774	5	-0.686026	
* 9	2020-04-15 14:26:53	1		2.32332	6	-0.53996	
* 10	2020-04-15 14:28:20	2		2.15237	6	-0.525482	
* 11	2020-04-15 14:29:59	1		2.34852	7	-0.524745	
* 12	2020-04-15 14:31:25	2		2.31765	7	-0.490193	
* 13	2020-04-15 14:33:02	1		1.69151	8	-0.582625	
* 14	2020-04-15 14:34:27	2		1.62395	8	-0.542417	
* 15	2020-04-15 14:36:09	1		1.84861	9	-1.11129	
* 16	2020-04-15 14:37:35	2		2.11188	9	-1.03945	
* 17	2020-04-15 14:39:20	1		2.48552	10	-0.250732	
* 18	2020-04-15 14:40:45	2		1.96583	10	-0.204077	
* 19	2020-04-15 14:42:20	1		1.82875	11	-0.167843	
* 20	2020-04-15 14:43:45	2		2.15518	11	-0.149853	
* 21	2020-04-15 14:45:26	1		0.48315	12	-1.23533	
* 22	2020-04-15 14:46:51	2		0.879646	12	-0.0784694	
* 23	2020-04-15 14:48:33	1		1.50523	13	-0.246331	
* 24	2020-04-15 14:49:59	2		1.92225	13	-0.293926	
* 25	2020-04-15 14:51:43	1		2.12593	14	-0.419476	
* 26	2020-04-15 14:53:09	2		1.86426	14	-0.475633	
* 27	2020-04-15 14:54:45	1		1.86552	15	-0.418482	
* 28	2020-04-15 14:56:11	2		2.07243	15	-0.434503	
* 29	2020-04-15 15:01:41	1		1.28496	16	-0.295951	
* 30	2020-04-15 15:03:07	2		0	16	0	
* 31	2020-04-15 15:10:07	1		2.17713	17	-0.33021	
* 32	2020-04-15 15:11:33	2		2.53041	17	-0.323121	
* 33	2020-04-15 15:13:35	1		1.36468	18	-0.500908	
* 34	2020-04-15 15:15:01	2		1.57598	18	-0.469858	
* 35	2020-04-15 15:17:09	1		1.81206	19	-0.195332	
* 36	2020-04-15 15:18:34	2		0.827521	19	-0.179209	
* 37	2020-04-15 15:20:28	1		0	20	0	
* 38	2020-04-15 15:21:54	2		1.80322	20	-0.154845	
* 39	2020-04-15 15:23:54	1		3.12681	21	-0.83527	
* 40	2020-04-15 15:25:19	2		2.07142	21	-0.438518	
* 41	2020-04-15 15:27:11	1		2.31656	22	-0.17766	
* 42	2020-04-15 15:28:36	2		1.49912	22	-0.186841	
* 43	2020-04-15 15:30:33	1		1.14844	23	-0.453353	
* 44	2020-04-15 15:31:58	2		1.14953	23	-0.11334	
* 45	2020-04-15 15:35:15	1		1.85282	24	-0.479517	
* 46	2020-04-15 15:36:40	2		1.49286	24	-0.202934	
* 47	2020-04-15 15:38:42	1		1.29523	29	-0.0568774	
* 48	2020-04-15 15:40:08	2		1.16488	29	-0.0504677	
* 49	2020-04-15 15:48:43	1		0.744988	30	-0.0526556	
* 50	2020-04-15 15:50:08	2		0.769858	30	-0.0307855	
* 51	2020-04-15 15:51:46	1		0.811124	31	-0.0376057	
* 52	2020-04-15 15:53:11	2		0.616388	31	-0.0104334	
* 53	2020-04-15 15:54:48	1		0.925862	32	-0.336887	
* 54	2020-04-15 15:56:14	2		1.15437	32	-0.0916016	
* 55	2020-04-15 15:58:37	1		1.01822	33	-0.0921007	
* 56	2020-04-15 16:00:02	2		1.13558	33	-0.0594457	
* 57	2020-04-15 16:01:42	1		1.45482	34	-0.152674	
* 58	2020-04-15 16:03:07	2		1.34494	34	-0.142613	
* 59	2020-04-15 16:04:50	1		1.12368	35	-0.19278	
* 60	2020-04-15 16:06:16	2		1.46481	35	-0.109721	
* 61	2020-04-15 16:07:55	1		0	36	0	
* 62	2020-04-15 16:09:20	2		1.3352	36	-0.105678	
* 63	2020-04-15 16:11:14	1		1.35753	37	-0.0692577	
* 64	2020-04-15 16:12:39	2		1.19397	37	-0.0107198	
* 65	2020-04-15 16:14:22	1		0	38	0	
* 66	2020-04-15 16:15:48	2		1.16433	38	-0.129549	
* 67	2020-04-15 16:18:29	1		1.79409	39	-0.0446897	
* 68	2020-04-15 16:19:55	2		1.2169	39	-0.0432252	
* 69	2020-04-15 16:21:52	1		0.732087	40	-0.0643966	
* 70	2020-04-15 16:23:18	2		0.561742	40	-0.0700404	
* 71	2020-04-15 16:25:02	1		2.3662	41	-0.217396	
* 72	2020-04-15 16:26:28	2		0	41	0	
* 73	2020-04-15 16:28:04	1		1.625	42	-0.466883	
* 74	2020-04-15 16:29:29	2		1.50525	42	-0.483301	
* 75	2020-04-15 16:31:08	1		0.964651	43	-0.0633953	
* 76	2020-04-15 16:32:34	2		0.859798	43	-0.298586	
* 77	2020-04-15 16:34:52	1		1.10713	44	-0.335828	
* 78	2020-04-15 16:36:17	2		1.42316	44	-0.325754	
* 79	2020-04-15 16:38:05	1		1.66629	45	-0.246509	
* 80	2020-04-15 16:39:30	2		0	45	0	
* 81	2020-04-15 16:41:05	1		3.02008	46	-0.611252	
* 82	2020-04-15 16:42:31	2		2.52851	46	-0.581822	
* 83	2020-04-15 16:44:11	1		1.93238	47	-0.343591	
* 84	2020-04-15 16:45:36	2		1.38447	47	-0.345338	
* 85	2020-04-15 16:47:09	1		0	48	0	
* 86	2020-04-15 16:48:35	2		1.98418	48	-0.2955	
* 87	2020-04-15 16:51:35	1		0	25	0	
* 88	2020-04-15 16:53:01	2		3.27774	25	-0.388665	
* 89	2020-04-15 16:55:00	1		1.23159	26	0.0175234	
* 90	2020-04-15 16:56:25	2		0.906391	26	-0.00331363	
* 91	2020-04-15 16:58:22	1		1.53323	27	-0.0915111	
* 92	2020-04-15 16:59:47	2		1.34055	27	-0.0685192	
* 93	2020-04-15 17:03:12	1		2.35649	28	-0.445472	
* 94	2020-04-15 17:04:37	2		2.14711	28	-0.122199	
