Plot,Grid Square,ID,Depth (cm)
Freshwater,C3,1,5-10
Freshwater,C3,2,15-20
Freshwater,C3,3,30-35
Freshwater,C3,4,45-50
Freshwater,C6,5,5-10
Freshwater,C6,6,15-20
Freshwater,C6,7,30-35
Freshwater,C6,8,45-50
Freshwater,F4,9,5-10
Freshwater,F4,10,15-20
Freshwater,F4,11,30-35
Freshwater,F4,12,45-50
Freshwater,H3,13,5-10
Freshwater,H3,14,15-20
Freshwater,H3,15,30-35
Freshwater,H3,16,45-50
Freshwater,H6,17,5-10
Freshwater,H6,18,15-20
Freshwater,H6,19,30-35
Freshwater,H6,20,45-50
Seawater,C3,21,5-10
Seawater,C3,22,15-20
Seawater,C3,23,30-35
Seawater,C3,24,45-50
Seawater,C6,25,5-10
Seawater,C6,26,15-20
Seawater,C6,27,30-35
Seawater,C6,28,45-50
Seawater,F4,29,5-10
Seawater,F4,30,15-20
Seawater,F4,31,30-35
Seawater,F4,32,45-50
Seawater,H3,33,5-10
Seawater,H3,34,15-20
Seawater,H3,35,30-35
Seawater,H3,36,45-50
Seawater,H6,37,5-10
Seawater,H6,38,15-20
Seawater,H6,39,30-35
Seawater,H6,40,45-50
Control,C3,41,5-10
Control,C3,42,15-20
Control,C3,43,30-35
Control,C3,44,45-50
Control,C6,45,5-10
Control,C6,46,15-20
Control,C6,47,30-35
Control,C6,48,45-50
Control,F4,49,5-10
Control,F4,50,15-20
Control,F4,51,30-35
Control,F4,52,45-50
Control,H3,53,5-10
Control,H3,54,15-20
Control,H3,55,30-35
Control,H3,56,45-50
Control,H6,57,5-10
Control,H6,58,15-20
Control,H6,59,30-35
Control,H6,60,45-50
