"","Sample_Plot","Sample_Depth","min_CH4_ppm","max_CH4_ppm","mean_CH4_ppm","sd_CH4_ppm","min_CO2_ppm","max_CO2_ppm","mean_CO2_ppm","sd_CO2_ppm"
"1","Control","10",1,3,2,1,981,18565,4572,2352
"2","Control","20",0,3,1,1,2512,53218,11250,6108
"3","Control","35",0,2,1,1,3423,50541,13882,5871
"4","Control","50",0,3,1,1,873,41802,16775,5498
"5","Control","ATM",2,3,2,0,204,4678,690,779
"6","Freshwater","10",0,3,2,1,699,48088,9709,8543
"7","Freshwater","20",0,3,1,1,57,52893,16448,11026
"8","Freshwater","35",0,3,1,1,2182,47967,14902,8857
"9","Freshwater","50",0,3,1,1,3350,70256,20201,11434
"10","Freshwater","ATM",2,3,2,0,176,1104,530,218
"11","Saltwater","10",0,11,2,2,906,55223,12006,10690
"12","Saltwater","20",0,12,2,2,3444,62139,23796,12814
"13","Saltwater","35",0,10,2,2,372,69129,23035,12312
"14","Saltwater","50",0,6,2,1,3699,67180,25104,11970
"15","Saltwater","ATM",2,3,2,0,213,4552,760,801
