Plot,Port,Collar
Control,1,13
Control,2,14
Control,3,15
Control,4,16
Salt,1,29
Salt,2,30
Salt,3,31
Salt,4,32
Fresh,1,41
Fresh,2,42
Fresh,3,43
Fresh,4,44
