Project: TEMPEST - Groundwater Well Installation,,,,,,,
Analysis: Soil Sample Collection,,,,,,,
"Date: March 9 and 10, 2021",,,,,,,
"Analyst: AES, JS",,,,,,,
,,,,,,,
Plot,Grid Cell,Bottom Depth (cm),Depth Increment,BIOGEOCHEM,QT. ECOLOGY,Notes,
Control,E4,10,10,X,,Sample = 100+ g; Biogeochem sample = stored at -20C and freeze-dried; Water table between 350 & 400 cm,
Control,E4,20,10,,,,
Control,E4,30,10,,,,
Control,E4,40,10,,,,
Control,E4,50,10,,,,
Control,E4,60,10,,,,
Control,E4,70,10,,,,
Control,E4,80,10,,,,
Control,E4,90,10,,,,
Control,E4,100,10,,,,
Control,E4,110,10,,,,
Control,E4,120,10,,,,
Control,E4,130,10,,,,
Control,E4,140,10,,,,
Control,E4,150,10,,,,
Control,E4,160,10,,,,
Control,E4,170,10,,,,
Control,E4,180,10,,,,
Control,E4,190,10,,,,
Control,E4,200,10,,,,
Control,E4,250,50,,,,
Control,E4,300,50,,,,
Control,E4,350,50,,,,
Control,E4,400,50,,,,
Control,E4,450,50,,,,
Control,E4,500,50,,,,
Control,E4,525,25,,,,
,,,,,,,
Freshwater,F6,10,10,,,Sample = 100+ g; Biogeochem sample = stored at -20C and freeze-dried; Water table between 160 and 170 cm,
Freshwater,F6,20,10,,,,
Freshwater,F6,30,10,,,,
Freshwater,F6,40,10,,,,
Freshwater,F6,50,10,,,,
Freshwater,F6,60,10,,,,
Freshwater,F6,70,10,,,,
Freshwater,F6,80,10,,,,
Freshwater,F6,90,10,,,,
Freshwater,F6,100,10,,,,
Freshwater,F6,110,10,,,,
Freshwater,F6,120,10,,,,
Freshwater,F6,130,10,,,,
Freshwater,F6,140,10,,,,
Freshwater,F6,150,10,,,,
Freshwater,F6,160,10,,,,
Freshwater,F6,170,10,,,,
Freshwater,F6,180,10,,,,
Freshwater,F6,190,10,,,,
Freshwater,F6,200,10,,,,
Freshwater,F6,250,50,,,,
Freshwater,F6,300,50,,,,
Freshwater,F6,350,50,,,,
Freshwater,F6,400,50,,,,
Freshwater,F6,450,50,,,,
Freshwater,F6,500,50,,,,
Freshwater,F6,525,25,,,,
,,,,,,,
Seawater,F6,10,10,,,Sample = 100+ g; Biogeochem sample = stored at -20C and freeze-dried; Water table between 180 and 200 cm,
Seawater,F6,20,10,,,,
Seawater,F6,30,10,,,,
Seawater,F6,40,10,,,,
Seawater,F6,50,10,,,,
Seawater,F6,60,10,,,,
Seawater,F6,70,10,,,,
Seawater,F6,80,10,,,,
Seawater,F6,90,10,,,,
Seawater,F6,100,10,,,,
Seawater,F6,110,10,,,,
Seawater,F6,120,10,,,,
Seawater,F6,130,10,,,,
Seawater,F6,140,10,,,,
Seawater,F6,150,10,,,,
Seawater,F6,160,10,,,,
Seawater,F6,170,10,,,,
Seawater,F6,180,10,,,,
Seawater,F6,190,10,,,,
Seawater,F6,200,10,,,,
Seawater,F6,250,50,,,,
Seawater,F6,300,50,,,,
Seawater,F6,350,50,,,,
Seawater,F6,400,50,,,,
Seawater,F6,450,50,,,,
Seawater,F6,500,50,,,,
Seawater,F6,525,25,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
