Date,Collar,T5
1/1/2019,116,9.8
1/1/2019,115,9.9
1/1/2019,114,9.7
1/1/2019,113,9.8
1/1/2019,112,10.7
1/1/2019,111,10.1
1/1/2019,110,10
1/1/2019,109,10.2
1/1/2019,6,11.4
1/1/2019,5,10.8
1/1/2019,36,11.3
1/1/2019,76,11
1/1/2019,16,10.6
1/1/2019,74,10.6
1/1/2019,14,11.1
1/1/2019,35,10.6
1/1/2019,13,10.3
1/1/2019,7,10.3
1/1/2019,15,10.8
1/1/2019,34,10.6
1/1/2019,73,10.2
1/1/2019,75,10.3
1/1/2019,8,10.7
1/1/2019,33,10.3
1/1/2019,124,9.7
1/1/2019,123,9.5
1/1/2019,122,9.7
1/1/2019,121,9.7
1/1/2019,120,9.4
1/1/2019,119,9.2
1/1/2019,118,9.3
1/1/2019,117,9.9
1/1/2019,21,9.5
1/1/2019,11,9.4
1/1/2019,77,9.5
1/1/2019,23,9.7
1/1/2019,80,9.6
1/1/2019,28,9.3
1/1/2019,25,9.5
1/1/2019,79,9.8
1/1/2019,24,9.7
1/1/2019,26,9.8
1/1/2019,9,9.6
1/1/2019,78,10
1/1/2019,12,10
1/1/2019,10,9.7
1/1/2019,22,9.9
1/1/2019,27,10
,,
