Date,Collar,T5
12/7/2018,51,9.0
12/7/2018,61,6.0
12/7/2018,31,5.0
12/7/2018,70,6.5
12/7/2018,3,5.9
12/7/2018,49,7.9
12/7/2018,89,6.0
12/7/2018,62,5.1
12/7/2018,1,6.6
12/7/2018,71,4.0
12/7/2018,17,5.3
12/7/2018,92,5.6
12/7/2018,20,6.3
12/7/2018,63,5.6
12/7/2018,30,5.1
12/7/2018,2,5.4
12/7/2018,72,5.4
