[Header]	
System	9 mL TOC-L with TNM	
S/W Version	1.00	
User	sg	
Date/Time	7/12/2022 5:43:09 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	TMP_SW_F6_T1	Untitled					3.100	0.1699	mg/L	33	7/8/2022 11:17:13 PM	
Unknown	NPOC/TN	TMP_SW_SOURCE_HR5	Untitled					2.529	0.1844	mg/L	34	7/8/2022 11:35:42 PM	
Unknown	NPOC/TN	TMP_SW_SOURCE_HR4	Untitled					5.133	0.3354	mg/L	35	7/9/2022 12:00:18 AM	
Unknown	NPOC/TN	TMP_C_H6_T3	Untitled					20.74	0.6192	mg/L	36	7/9/2022 12:26:26 AM	
Unknown	NPOC/TN	TMP_SW_F4_T3	Untitled					7.488	0.6571	mg/L	37	7/9/2022 12:46:08 AM	
Unknown	NPOC/TN	TMP_C_I5_T3	Untitled					22.93	0.6732	mg/L	38	7/9/2022 1:12:23 AM	
Unknown	NPOC/TN	TMP_SW_WELL_T3	Untitled					3.996	0.2837	mg/L	39	7/9/2022 1:39:28 AM	
Unknown	NPOC/TN	TMP_SW_B4_T3	Untitled					9.219	0.5182	mg/L	40	7/9/2022 2:04:28 AM	
Unknown	NPOC/TN	TMP_FW_WELL_T3	Untitled					2.830	0.1315	mg/L	41	7/9/2022 2:29:00 AM	
Unknown	NPOC/TN	Blank3	Untitled					0.4063	0.05280	mg/L	42	7/9/2022 2:55:26 AM	
Unknown	NPOC/TN	CKSTD3_1ppmCN	Untitled					1.364	0.9724	mg/L	43	7/9/2022 3:16:19 AM	
Unknown	NPOC/TN	TMP_FW_H6_T3	Untitled					10.03	0.3456	mg/L	44	7/9/2022 3:32:41 AM	
Unknown	NPOC/TN	TMP_SW_C3_T3	Untitled					13.23	1.187	mg/L	45	7/9/2022 3:49:29 AM	
Unknown	NPOC/TN	TMP_SW_C6_T3	Untitled					5.393	0.5665	mg/L	46	7/9/2022 4:12:02 AM	
Unknown	NPOC/TN	TMP_C_B4_T3	Untitled					11.82	0.3705	mg/L	47	7/9/2022 4:38:16 AM	
