Model,Serial_Number,Property_Tag,Local_Name,Purchasing_Institution,Plot,Notes
LI-7810-01,TG10-01286,370285,Louise,SERC,Rotating,
LI-8100A,81A-1652,,Norbert,PNNL,Control,
LI-8150,81M-537,,,PNNL,Control,
LI-8100A,81A-1678,,Stuart,PNNL,Seawater,
LI-8150,81M-581,,,PNNL,Seawater,
LI-8100-104,81N-3117,,,PNNL,Seawater,1/25/2022 collar 32
LI-8100-104,81N-2829,,,PNNL,Seawater,1/25/2022 collar 29
LI-8100-104,81N-2830,,,PNNL,Seawater,1/25/2022 collar 31
LI-8100-104,81N-2747,,,PNNL,Seawater,1/25/2022 collar 30
LI-8100-104,81N-3119,,,PNNL,Seawater,1/25/2022 collar 41
LI-8100-104,81N-2742,,,PNNL,Seawater,1/25/2022 collar 42
LI-8100-104,81N-3118,,,PNNL,Seawater,1/25/2022 collar 44
LI-8100-104,81N-3116,,,PNNL,Seawater,1/25/2022 collar 43
LI-8100A,81A-1767,,Kevin,PNNL,Fresh,
LI-8150,81M-582,,,PNNL,Fresh,
LI-8100-104,81N-2746,,,PNNL,Control,1/25/2022 collar 13
LI-8100-104,81N-2744,,,PNNL,Control,1/25/2022 collar 14
LI-8100-104,81N-2745,,,PNNL,Control,1/25/2022 collar 15
LI-8100-104,81N-2831,,,PNNL,Control,1/25/2022 collar 16
LI-8200-01,82S-1050,WD85859,,PNNL,Rotating,Smart Chamber
LI-7810-01,TG10-01087,WD85858,Gru,PNNL,Rotating,
