dbh ,sw depth,
42.6,,ACRU
21,2.6,ACRU
24.5,8.5,ACRU
23.3,7,ACRU
13.5,3.6,ACRU
23.6,8.6,ACRU
8.9,3.3,ACRU
44.3,20,ACRU
29,14.5,ACRU
13.3,5.5,ACRU
20.4,7.3,ACRU
79.4,14,LITU
57.5,6.6,LITU
14.4,3.1,LITU
69.7,14.9,LITU
38.2,6.4,LITU
36.7,9.3,LITU
35,8,LITU
22.3,3.7,LITU
60.1,13.6,LITU
29.9,5.9,LITU
