Plot,Trap,Date_weighed,Date_collected,M_woody,M_reproductive,M_leaf_oak,M_leaf_tulip,M_leaf_beech,M_leaf_other,Notes
HSLE,A,11/13/2018,11/8/2018,1.5,0,9.3,19.4,1.2,49.4,
HSLE,B,11/13/2018,11/8/2018,2.8,1.1,14.7,7.5,0,51.7,
HSLE,C,11/13/2018,11/8/2018,10.4,10.5,32.1,4.2,1.2,69.6,
HSLE,D,11/13/2018,11/8/2018,33.3,26.5,37.1,4.5,3.5,37.1,
HSLE,E,11/13/2018,11/8/2018,2.3,0.1,15,11.5,1,54,
HSLE,F,11/13/2018,11/8/2018,1.3,0.1,26.8,16.9,2.2,30.5,
HSME,A,11/13/2018,11/8/2018,0,0,7.8,28.8,2.9,38.4,
HSME,B,11/13/2018,11/8/2018,1.4,0,4.8,26.8,6.2,32,
HSME,C,11/13/2018,11/8/2018,0.1,0,10.6,38.5,8.3,30,
HSME,D,11/13/2018,11/8/2018,1.1,0,11,27.7,4.8,33.8,
HSME,E,11/13/2018,11/8/2018,0,0,11.8,28.6,4.3,26.4,
HSME,F,11/13/2018,11/8/2018,0.2,0,10.6,23.4,3.4,35.2,
HSHE,A,11/13/2018,11/8/2018,4.3,0,3.4,26.3,5.9,41.4,
HSHE,B,11/13/2018,11/8/2018,0.2,0,3.9,27.5,5.6,48.8,
HSHE,C,11/13/2018,11/8/2018,1.4,1.8,2.7,21.6,11.6,41,
HSHE,D,11/13/2018,11/8/2018,17,2.5,4.2,25.7,12.4,55.5,
HSHE,E,11/13/2018,11/8/2018,2.2,3.4,3.6,23.9,5,54.1,
HSHE,F,11/13/2018,11/8/2018,1.9,1.4,4.2,28.3,7.6,38.5,
LSLE,A,11/14/2018,11/8/2018,4.8,1.9,40.9,9.4,34.9,17.3,
LSLE,B,11/14/2018,11/8/2018,17.6,0,44.8,2.2,14.4,21.2,
LSLE,C,11/14/2018,11/8/2018,2.3,0,23.9,11.5,60.4,10.1,
LSLE,D,11/14/2018,11/8/2018,0.1,0.2,15.6,11.6,54,14.9,
LSLE,E,11/14/2018,11/8/2018,1.1,0,10.1,1.7,57.7,17.7,
LSLE,F,11/14/2018,11/8/2018,3,0,7.1,2,46,24.4,
LSME,A,11/14/2018,11/8/2018,0.7,0,9.9,35.6,43.2,22.1,
LSME,B,11/14/2018,11/8/2018,1.7,0,5.8,31.6,33.3,23.5,
LSME,C,11/14/2018,11/8/2018,2.9,0,7.8,12.9,49.7,25.4,
LSME,D,11/14/2018,11/8/2018,10.9,0,25.8,9.9,40.5,23.7,
LSME,E,11/14/2018,11/8/2018,26.5,4.7,80.7,7.2,28.8,13,
LSME,F,11/14/2018,11/8/2018,58,11.1,49.2,7.3,47.5,24.7,
