Plot,Trap,Date_weighed,Date_collected,M_woody,M_reproductive,M_leaf_all
HSLE,A,1/10/2020,11/15/2019,2.1,0.7,28.0
HSLE,B,1/10/2020,11/15/2019,0.0,3.6,23.1
HSLE,C,1/10/2020,11/15/2019,1.4,4.1,25.5
HSLE,D,1/10/2020,11/15/2019,2.5,9.0,20.2
HSLE,E,1/10/2020,11/15/2019,5.3,2.2,31.9
HSLE,F,1/10/2020,11/15/2019,1.4,3.5,20.8
HSME,A,1/10/2020,11/15/2019,0.0,2.2,35.7
HSME,B,1/10/2020,11/15/2019,0.0,2.9,26.1
HSME,C,1/10/2020,11/15/2019,0.5,1.6,21.6
HSME,D,1/10/2020,11/15/2019,0.4,2.9,33.7
HSME,E,1/10/2020,11/15/2019,0.0,0.0,22.1
HSME,F,1/10/2020,11/15/2019,0.0,1.4,25.0
HSHE,A,1/10/2020,11/15/2019,0.0,1.7,24.8
HSHE,B,1/10/2020,11/15/2019,0.0,3.4,24.4
HSHE,C,1/10/2020,11/15/2019,1.7,5.3,31.3
HSHE,D,1/10/2020,11/15/2019,1.1,4.4,27.8
HSHE,E,1/10/2020,11/15/2019,0.0,0.0,1.8
HSHE,F,1/10/2020,11/15/2019,0.0,2.5,28.3
MSLE,A,1/10/2020,11/15/2019,1.3,2.0,32.2
MSLE,B,1/10/2020,11/15/2019,0.0,4.2,27.4
MSLE,C,1/10/2020,11/15/2019,8.0,1.1,25.0
MSLE,D,1/10/2020,11/15/2019,0.0,6.7,28.7
MSLE,E,1/10/2020,11/15/2019,0.0,5.0,35.5
MSLE,F,1/10/2020,11/15/2019,1.0,4.0,30.2
MSME,A,1/10/2020,11/15/2019,6.0,1.7,38.2
MSME,B,1/10/2020,11/15/2019,1.7,14.1,36.7
MSME,C,1/10/2020,11/15/2019,0.5,0.0,50.7
MSME,D,1/10/2020,11/15/2019,0.0,1.4,33.0
MSME,E,1/10/2020,11/15/2019,0.0,4.5,29.4
MSME,F,1/10/2020,11/15/2019,4.2,0.7,35.3
MSHE,A,1/10/2020,11/15/2019,1.1,1.0,28.4
MSHE,B,1/10/2020,11/15/2019,0.1,1.6,46.1
MSHE,C,1/10/2020,11/15/2019,2.8,0.9,38.7
MSHE,D,1/10/2020,11/15/2019,1.0,2.9,35.9
MSHE,E,1/10/2020,11/15/2019,0.0,0.1,40.3
MSHE,F,1/10/2020,11/15/2019,0.4,4.1,37.8
LSLE,A,1/10/2020,11/15/2019,1.1,4.1,38.9
LSLE,B,1/10/2020,11/15/2019,17.6,4.9,41.9
LSLE,C,1/10/2020,11/15/2019,0.7,1.1,35.9
LSLE,D,1/10/2020,11/15/2019,0.0,4.2,33.8
LSLE,E,1/10/2020,11/15/2019,0.0,4.9,29.4
LSLE,F,1/10/2020,11/15/2019,8.1,1.1,50.1
LSME,A,1/10/2020,11/15/2019,0.5,3.6,27.7
LSME,B,1/10/2020,11/15/2019,0.4,4.2,30.7
LSME,C,1/10/2020,11/15/2019,6.8,3.0,37.7
LSME,D,1/10/2020,11/15/2019,0.8,1.3,40.8
LSME,E,1/10/2020,11/15/2019,21.1,1.9,55.0
LSME,F,1/10/2020,11/15/2019,0.7,0.0,36.3
LSHE,A,1/10/2020,11/15/2019,0.7,1.1,19.6
LSHE,B,1/10/2020,11/15/2019,0.7,0.0,18.9
LSHE,C,1/10/2020,11/15/2019,NA,NA,NA
LSHE,D,1/10/2020,11/15/2019,0.8,2.6,29.3
LSHE,E,1/10/2020,11/15/2019,0.0,11.1,22.6
LSHE,F,1/10/2020,11/15/2019,0.4,23.9,27.0
