Plot,Trap,Date_weighed,Date_collected,M_woody,M_reproductive,M_leaf_oak,M_leaf_tulip,M_leaf_beech,M_leaf_other,Notes
HSME,A,7/5/2019,4/16/2019,0.55,4.27,0,0,0,0,
HSME,B,7/5/2019,4/16/2019,1.44,4.09,0,0,0.35,0.46,
HSME,C,7/5/2019,4/16/2019,0.31,4.17,0,0,0,0.21,
HSME,D,7/5/2019,4/16/2019,4.29,4.27,0,0,0.43,0.32,
HSME,E,7/5/2019,4/16/2019,6.55,4.09,0,0,0.79,0,
HSME,F,7/5/2019,4/16/2019,0.31,3.56,0,0,0.56,0.52,
HSHE,A,7/5/2019,4/16/2019,0,3.22,1.17,0,0.68,0,
HSHE,B,7/5/2019,4/16/2019,0,3.41,0,0,0,0.38,
HSHE,C,7/5/2019,4/16/2019,1.97,3.73,0,0,0.3,0.3,
HSHE,D,7/5/2019,4/16/2019,0,4.26,0,0,0.35,0,
HSHE,E,7/5/2019,4/16/2019,0.45,3.63,0,0,0.65,0.23,
HSHE,F,7/5/2019,4/16/2019,6.31,3.94,0,0,49,1.03,
LSLE,A,7/5/2019,4/17/2019,0.71,6.01,0.6,0,0.3,0,
LSLE,B,7/5/2019,4/17/2019,0.93,6.99,0.82,0,0,0,
LSLE,C,7/5/2019,4/17/2019,0.71,8.51,0,0,0.28,0,
LSLE,D,7/5/2019,4/17/2019,4.18,6.45,0,0,0.32,0,
LSLE,E,7/5/2019,4/17/2019,3.85,6.97,0.44,0,0.44,0,
LSLE,F,7/5/2019,4/17/2019,4.53,6.9,0,0,0.4,0,
LSME,A,7/5/2019,4/17/2019,1.27,9.87,0,0,0.78,0.28,
LSME,B,7/5/2019,4/17/2019,36.75,10.76,0,0,0.93,1.21,
LSME,C,7/5/2019,4/17/2019,4.2,21.21,0,0,1.77,0,
LSME,D,7/5/2019,4/17/2019,0.77,12.6,0.77,0,0.39,0.45,
LSME,E,7/5/2019,4/17/2019,18.16,7.4,0.71,0,0.27,0,
LSME,F,7/5/2019,4/17/2019,2.34,10.6,2.18,0,2.15,0.9,
LSHE,A,7/5/2019,4/17/2019,1.83,7.84,0,0,0.63,0,
LSHE,B,7/5/2019,4/17/2019,0.37,8.9,0,0,0.64,0.38,
LSHE,C,7/5/2019,4/17/2019,4.89,10.9,0,0,0.74,0,
