Plot,Trap,Date_weighed,Date_collected,M_woody,M_reproductive,M_leaf_oak,M_leaf_tulip,M_leaf_beech,M_leaf_other,Notes
LSME,A,10/18/2018,10/15/2018,0.0,0.0,0.3,16.5,4.6,15.1,
LSME,B,10/18/2018,10/15/2018,0.2,0.0,0.0,22.0,7.3,12.4,
LSME,C,10/18/2018,10/15/2018,0.0,5.0,0.9,1.0,7.6,16.4,
LSME,D,10/18/2018,10/15/2018,0.2,4.1,7.2,0.8,4.6,6.7,
LSME,E,10/18/2018,10/15/2018,23.2,4.1,24.1,1.0,3.5,5.7,
LSME,F,10/18/2018,10/15/2018,8.0,7.3,17.7,1.0,6.3,4.0,
MSHE,A,10/18/2018,10/15/2018,1.5,12.5,6.8,10.7,7.7,8.8,
MSHE,B,10/18/2018,10/15/2018,4.3,9.0,8.0,7.6,15.5,2.9,
MSHE,C,10/18/2018,10/15/2018,6.1,15.5,22.0,9.1,8.1,6.6,
MSHE,D,10/18/2018,10/15/2018,0.9,32.7,4.2,1.9,5.1,15.8,
MSHE,E,10/18/2018,10/15/2018,1.1,0.0,2.6,4.7,4.4,6.7,
MSHE,F,10/18/2018,10/15/2018,3.5,0.3,7.0,2.0,3.1,4.3,
MSME,A,10/18/2018,10/15/2018,0.8,0.0,6.2,2.0,4.8,4.5,
MSME,B,10/18/2018,10/15/2018,1.4,0.8,10.2,1.9,2.6,3.1,
MSME,C,10/18/2018,10/15/2018,1.8,0.6,11.0,0.7,1.4,3.7,
MSME,D,10/18/2018,10/15/2018,2.4,0.0,4.5,4.3,3.8,6.2,
MSME,E,10/18/2018,10/15/2018,0.7,0.0,0.7,5.1,6.4,11.5,
MSME,F,10/18/2018,10/15/2018,0.6,0.0,1.9,7.8,2.3,17.6,
MSLE,A,10/18/2018,10/15/2018,0.0,0.0,2.4,11.7,3.1,12.7,
MSLE,B,10/18/2018,10/15/2018,0.2,2.6,0.5,2.6,6.7,10.4,
MSLE,C,10/18/2018,10/15/2018,2.0,6.9,5.9,1.6,3.5,9.0,
MSLE,D,10/18/2018,10/15/2018,2.2,0.8,5.8,1.6,3.6,5.3,
MSLE,E,10/18/2018,10/15/2018,1.7,0.2,2.3,2.4,6.3,6.4,
MSLE,F,10/18/2018,10/15/2018,2.7,0.0,0.0,6.4,7.5,18.4,
HSLE,A,10/18/2018,10/12/2018,0.0,0.0,1.3,3.5,0.0,20.4,
HSLE,B,10/18/2018,10/12/2018,0.0,0.2,1.0,0.1,0.0,22.9,
HSLE,C,10/18/2018,10/12/2018,2.1,2.0,2.0,0.1,0.0,25.7,
HSLE,D,10/18/2018,10/12/2018,1.6,5.7,2.2,0.2,0.7,13.0,
HSLE,E,10/18/2018,10/12/2018,0.0,11.5,1.8,0.3,0.3,28.6,
HSLE,F,10/18/2018,10/12/2018,0.0,14.9,3.1,3.5,1.4,19.2,
LSHE,A,10/25/2018,10/15/2018,0.7,4.2,1.0,7.1,10.6,7.9,
LSHE,B,10/25/2018,10/15/2018,0.3,1.5,0.0,2.6,8.3,15.9,
LSHE,C,10/25/2018,10/15/2018,12.7,1.8,0.0,1.3,5.7,29.0,
LSHE,D,10/25/2018,10/15/2018,2.9,4.4,0.0,2.7,3.2,13.9,
LSHE,E,10/25/2018,10/15/2018,1.4,26.4,3.7,11.8,4.0,2.6,
LSHE,F,10/25/2018,10/15/2018,0.5,0.0,9.1,5.4,5.5,3.4,
LSLE,A,10/25/2018,10/15/2018,0.2,0.0,5.1,5.6,3.5,5.2,
LSLE,B,10/25/2018,10/15/2018,2.4,1.7,17.0,1.7,1.6,7.5,
LSLE,C,10/25/2018,10/15/2018,1.5,0.0,4.1,17.5,6.3,3.7,
LSLE,D,10/25/2018,10/15/2018,0.5,0.0,1.0,13.3,3.2,3.9,
LSLE,E,10/25/2018,10/15/2018,6.2,0.0,0.9,0.2,5.5,4.0,
LSLE,F,10/25/2018,10/15/2018,0.9,0.9,1.7,2.1,6.1,7.6,
HSME,A,10/25/2018,10/12/2018,0.0,0.0,0.6,17.1,1.0,6.5,
HSME,B,10/25/2018,10/12/2018,0.2,0.0,0.3,16.2,0.9,10.0,
HSME,C,10/25/2018,10/12/2018,0.0,1.1,0.4,22.3,0.7,17.8,
HSME,D,10/25/2018,10/12/2018,0.7,0.0,0.2,26.6,0.8,18.4,
HSME,E,10/25/2018,10/12/2018,0.1,0.1,0.7,12.6,0.8,20.7,M_other not weighed; number was extrapolated from total M_other weight
HSME,F,10/25/2018,10/12/2018,1.2,0.0,1.0,19.0,0.7,9.1,
HSHE,A,10/25/2018,10/12/2018,0.0,0.0,0.2,28.3,1.5,10.3,
HSHE,B,10/25/2018,10/12/2018,0.0,0.0,0.0,26.6,1.6,12.2,
HSHE,C,10/25/2018,10/12/2018,0.0,1.7,0.0,30.3,3.4,6.1,
HSHE,D,10/25/2018,10/12/2018,1.5,9.4,0.2,22.3,2.6,4.6,
HSHE,E,10/25/2018,10/12/2018,0.4,0.1,0.3,25.7,1.3,9.0,
HSHE,F,10/25/2018,10/12/2018,23.4,0.8,0.4,16.8,2.8,10.6,
