Model:	LI-7810
SN:	TG10-01286
Software Version:	2.1.41
Timestamp:	2023-10-31 08:00:00
Timezone:	US/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1698753600	588177919	8799	112	""	2023-10-31	08:00:00	8288.8125	347.18628	1614.9911	39.5267	52.2535	18.1445	47.2356	0.0546443	12.2057	52.4351	-1530.75	0.750441	23.7996	 63
DATA	1698753601	587814092	8803	112	""	2023-10-31	08:00:01	8269.1553	345.50366	1610.5991	39.5279	52.2674	18.1219	47.2356	0.054955	12.2055	52.4487	-1164	0.750441	23.7992	 99
DATA	1698753602	587814092	8807	112	""	2023-10-31	08:00:02	8252.0801	344.04361	1606.7104	39.5258	52.281	18.1022	47.2356	0.0552096	12.2062	52.4619	-1476.5	0.750441	23.7988	163
DATA	1698753603	587814092	8811	112	""	2023-10-31	08:00:03	8238.3496	342.34451	1603.5481	39.525	52.2953	18.0787	47.2356	0.0553972	12.2066	52.4755	-1444.25	0.750441	23.7992	247
DATA	1698753604	587814092	8815	112	""	2023-10-31	08:00:04	8211.5732	341.64844	1598.1511	39.5275	52.3096	18.0561	47.236	0.0557437	12.2063	52.4895	-981.75	0.750441	23.7996	209
DATA	1698753605	587814092	8819	112	""	2023-10-31	08:00:05	8192.2979	339.22385	1593.3296	39.5279	52.3229	18.0376	47.236	0.056044	12.2065	52.5038	-1276.75	0.750441	23.7996	225
DATA	1698753606	587814092	8823	112	""	2023-10-31	08:00:06	8181.415	339.16397	1591.8369	39.523	52.3371	18.0154	47.236	0.0561432	12.2063	52.5165	-1631.75	0.750441	23.7992	136
DATA	1698753607	587814092	8827	112	""	2023-10-31	08:00:07	8159.1465	336.75027	1586.6246	39.5262	52.3491	17.994	47.2356	0.0564729	12.2066	52.5293	-1143.5	0.750441	23.8015	208
DATA	1698753608	587441921	8831	112	""	2023-10-31	08:00:08	8134.1938	336.68024	1581.3727	39.5291	52.3631	17.9739	47.2356	0.0567955	12.207	52.5424	-1183	0.750441	23.8015	 99
