Model Number,Serial Number,Instument Name,Nickname,PNNL Tag
LI-8100A,81A-1678,Automated Soil CO2 Flux System,Stuart,WD85231
LI-8100A,81A-1652,Automated Soil CO2 Flux System,Norbert,NA
8200-01,82S-1050,Smart Chamber,,WD85859
7810-01,TG10-01087,Trace Gas Analyzer,Gru,WD85858
8100-103,81T-986,20-cm Chamber,,NA
LAI-2270C,PCA-4720,Plant Canopy Analyzer,,WD85845
8100-102,81S-0134,10-cm Chamber,,NA
MK9N2LL/A,F9FWF6GPGHKJ,iPad,,WE35090
