"","Column_Names","Description","Units","Instrument_ifapplicable"
"1","Project","Project name","NA","NA"
"2","Site","Site where sample collected","NA","NA"
"3","Year","Year of sample collection","NA","NA"
"4","Month","Month of sample collection","NA","NA"
"5","Day","Day of sample collection","NA","NA"
"6","Plot","Plot where sample collected (SW = Saltwater, FW = Freshwater, C = Control, Estuary (Sourcewater))","NA","NA"
"7","Sample_Grid","Grid where sample collected (Letter + Number)","NA","NA"
"8","Sapflux_ID","ID of sapflux sensors on tree that sample came from","NA","NA"
"9","Tree_ID","ID of tree (# on metal tag on tree)","NA","NA"
"10","Tree_Species","Tree Species (LITU = Liriodendron tulipifera, ACRU = Acer rubrum, FAGR = Fagus grandifolia)","NA","NA"
"11","Well_Height_m","Height of tree gas well from ground","m","NA"
"12","Event_Stamp","Event sampling timestamp (#, AM/PM, D#, Pre/Post)","NA","NA"
"13","Time","Time of sample collection","NA","NA"
"14","Time_Zone","Time zone of sample collection","NA","NA"
"15","Sample_Matrix","Matrix that sample was collected from (G = gas, W = water)","NA","NA"
"16","CH4_ppm","Methane (CH4) concentration","ppm","Varian 450 GC (Agilent Technologies)"
"17","CH4_Flag","Methane (CH4) concentration flag (bdl=below detection limit (0), adl=above detection limit (highest   
                         standard)","NA","NA"
"18","CO2_ppm","Carbon dioxide (CO2) concentration","ppm","Varian 450 GC (Agilent Technologies)"
"19","CO2_Flag","Carbon dioxide (CO2) flag (bdl=below detection limit (0), adl=above detection limit (highest   
                         standard)","NA","NA"
"20","Field_Notes","Notes generated during field sample collection","NA","NA"
"21","Lab_Notes","Notes generated during sample analysis in the lab","NA","NA"
