sample_name,date,doc_mg_l,tdn_mg_l
TMP_FW_PW_DOC_I5_15cm_20220613,20220627,12.61,0.76
TMP_SW_PW_DOC_E3_15cm_20220613,20220627,9.845,0.977
TMP_FW_PW_DOC_F4_15cm_20220613,20220627,10.79,0.746
TMP_C_PW_DOC_B4_15cm_20220613,20220627,10.07,0.505
TMP_SW_PW_DOC_I5_15cm_20220613,20220627,14.65,1.263
TMP_SW_PW_DOC_B4_15cm_20220613,20220627,19.9,0.581
TMP_C_PW_DOC_C6_15cm_20220613,20220627,8.712,0.422
TMP_SW_PW_DOC_C3_15cm_20220613,20220627,23.53,0.97
TMP_FW_PW_DOC_C3_15cm_20220613,20220627,10.43,0.502
TMP_C_PW_DOC_I5_15cm_20220613,20220627,19.03,0.819
TMP_SW_PW_DOC_D5_15cm_20220613,20220627,11.2,0.561
TMP_FW_PW_DOC_H6_15cm_20220613,20220627,13.43,0.645
TMP_FW_PW_DOC_D5_15cm_20220613,20220627,9.424,0.383
TMP_FW_PW_DOC_C6_15cm_20220615,20220627,8.31,0.379
TMP_C_PW_DOC_E3_15cm_20220615,20220627,10.18,0.43
TMP_SW_PW_DOC_H3_15cm_20220615,20220627,19.94,5.266
TMP_C_PW_DOC_H6_15cm_20220615,20220629,17.25,0.591
TMP_C_SW_DOC_F6_15cm_20220615,20220629,13.61,0.504
TMP_FW_PW_DOC_H3_15cm_20220615_Diluted,20220629,4.896,0.205
TMP_C_PW_DOC_H3_15cm_20220615,20220629,21.29,0.522
TMP_SW_PW_DOC_C6_15cm_20220615,20220629,20.96,0.898
TMP_FW_H6_T0_DOC,20220629,14.25,0.474
TMP_FW_C6_T0_DOC,20220629,8.11,0.294
TMP_FW_I5_T0_DOC,20220629,15.51,0.626
TMP_C_POOLED_PreW_DOC,20220629,15.78,0.585
TMP_FW_SOURCE_HR0_DOC,20220629,0.675,0.02
TMP_FW_SOURCE_HR5_DOC,20220629,0.587,0.001
TMP_SW_SOURCE_HR6_DOC,20220629,5.127,0.275
TMP_SW_SOURCE_HR5_DOC,20220629,5.151,0.312
TMP_FW_SOURCE_HR4_DOC,20220629,0.8,NA
TMP_ESTUARY_BARGE_HR8_DOC,20220629,NA,NA
TMP_FW_SOURCE_HR6_DOC,20220629,0.425,NA
TMP_SW_C3_T1_DOC,20220629,15.34,0.864
TMP_SW_WELL_T1_DOC,20220629,4.352,0.606
TMP_SW_H6_T1_DOC,20220629,7.091,0.297
TMP_SW_B4_T1_DOC,20220629,11.21,0.414
TMP_FW_F4_T1,20220701,9.77,0.43
TMP_SW_F6_T1,20220701,10.12,0.411
TMP_SW_E3_T1,20220701,4.222,0.38
TMP_FW_I5_T1,20220701,26.21,0.359
TMP_FW_E3_T1,20220701,4.082,0.115
TMP_FW_C6_T1,20220701,0.594,0.016
TMP_FW_C3_T1,20220701,4.858,0.123
TMP_FW_H3_T1,20220701,4.939,0.176
TMP_FW_D5_T1,20220701,3.986,0.105
TMP_SW_WELL_T2,20220701,3.374,0.22
TMP_FW_H3_T2,20220701,4.184,0.151
TMP_FW_F6_T2,20220701,6.72,0.204
TMP_FW_F4_T2,20220701,7.45,0.214
TMP_FW_E3_T2,20220701,6.065,0.171
TMP_FW_H6_T2,20220701,2.128,0.025
TMP_FW_C3_T2,20220701,9.042,0.186
TMP_FW_I5_T2,20220701,17.93,0.243
TMP_FW_POOL_T2,20220701,8.726,0.223
TMP_SW_B4_T2,20220701,6.621,0.412
TMP_SW_I5_T2,20220701,11.17,1.188
TMP_SW_D5_T2,20220701,3.979,0.335
TMP_SW_F6_T2,20220701,4.414,0.296
TMP_FW_D5_T2,20220701,6.267,0.1
TMP_SW_F4_T2,20220701,9.98,0.472
TMP_SW_H3_T2,20220701,5.854,0.506
TMP_SW_E3_T2,20220701,2.097,0.11
TMP_SW_C3_T2,20220701,7.797,0.436
TMP_C_C6_T3,20220701,23.71,0.663
TMP_FW_POOL_T3,20220701,12.86,0.289
TMP_FW_H3_T3,20220701,9.55,0.241
TMP_FW_F4_T3,20220701,8.915,0.262
TMP_FW_SOURCE_HR3,20220701,8.046,0.057
TMP_ESTUARY_BARGE_HR4,20220701,26.59,0.815
TMP_SW_SOURCE_HR0,20220701,19.67,0.444
TMP_FW_SOURCE_HR1,20220701,8.437,0.088
TMP_SW_SOURCE_HR1,20220701,19.37,0.319
TMP_SW_SOURCE_HR2,20220701,19.87,0.339
TMP_SW_SOURCE_HR4,20220708,4.713,0.275
TMP_C_H6_T3,20220708,20.32,0.559
TMP_SW_F4_T3,20220708,7.068,0.597
TMP_SW_F4_T3,20220708,7.068,0.597
TMP_C_I5_T3,20220708,22.51,0.613
TMP_SW_WELL_T3,20220708,3.576,0.224
TMP_SW_B4_T3,20220708,8.799,0.458
TMP_FW_WELL_T3,20220708,2.41,0.072
TMP_FW_H6_T3,20220708,9.61,0.286
TMP_SW_C3_T3,20220708,12.81,1.127
TMP_SW_C6_T3,20220708,4.973,0.506
TMP_C_B4_T3,20220708,11.4,0.31
TMP_FW_C6_T3,20220708,7.974,0.281
TMP_FW_C3_T3,20220708,13.37,0.374
TMP_FW_E3_T3,20220708,6.904,0.212
TMP_SW_F4_T3,20220708,6.384,0.476
TMP_SW_F4_T3,20220708,6.384,0.476
TMP_FW_B4_T3,20220708,7.45,0.267
TMP_SW_H6_T3,20220708,6.985,0.334
TMP_SW_POOL_T3,20220708,8.747,0.775
TMP_FW_I5_T4,20220708,14.1,0.478
TMP_SW_E3_T3,20220708,5.993,0.354
TMP_FW_POOL_T4,20220708,10.7,0.401
TMP_C_I5_T4,20220708,25.87,1.391
TMP_C_POOL_T4,20220708,20.22,0.789
TMP_SW_POOL_T4,20220708,9.337,0.677
TMP_SW_D5_T3,20220708,7.623,0.758
TMP_SW_F6_T3,20220708,4.878,0.457
TMP_C_D5_T4,20220708,19.34,0.503
TMP_FW_H3_T4,20220708,9.438,0.307
TMP_SW_B4_T4,20220708,8.524,0.459
TMP_SW_F4_T4,20220708,14.42,0.578
TMP_SW_I5_T3,20220708,14.65,1.838
TMP_C_E3_T4,20220708,11.26,0.664
TMP_FW_C3_T4,20220708,17.67,0.938
TMP_SW_E3_T4,20220708,7.366,0.404
TMP_SW_D5_T4,20220708,10.67,0.719
TMP_SW_H6_T4,20220708,9.88,0.647
TMP_FW_F4_T4,20220708,10.8,0.433
TMP_FW_F6_T4,20220708,13.32,0.501
TMP_SW_H3_T4,20220708,5.412,0.431
TMP_FW_C6_T4,20220708,6.607,0.252
TMP_SW_I5_T4,20220708,15.48,1.435
TMP_FW_H6_T4,20220708,9.95,0.357
TMP_C_F6_T4,20220708,19.55,0.687
TMP_FW_D5_T4,20220708,7.671,0.22
TMP_C_H6_T4,20220708,20.89,0.705
TMP_SW_C6_T4,20220708,10.04,0.779
TMP_FW_B4_T4,20220711,9.576,0.337
TMP_C_H3_T4,20220711,22.73,0.803
TMP_FW_E3_T4,20220711,10.3,0.344
TMP_SW_C3_T4,20220711,14.13,1.342
