sample_name,date,doc_mg_l,tdn_mg_l
TMP_SW_F6_T4,20220711,5.596,0.366
TMP_FW_SOURCE_HR4,20220715,NA,0.027
TMP_ESTUARY_BARGE_HR8,20220715,4.967,0.358
TMP_FW_SOURCE_HR5,20220715,NA,NA
TMP_FW_SOURCE_HR7,20220715,NA,NA
TMP_SW_SOURCE_HR7,20220715,3.981,0.33
TMP_FW_SOURCE_HR0,20220715,NA,NA
TMP_SW_PW_DOC_F6_15cm_20220615_DILUTED4mLsmpl3mLwater,20220627,13.661,0.841
TMP_SW_POOL_T2,20220708,7.255,0.528
TMP_FW_B4_T2,20220708,7.731,0.32
TMP_FW_F6_T3,20220708,7.621,NA
TMP_FW_I5_T3,20220708,13.072,0.456
TMP_FW_D5_T3,20220708,5.932,0.145
TMP_FW_SOURCE_HR2,20220708,1.065,0.12
TMP_SW_SOURCE_HR3,20220708,4.789,0.327
TMP_SW_H6_T2,20220708,6.242,0.323
TMP_FW_D5_T2,20220708,4.633,0.098
TMP_FW_POOL_T2,20220708,6.558,0.217
TMP_FW_E3_T1,20220708,4.686,0.111
TMP_SW_F6_T1,20220708,8.994,0.369
TMP_SW_SOURCE_HR5,20220708,4.939,0.291
