"TOA5","PNNL_12","CR1000X","9646","CR1000X.Std.03.01","CPU:Tempest_v3a.CR1X","36933","sapflow"
"TIMESTAMP","RECORD","Statname","BattV_Avg","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)","DiffVolt_Avg(7)","DiffVolt_Avg(8)","DiffVolt(1)","DiffVolt(2)","DiffVolt(3)","DiffVolt(4)","DiffVolt(5)","DiffVolt(6)","DiffVolt(7)","DiffVolt(8)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-18 00:00:00",9038,"NAN",13.73,0.452,0.577,0.642,-100.1,0.557,0.436,0.707,0.525,0.453,0.574,0.638,-99.3,0.558,0.435,0.705,0.526
"2021-05-18 00:15:00",9039,"NAN",13.73,0.452,0.575,0.641,-89.3,0.558,0.435,0.707,0.526,0.452,0.579,0.642,-86.8,0.559,0.435,0.707,0.526
"2021-05-18 00:30:00",9040,"NAN",13.73,0.452,0.576,0.643,-83.9,0.558,0.435,0.708,0.526,0.453,0.578,0.646,-75.15,0.559,0.435,0.708,0.525
"2021-05-18 00:45:00",9041,"NAN",13.73,0.453,0.575,0.643,-68.44,0.559,0.436,0.708,0.527,0.453,0.577,0.641,-49.36,0.561,0.434,0.708,0.527
"2021-05-18 01:00:00",9042,"NAN",13.73,0.453,0.573,0.641,-29.88,0.559,0.435,0.708,0.527,0.453,0.573,0.642,-22.7,0.558,0.435,0.709,0.527
"2021-05-18 01:15:00",9043,"NAN",13.73,0.454,0.575,0.644,-52.71,0.559,0.436,0.708,0.528,0.453,0.573,0.645,-69.18,0.56,0.436,0.709,0.528
"2021-05-18 01:30:00",9044,"NAN",13.73,0.454,0.575,0.644,-55.82,0.56,0.436,0.709,0.528,0.454,0.577,0.645,-56.57,0.562,0.434,0.71,0.527
"2021-05-18 01:45:00",9045,"NAN",13.73,0.454,0.577,0.646,-49.76,0.56,0.435,0.709,0.528,0.454,0.576,0.644,-48.45,0.562,0.434,0.71,0.529
"2021-05-18 02:00:00",9046,"NAN",13.73,0.455,0.575,0.644,-42.06,0.561,0.435,0.71,0.528,0.455,0.572,0.643,-24.88,0.562,0.436,0.709,0.529
"2021-05-18 02:15:00",9047,"NAN",13.73,0.455,0.572,0.642,-14.84,0.562,0.436,0.71,0.529,0.456,0.571,0.643,-18.83,0.561,0.437,0.71,0.528
"2021-05-18 02:30:00",9048,"NAN",13.73,0.455,0.571,0.642,-33.84,0.562,0.436,0.71,0.529,0.457,0.572,0.643,-38.84,0.562,0.437,0.71,0.529
"2021-05-18 02:45:00",9049,"NAN",13.73,0.456,0.571,0.644,-50.42,0.562,0.438,0.71,0.53,0.456,0.572,0.645,-60.04,0.563,0.437,0.71,0.53
"2021-05-18 03:00:00",9050,"NAN",13.73,0.456,0.569,0.642,-58.22,0.563,0.437,0.71,0.53,0.456,0.573,0.645,-55.42,0.562,0.439,0.71,0.53
"2021-05-18 03:15:00",9051,"NAN",13.73,0.456,0.573,0.646,-40,0.563,0.439,0.71,0.53,0.456,0.572,0.645,-35.53,0.563,0.439,0.71,0.529
"2021-05-18 03:30:00",9052,"NAN",13.73,0.456,0.572,0.643,-33.88,0.563,0.438,0.71,0.53,0.456,0.57,0.642,-28.25,0.564,0.436,0.709,0.53
"2021-05-18 03:45:00",9053,"NAN",13.73,0.457,0.57,0.643,-29.01,0.563,0.438,0.71,0.53,0.457,0.571,0.644,-36.56,0.563,0.438,0.709,0.53
"2021-05-18 04:00:00",9054,"NAN",13.73,0.457,0.57,0.645,-41.64,0.564,0.438,0.71,0.53,0.458,0.571,0.646,-37.85,0.565,0.438,0.711,0.531
"2021-05-18 04:15:00",9055,"NAN",13.73,0.457,0.571,0.646,-35.41,0.564,0.438,0.71,0.53,0.457,0.572,0.647,-32.43,0.564,0.438,0.711,0.529
"2021-05-18 04:30:00",9056,"NAN",13.73,0.457,0.571,0.647,-39.97,0.564,0.438,0.71,0.53,0.457,0.572,0.646,-45.62,0.565,0.438,0.71,0.53
"2021-05-18 04:45:00",9057,"NAN",13.72,0.458,0.572,0.647,-47.64,0.564,0.438,0.71,0.53,0.458,0.57,0.646,-51.47,0.563,0.438,0.71,0.528
"2021-05-18 05:00:00",9058,"NAN",13.73,0.458,0.57,0.644,-56.94,0.565,0.437,0.71,0.53,0.458,0.567,0.641,-48.66,0.567,0.437,0.711,0.529
"2021-05-18 05:15:00",9059,"NAN",13.73,0.458,0.567,0.641,-47.48,0.565,0.437,0.71,0.529,0.458,0.569,0.64,-45.27,0.565,0.436,0.709,0.529
"2021-05-18 05:30:00",9060,"NAN",13.73,0.459,0.565,0.638,-42.9,0.565,0.436,0.709,0.529,0.459,0.563,0.635,-44.8,0.566,0.435,0.709,0.528
"2021-05-18 05:45:00",9061,"NAN",13.73,0.459,0.563,0.634,-39.9,0.566,0.435,0.708,0.529,0.458,0.564,0.636,-31.36,0.565,0.434,0.708,0.53
"2021-05-18 06:00:00",9062,"NAN",13.72,0.459,0.565,0.636,-34.32,0.565,0.434,0.708,0.529,0.458,0.565,0.636,-37.95,0.566,0.434,0.708,0.529
"2021-05-18 06:15:00",9063,"NAN",13.73,0.458,0.567,0.639,-41.55,0.566,0.432,0.707,0.53,0.458,0.569,0.643,-37.75,0.566,0.431,0.705,0.53
"2021-05-18 06:30:00",9064,"NAN",13.73,0.454,0.571,0.645,-35.92,0.566,0.43,0.703,0.53,0.453,0.57,0.646,-37.09,0.567,0.431,0.699,0.53
"2021-05-18 06:45:00",9065,"NAN",13.73,0.446,0.567,0.646,-26.31,0.567,0.429,0.693,0.53,0.44,0.562,0.645,-21.4,0.567,0.428,0.687,0.529
"2021-05-18 07:00:00",9066,"NAN",13.72,0.43,0.555,0.648,-24.23,0.566,0.429,0.675,0.53,0.422,0.545,0.649,-27.96,0.566,0.431,0.664,0.53
"2021-05-18 07:15:00",9067,"NAN",13.73,0.413,0.533,0.648,-34.82,0.566,0.427,0.651,0.53,0.404,0.522,0.649,-44.06,0.565,0.427,0.64,0.529
"2021-05-18 07:30:00",9068,"NAN",13.72,0.396,0.511,0.648,-54.94,0.563,0.427,0.63,0.528,0.39,0.5,0.648,-67.61,0.559,0.427,0.622,0.527
"2021-05-18 07:45:00",9069,"NAN",13.73,0.385,0.49,0.643,-75.31,0.557,0.427,0.614,0.523,0.38,0.483,0.642,-79.81,0.552,0.424,0.607,0.52
"2021-05-18 08:00:00",9070,"NAN",13.73,0.377,0.473,0.639,-89.6,0.546,0.421,0.601,0.513,0.374,0.467,0.637,-107.3,0.539,0.417,0.595,0.506
"2021-05-18 08:15:00",9071,"NAN",13.73,0.37,0.457,0.63,-118,0.528,0.407,0.587,0.495,0.368,0.45,0.626,-116.8,0.518,0.396,0.581,0.483
"2021-05-18 08:30:00",9072,"NAN",13.72,0.371,0.443,0.616,-100.9,0.501,0.38,0.575,0.468,0.374,0.439,0.611,-87.3,0.487,0.37,0.572,0.458
"2021-05-18 08:45:00",9073,"NAN",13.72,0.376,0.438,0.607,-85.2,0.484,0.364,0.572,0.45,0.378,0.438,0.606,-86.5,0.479,0.36,0.571,0.445
"2021-05-18 09:00:00",9074,"NAN",13.72,0.382,0.437,0.606,-92.5,0.475,0.361,0.57,0.439,0.384,0.437,0.61,-94.8,0.471,0.36,0.569,0.434
"2021-05-18 09:15:00",9075,"NAN",13.72,0.386,0.433,0.605,-82.1,0.462,0.357,0.568,0.427,0.389,0.432,0.601,-70.24,0.458,0.359,0.568,0.422
