#Log_File	LOG006
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.37
#Unique_ID	24EB9B04575BA8F7
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	XB7-537-209	Gas	%O2	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	XB7-537-209	29 Apr 2019	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	10%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	53.000°	22.117°	20.00°C	11.22°C	1030 mbar	47%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.30 mV	0.000°	0	0.017000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%O2)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
1	2019-04-29 13:24:05	19.005		13.11	13.11	1029.3	42.1	0		64	22.949	215.8	-14.2	18.20
2	2019-04-29 13:24:10	18.732		13.02	13.02	1029.3	42.0	5		64	23.131	219.0	-14.2	18.23
3	2019-04-29 13:24:15	18.414		13.13	13.13	1029.3	41.9	10		64	23.319	216.2	-14.1	18.26
4	2019-04-29 13:24:20	18.074		13.34	13.34	1029.3	42.0	15		64	23.511	222.4	-14.1	18.28
5	2019-04-29 13:24:25	17.761		13.61	13.61	1029.2	42.2	20		64	23.683	220.8	-14.1	18.31
6	2019-04-29 13:24:30	17.467		13.87	13.87	1029.3	42.4	25		64	23.847	221.1	-14.0	18.34
7	2019-04-29 13:24:35	17.220		13.98	13.98	1029.4	42.4	30		64	24.000	206.1	-13.8	18.36
8	2019-04-29 13:24:40	17.007		14.03	14.03	1029.4	42.8	35		64	24.142	216.0	-13.9	18.37
9	2019-04-29 13:24:45	16.789		14.02	14.02	1029.4	43.2	40		64	24.297	217.2	-14.1	18.40
10	2019-04-29 13:24:50	16.580		14.03	14.03	1029.4	43.4	45		64	24.445	218.5	-14.3	18.42
11	2019-04-29 13:24:55	16.426		13.81	13.81	1029.4	43.8	50		64	24.585	219.7	-14.0	18.43
