Timestamp,T_air,O2_air,O2_tree,Tree,Plug_Height,Log_name,Notes
7/3/2019 10:00,26.6,20.05,0.814,SH5,Low,37,
7/3/2019 10:13,26.5,20.05,6.411,SH5,High,38,
7/3/2019 10:21,26.5,19.91,0.508,SH4,Low,39,
7/3/2019 10:33,26.2,19.50,10.560,SH4,High,40,
7/3/2019 10:43,27.2,19.81,2.743,SH3,Low,41,
7/3/2019 10:53,26.8,19.45,0.900,SH3,High,42,
7/3/2019 11:04,25.6,20.14,0.595,SH2,Low,43,
7/3/2019 11:15,27.3,19.85,1.710,SH2,High,44,
7/3/2019 11:29,27.8,20.06,10.840,SH6,Low,45,
7/3/2019 11:39,27.8,19.83,0.743,SH6,High,46,
7/3/2019 11:52,28.6,19.51,1.478,SH1,Low,47,
7/3/2019 12:02,29.2,20.11,1.362,SH1,High,48,
7/6/2019 9:45,27.8,20.74,0.211,S1,Low,49,
7/6/2019 9:55,27.2,20.74,-0.110,S2,Low,50,
7/6/2019 10:11,28.1,20.74,-0.020,S3,Low,51,Liquid came out of plug/tree
7/6/2019 10:29,27.5,20.17,0.765,S8,High,52,
7/6/2019 10:38,31.0,20.17,0.388,S8,Low,53,
7/6/2019 10:49,28.6,20.17,,S7,High,54,Probe came loose
7/6/2019 10:55,28.6,20.17,1.872,S7,High,55,
7/6/2019 11:05,27.9,20.17,2.841,S7,Low,56,
7/6/2019 11:19,26.5,20.70,0.942,C8,Low,57,
7/6/2019 11:30,26.8,2.07,3.825,C8,High,58,
7/6/2019 11:38,27.5,20.70,0.305,C2,Low,59,
7/6/2019 11:45,27.9,20.24,0.103,C3,Low,60,
7/6/2019 11:55,27.9,20.24,0.313,C7,Low,61,
7/6/2019 12:02,27.9,20.24,0.758,C1,Low,62,
7/9/2019 9:59,24.0,20.97,2.341,F8,Low,63,"Couldn't get probe in fully, O2 still decreased"
7/9/2019 10:08,23.9,20.97,9.401,F8,High,64,
7/9/2019 10:13,23.8,20.53,0.485,F7,Low,65,
7/9/2019 10:22,24.4,20.53,6.510,F7,High,66,"Couldn't get probe in fully, O2 still decreased"
7/9/2019 10:26,24.1,20.76,0.963,F2,Low,67,
7/9/2019 10:34,24.0,20.42,-0.020,F1,Low,68,
7/9/2019 10:47,24.3,20.01,0.861,F3,Low,69,
