#Log_File	LOG067
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.37
#Unique_ID	24EB9B04575BA8F7
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	XB7-537-209	Gas	%O2	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	XB7-537-209	29 Apr 2019	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	10%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	53.000°	22.117°	20.00°C	11.22°C	1030 mbar	47%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.30 mV	0.000°	0	0.017000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%O2)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
1	2019-07-09 10:26:47	20.797		24.01	24.01	1018.0	57.7	0		64	20.763	166.7	-7.6	29.73
2	2019-07-09 10:26:49	20.728		24.05	24.05	1018.1	57.7	2		64	20.795	165.0	-8.9	29.73
3	2019-07-09 10:26:51	20.635		24.11	24.11	1018.1	57.6	4		64	20.840	169.7	-11.2	29.74
4	2019-07-09 10:26:53	19.680		24.15	24.15	1018.1	57.6	6		64	21.371	174.9	-13.9	29.74
5	2019-07-09 10:26:55	18.566		24.18	24.18	1018.1	57.7	8		64	22.033	181.2	-13.8	29.74
6	2019-07-09 10:26:57	17.308		24.23	24.23	1018.1	58.0	10		64	22.838	188.1	-13.7	29.74
7	2019-07-09 10:26:59	15.938		24.23	24.23	1018.0	58.1	12		64	23.803	192.2	-13.8	29.74
8	2019-07-09 10:27:01	14.733		24.25	24.25	1018.1	58.0	14		64	24.731	202.2	-13.6	29.73
9	2019-07-09 10:27:03	13.665		24.33	24.33	1018.0	58.0	16		64	25.619	202.0	-13.6	29.73
10	2019-07-09 10:27:05	12.749		24.44	24.44	1018.1	58.1	18		64	26.438	214.8	-13.7	29.73
11	2019-07-09 10:27:07	11.920		24.47	24.47	1018.1	58.1	20		64	27.245	222.5	-13.8	29.73
12	2019-07-09 10:27:09	11.189		24.55	24.55	1018.1	58.0	22		64	27.999	228.1	-13.7	29.73
13	2019-07-09 10:27:11	10.515		24.56	24.56	1018.1	57.8	24		64	28.748	229.8	-13.5	29.72
14	2019-07-09 10:27:13	9.912		24.56	24.56	1018.1	57.8	26		64	29.461	241.6	-14.0	29.72
15	2019-07-09 10:27:15	9.346		24.54	24.54	1018.1	57.6	28		64	30.169	246.8	-13.8	29.72
16	2019-07-09 10:27:17	8.821		24.57	24.57	1018.1	57.5	30		64	30.858	252.8	-13.6	29.72
17	2019-07-09 10:27:19	8.351		24.60	24.60	1018.1	57.4	32		64	31.507	258.6	-13.8	29.72
18	2019-07-09 10:27:21	7.897		24.62	24.62	1018.0	57.2	34		64	32.166	264.1	-13.7	29.70
19	2019-07-09 10:27:23	7.498		24.59	24.59	1018.1	57.1	36		64	32.779	269.7	-13.8	29.71
20	2019-07-09 10:27:25	7.112		24.57	24.57	1018.1	57.0	38		64	33.397	275.0	-13.9	29.71
21	2019-07-09 10:27:27	6.755		24.55	24.55	1018.1	56.9	40		64	33.994	279.8	-13.6	29.69
22	2019-07-09 10:27:29	6.422		24.49	24.49	1018.1	56.8	42		64	34.578	283.2	-14.1	29.70
23	2019-07-09 10:27:31	6.111		24.47	24.47	1018.1	56.8	44		64	35.139	289.7	-13.7	29.69
24	2019-07-09 10:27:33	5.821		24.42	24.42	1018.0	56.8	46		64	35.686	290.1	-13.6	29.68
25	2019-07-09 10:27:35	5.551		24.37	24.37	1018.1	56.9	48		64	36.214	295.1	-13.7	29.69
26	2019-07-09 10:27:37	5.292		24.33	24.33	1018.1	56.9	50		64	36.734	300.1	-13.6	29.68
27	2019-07-09 10:27:39	5.055		24.31	24.31	1018.1	56.8	52		64	37.228	304.0	-13.7	29.68
28	2019-07-09 10:27:41	4.829		24.26	24.26	1018.0	56.8	54		64	37.713	308.8	-13.6	29.68
29	2019-07-09 10:27:43	4.615		24.22	24.22	1018.0	56.9	56		64	38.186	312.9	-13.8	29.67
30	2019-07-09 10:27:45	4.410		24.18	24.18	1018.0	57.0	58		64	38.650	306.2	-13.7	29.66
31	2019-07-09 10:27:47	4.222		24.14	24.14	1018.1	57.2	60		64	39.088	313.9	-13.8	29.67
32	2019-07-09 10:27:49	4.045		24.11	24.11	1018.0	57.6	62		64	39.510	315.8	-13.8	29.68
33	2019-07-09 10:27:51	3.874		24.08	24.08	1018.0	57.5	64		64	39.928	319.4	-13.7	29.67
34	2019-07-09 10:27:53	3.724		24.04	24.04	1018.0	57.5	66		64	40.305	324.8	-13.6	29.66
35	2019-07-09 10:27:55	3.568		24.01	24.01	1018.1	57.5	68		64	40.701	326.8	-13.9	29.67
36	2019-07-09 10:27:57	3.424		24.00	24.00	1018.1	57.5	70		64	41.075	331.4	-13.9	29.66
37	2019-07-09 10:27:59	3.292		23.97	23.97	1018.1	57.5	72		64	41.428	333.9	-13.8	29.65
38	2019-07-09 10:28:01	3.162		23.96	23.96	1018.1	57.5	74		64	41.779	338.1	-13.8	29.64
39	2019-07-09 10:28:03	3.043		23.96	23.96	1018.1	57.5	76		64	42.104	341.9	-13.9	29.65
40	2019-07-09 10:28:05	2.933		23.95	23.95	1018.1	57.6	78		64	42.411	343.1	-14.0	29.64
41	2019-07-09 10:28:07	2.827		23.94	23.94	1018.1	57.5	80		64	42.714	346.7	-13.9	29.65
42	2019-07-09 10:28:09	2.727		23.93	23.93	1018.0	57.5	82		64	43.002	352.8	-13.8	29.65
43	2019-07-09 10:28:11	2.624		23.92	23.92	1018.1	57.4	84		64	43.304	349.5	-14.0	29.65
44	2019-07-09 10:28:13	2.533		23.93	23.93	1018.1	57.4	86		64	43.573	352.5	-13.8	29.65
45	2019-07-09 10:28:15	2.451		23.92	23.92	1018.1	57.5	88		64	43.820	352.7	-13.9	29.65
46	2019-07-09 10:28:17	2.365		23.93	23.93	1018.1	57.4	90		64	44.080	354.3	-13.7	29.65
47	2019-07-09 10:28:19	2.291		23.93	23.93	1018.1	57.4	92		64	44.310	355.4	-13.7	29.64
48	2019-07-09 10:28:21	2.215		23.93	23.93	1018.1	57.6	94		64	44.545	361.6	-13.8	29.65
49	2019-07-09 10:28:23	2.145		23.93	23.93	1018.0	57.9	96		64	44.768	363.0	-13.8	29.64
50	2019-07-09 10:28:25	2.080		23.93	23.93	1018.1	57.7	98		64	44.975	364.8	-13.6	29.63
51	2019-07-09 10:28:27	2.020		23.94	23.94	1018.1	57.9	100		64	45.167	366.6	-13.6	29.65
52	2019-07-09 10:28:29	1.960		23.96	23.96	1018.1	58.0	102		64	45.360	367.9	-13.9	29.64
53	2019-07-09 10:28:31	1.904		23.97	23.97	1018.1	57.9	104		64	45.543	369.2	-13.7	29.64
54	2019-07-09 10:28:33	1.851		23.98	23.98	1018.1	57.7	106		64	45.719	369.6	-13.9	29.63
55	2019-07-09 10:28:35	1.803		23.99	23.99	1018.1	57.7	108		64	45.880	371.5	-13.9	29.63
56	2019-07-09 10:28:37	1.751		23.97	23.97	1018.0	57.7	110		64	46.054	371.4	-14.0	29.63
57	2019-07-09 10:28:39	1.710		23.97	23.97	1018.0	57.7	112		64	46.194	373.3	-13.7	29.63
58	2019-07-09 10:28:41	1.667		23.97	23.97	1018.1	57.7	114		64	46.342	373.5	-13.7	29.64
59	2019-07-09 10:28:43	1.629		23.96	23.96	1018.1	57.8	116		64	46.470	374.8	-13.8	29.64
60	2019-07-09 10:28:45	1.587		23.97	23.97	1018.0	57.8	118		64	46.617	376.6	-13.6	29.63
61	2019-07-09 10:28:47	1.550		23.99	23.99	1018.0	57.9	120		64	46.745	380.5	-13.6	29.64
62	2019-07-09 10:28:49	1.516		23.99	23.99	1018.1	57.9	122		64	46.862	379.6	-13.9	29.64
63	2019-07-09 10:28:51	1.484		24.00	24.00	1018.1	57.9	124		64	46.974	381.0	-13.7	29.64
64	2019-07-09 10:28:53	1.454		24.00	24.00	1018.1	57.8	126		64	47.082	381.0	-13.6	29.63
65	2019-07-09 10:28:55	1.423		24.00	24.00	1018.1	57.9	128		64	47.192	380.5	-13.7	29.64
66	2019-07-09 10:28:57	1.401		24.03	24.03	1018.1	58.2	130		64	47.270	383.7	-13.8	29.64
67	2019-07-09 10:28:59	1.374		24.03	24.03	1018.1	58.2	132		64	47.364	385.3	-13.7	29.64
68	2019-07-09 10:29:01	1.351		24.04	24.04	1018.0	58.3	134		64	47.447	385.3	-13.8	29.65
69	2019-07-09 10:29:03	1.323		24.06	24.06	1018.1	58.2	136		64	47.547	386.4	-14.0	29.64
70	2019-07-09 10:29:05	1.305		24.08	24.08	1018.1	58.0	138		64	47.614	387.5	-13.9	29.65
71	2019-07-09 10:29:07	1.283		24.09	24.09	1018.1	58.1	140		64	47.692	385.6	-13.9	29.64
