#Log_File	LOG025
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.37
#Unique_ID	24EB9B04575BA8F7
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	XB7-537-209	Gas	%O2	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	XB7-537-209	29 Apr 2019	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	10%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	53.000°	22.117°	20.00°C	11.22°C	1030 mbar	47%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.30 mV	0.000°	0	0.017000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%O2)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
1	2019-04-30 12:07:44	18.262		21.80	21.80	1021.6	53.3	0		64	22.453	202.2	-14.1	25.48
2	2019-04-30 12:07:46	18.101		21.81	21.81	1021.5	53.4	2		64	22.556	203.4	-13.7	25.48
3	2019-04-30 12:07:48	17.812		21.81	21.81	1021.6	53.3	4		64	22.741	205.3	-14.1	25.50
4	2019-04-30 12:07:50	17.573		21.82	21.82	1021.6	53.4	6		64	22.897	206.7	-13.9	25.49
5	2019-04-30 12:07:52	17.316		21.82	21.82	1021.6	53.4	8		64	23.070	208.1	-14.0	25.50
6	2019-04-30 12:07:54	17.174		21.25	21.25	1021.6	53.4	10		64	23.233	209.7	-14.0	25.52
7	2019-04-30 12:07:56	17.064		20.66	20.66	1021.6	53.4	12		64	23.376	211.5	-14.1	25.53
8	2019-04-30 12:07:58	16.926		20.21	20.21	1021.6	53.4	14		64	23.526	212.8	-14.1	25.53
9	2019-04-30 12:08:00	16.803		19.86	19.86	1021.6	53.4	16		64	23.652	214.0	-14.0	25.53
10	2019-04-30 12:08:02	16.642		19.59	19.59	1021.6	53.4	18		64	23.799	215.4	-14.1	25.54
11	2019-04-30 12:08:04	16.472		19.37	19.37	1021.6	53.5	20		64	23.947	216.9	-13.9	25.55
12	2019-04-30 12:08:06	16.355		19.19	19.19	1021.6	53.5	22		64	24.053	218.2	-14.1	25.55
13	2019-04-30 12:08:08	16.178		19.05	19.05	1021.6	53.5	24		64	24.198	219.3	-14.0	25.56
14	2019-04-30 12:08:10	16.068		18.92	18.92	1021.6	53.5	26		64	24.295	220.6	-14.1	25.56
15	2019-04-30 12:08:12	15.903		18.81	18.81	1021.6	53.5	28		64	24.432	221.8	-14.0	25.57
16	2019-04-30 12:08:14	15.766		18.72	18.72	1021.5	53.5	30		64	24.547	222.9	-14.0	25.57
17	2019-04-30 12:08:16	15.669		18.63	18.63	1021.6	53.5	32		64	24.630	224.0	-13.8	25.57
18	2019-04-30 12:08:18	15.516		18.57	18.57	1021.6	53.5	34		64	24.756	225.3	-14.0	25.57
19	2019-04-30 12:08:20	15.390		18.51	18.51	1021.6	53.5	36		64	24.860	226.2	-14.0	25.57
20	2019-04-30 12:08:22	15.267		18.45	18.45	1021.6	53.5	38		64	24.964	227.2	-14.1	25.56
21	2019-04-30 12:08:24	15.144		18.41	18.41	1021.7	53.4	40		64	25.065	228.3	-13.9	25.58
22	2019-04-30 12:08:26	15.026		18.38	18.38	1021.6	53.4	42		64	25.163	229.2	-14.1	25.57
23	2019-04-30 12:08:28	14.916		18.35	18.35	1021.6	53.4	44		64	25.253	230.2	-14.1	25.57
24	2019-04-30 12:08:30	14.810		18.31	18.31	1021.6	53.4	46		64	25.344	231.1	-14.0	25.58
25	2019-04-30 12:08:32	14.725		18.29	18.29	1021.6	53.4	48		64	25.416	231.9	-13.8	25.58
