#Log_File	LOG052
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.37
#Unique_ID	24EB9B04575BA8F7
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	XB7-537-209	Gas	%O2	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	XB7-537-209	29 Apr 2019	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	10%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	53.000°	22.117°	20.00°C	11.22°C	1030 mbar	47%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.30 mV	0.000°	0	0.017000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%O2)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
1	2019-07-06 10:31:14	9.442		28.43	28.43	1014.6	67.1	0		64	29.624	251.7	-13.9	29.81
2	2019-07-06 10:31:16	9.117		28.44	28.44	1014.6	67.2	2		64	30.044	272.0	-13.7	29.81
3	2019-07-06 10:31:18	8.554		28.49	28.49	1014.5	67.2	4		64	30.800	278.2	-13.8	29.81
4	2019-07-06 10:31:20	8.027		28.47	28.47	1014.6	67.2	6		64	31.558	282.0	-14.0	29.82
5	2019-07-06 10:31:22	7.530		28.53	28.53	1014.6	67.2	8		64	32.306	277.9	-13.8	29.82
6	2019-07-06 10:31:24	7.094		28.61	28.61	1014.6	67.1	10		64	32.992	287.9	-13.7	29.81
7	2019-07-06 10:31:26	6.678		28.68	28.68	1014.6	67.1	12		64	33.683	293.9	-13.7	29.82
8	2019-07-06 10:31:28	6.303		28.74	28.74	1014.6	67.0	14		64	34.339	299.8	-13.9	29.82
9	2019-07-06 10:31:30	5.946		28.80	28.80	1014.6	67.0	16		64	34.989	305.8	-13.7	29.82
10	2019-07-06 10:31:32	5.622		28.84	28.84	1014.6	66.9	18		64	35.609	311.1	-13.9	29.82
11	2019-07-06 10:31:34	5.327		28.89	28.89	1014.6	66.9	20		64	36.194	316.5	-13.9	29.81
12	2019-07-06 10:31:36	5.048		28.93	28.93	1014.6	66.9	22		64	36.769	321.5	-14.0	29.81
13	2019-07-06 10:31:38	4.790		28.96	28.96	1014.6	66.8	24		64	37.322	326.2	-13.8	29.82
14	2019-07-06 10:31:40	4.553		29.01	29.01	1014.7	66.8	26		64	37.845	330.8	-13.7	29.81
15	2019-07-06 10:31:42	4.333		29.04	29.04	1014.6	66.8	28		64	38.347	335.1	-14.0	29.79
16	2019-07-06 10:31:44	4.127		29.07	29.07	1014.6	66.8	30		64	38.834	339.3	-14.0	29.80
17	2019-07-06 10:31:46	3.937		29.09	29.09	1014.6	66.8	32		64	39.295	343.3	-14.0	29.81
18	2019-07-06 10:31:48	3.769		29.12	29.12	1014.6	66.8	34		64	39.712	347.0	-14.0	29.81
19	2019-07-06 10:31:50	3.597		29.15	29.15	1014.6	66.8	36		64	40.150	350.7	-13.9	29.80
20	2019-07-06 10:31:52	3.445		29.17	29.17	1014.6	66.8	38		64	40.549	353.9	-13.8	29.81
21	2019-07-06 10:31:54	3.305		29.19	29.19	1014.7	66.9	40		64	40.923	356.9	-13.7	29.80
22	2019-07-06 10:31:56	3.174		29.20	29.20	1014.6	66.8	42		64	41.284	360.0	-13.8	29.80
23	2019-07-06 10:31:58	3.050		29.21	29.21	1014.6	66.9	44		64	41.629	362.7	-13.8	29.80
24	2019-07-06 10:32:00	2.938		29.21	29.21	1014.6	66.9	46		64	41.950	365.4	-13.8	29.80
25	2019-07-06 10:32:02	2.833		29.22	29.22	1014.7	66.9	48		64	42.253	368.1	-13.8	29.80
26	2019-07-06 10:32:04	2.734		29.23	29.23	1014.6	66.9	50		64	42.542	370.3	-13.7	29.80
27	2019-07-06 10:32:06	2.642		29.23	29.23	1014.6	66.8	52		64	42.817	372.4	-13.8	29.79
28	2019-07-06 10:32:08	2.555		29.22	29.22	1014.6	66.8	54		64	43.083	374.4	-13.7	29.79
29	2019-07-06 10:32:10	2.478		29.22	29.22	1014.6	66.7	56		64	43.320	376.4	-13.7	29.79
30	2019-07-06 10:32:12	2.402		29.22	29.22	1014.6	66.6	58		64	43.557	378.3	-13.8	29.79
31	2019-07-06 10:32:14	2.334		29.23	29.23	1014.6	66.6	60		64	43.768	379.9	-14.0	29.79
32	2019-07-06 10:32:16	2.270		29.24	29.24	1014.6	66.5	62		64	43.973	381.5	-13.9	29.79
33	2019-07-06 10:32:18	2.211		29.25	29.25	1014.6	66.4	64		64	44.161	383.1	-13.7	29.78
34	2019-07-06 10:32:20	2.154		29.25	29.25	1014.6	66.4	66		64	44.347	384.5	-14.0	29.78
35	2019-07-06 10:32:22	2.100		29.27	29.27	1014.6	66.3	68		64	44.523	385.8	-13.8	29.78
36	2019-07-06 10:32:24	2.050		29.29	29.29	1014.6	66.3	70		64	44.686	387.4	-14.0	29.78
37	2019-07-06 10:32:26	2.002		29.31	29.31	1014.6	66.2	72		64	44.842	388.5	-13.8	29.78
38	2019-07-06 10:32:28	1.961		29.33	29.33	1014.7	66.3	74		64	44.979	389.8	-14.1	29.78
39	2019-07-06 10:32:30	1.918		29.36	29.36	1014.6	66.3	76		64	45.123	390.9	-13.8	29.77
40	2019-07-06 10:32:32	1.881		29.38	29.38	1014.6	66.4	78		64	45.247	391.9	-13.9	29.78
41	2019-07-06 10:32:34	1.846		29.39	29.39	1014.6	66.4	80		64	45.365	392.9	-13.8	29.76
42	2019-07-06 10:32:36	1.811		29.41	29.41	1014.6	66.3	82		64	45.484	393.5	-13.8	29.77
43	2019-07-06 10:32:38	1.781		29.44	29.44	1014.6	66.2	84		64	45.587	394.6	-13.7	29.76
44	2019-07-06 10:32:40	1.750		29.49	29.49	1014.6	66.2	86		64	45.690	395.5	-13.8	29.77
45	2019-07-06 10:32:42	1.725		29.52	29.52	1014.6	66.2	88		64	45.776	395.9	-14.0	29.77
46	2019-07-06 10:32:44	1.696		29.56	29.56	1014.7	66.1	90		64	45.875	396.6	-13.7	29.78
47	2019-07-06 10:32:46	1.671		29.59	29.59	1014.6	66.1	92		64	45.962	397.3	-13.8	29.78
48	2019-07-06 10:32:48	1.648		29.60	29.60	1014.6	66.1	94		64	46.043	398.0	-13.9	29.77
49	2019-07-06 10:32:50	1.628		29.62	29.62	1014.6	66.2	96		64	46.113	398.6	-13.8	29.77
50	2019-07-06 10:32:52	1.606		29.65	29.65	1014.6	66.2	98		64	46.192	399.2	-13.7	29.77
51	2019-07-06 10:32:54	1.586		29.67	29.67	1014.6	66.2	100		64	46.260	399.9	-13.8	29.77
52	2019-07-06 10:32:56	1.566		29.70	29.70	1014.6	66.2	102		64	46.329	400.2	-13.8	29.77
53	2019-07-06 10:32:58	1.551		29.74	29.74	1014.6	66.3	104		64	46.382	400.6	-13.8	29.77
54	2019-07-06 10:33:00	1.532		29.76	29.76	1014.6	66.3	106		64	46.449	401.1	-13.7	29.77
55	2019-07-06 10:33:02	1.517		29.77	29.77	1014.6	66.3	108		64	46.503	401.8	-13.8	29.77
56	2019-07-06 10:33:04	1.503		29.79	29.79	1014.6	66.3	110		64	46.552	402.0	-13.7	29.78
57	2019-07-06 10:33:06	1.488		29.86	29.86	1014.7	66.4	112		64	46.603	402.6	-14.0	29.77
58	2019-07-06 10:33:08	1.477		29.93	29.93	1014.6	66.4	114		64	46.641	402.8	-13.9	29.77
59	2019-07-06 10:33:10	1.464		29.99	29.99	1014.7	66.4	116		64	46.682	402.9	-13.8	29.78
60	2019-07-06 10:33:12	1.447		30.07	30.07	1014.7	66.5	118		64	46.742	403.3	-13.8	29.78
61	2019-07-06 10:33:14	1.434		30.14	30.14	1014.7	66.5	120		64	46.784	403.4	-13.8	29.78
62	2019-07-06 10:33:16	1.428		30.19	30.19	1014.7	66.6	122		64	46.806	403.7	-14.1	29.79
63	2019-07-06 10:33:18	1.414		30.22	30.22	1014.6	66.6	124		64	46.853	404.1	-13.7	29.78
64	2019-07-06 10:33:20	1.403		30.26	30.26	1014.6	66.7	126		64	46.892	404.5	-13.8	29.79
65	2019-07-06 10:33:22	1.390		30.30	30.30	1014.6	66.7	128		64	46.938	404.7	-14.0	29.78
66	2019-07-06 10:33:24	1.382		30.31	30.31	1014.6	66.7	130		64	46.968	404.8	-13.8	29.79
67	2019-07-06 10:33:26	1.375		30.33	30.33	1014.7	66.7	132		64	46.994	404.9	-13.9	29.79
68	2019-07-06 10:33:28	1.364		30.36	30.36	1014.7	66.7	134		64	47.032	405.1	-13.9	29.79
69	2019-07-06 10:33:30	1.355		30.38	30.38	1014.6	66.8	136		64	47.067	405.5	-13.9	29.79
70	2019-07-06 10:33:32	1.348		30.41	30.41	1014.6	66.8	138		64	47.092	405.5	-13.8	29.79
71	2019-07-06 10:33:34	1.341		30.43	30.43	1014.6	66.8	140		64	47.117	405.9	-13.6	29.79
72	2019-07-06 10:33:36	1.331		30.45	30.45	1014.7	66.8	142		64	47.151	406.2	-13.7	29.79
73	2019-07-06 10:33:38	1.323		30.47	30.47	1014.6	66.8	144		64	47.179	406.4	-13.8	29.79
74	2019-07-06 10:33:40	1.316		30.47	30.47	1014.6	66.9	146		64	47.207	406.5	-14.1	29.80
75	2019-07-06 10:33:42	1.310		30.50	30.50	1014.7	66.9	148		64	47.226	406.8	-13.8	29.80
76	2019-07-06 10:33:44	1.303		30.50	30.50	1014.6	66.9	150		64	47.253	407.2	-13.9	29.80
77	2019-07-06 10:33:46	1.295		30.49	30.49	1014.7	67.0	152		64	47.285	407.1	-13.9	29.80
78	2019-07-06 10:33:48	1.289		30.52	30.52	1014.7	67.0	154		64	47.306	407.2	-14.0	29.80
79	2019-07-06 10:33:50	1.281		30.54	30.54	1014.6	67.1	156		64	47.336	407.4	-13.8	29.81
80	2019-07-06 10:33:52	1.276		30.58	30.58	1014.6	67.1	158		64	47.354	407.5	-13.7	29.81
81	2019-07-06 10:33:54	1.269		30.60	30.60	1014.7	67.1	160		64	47.376	407.8	-14.0	29.81
82	2019-07-06 10:33:56	1.262		30.62	30.62	1014.7	67.2	162		64	47.402	407.9	-14.0	29.80
83	2019-07-06 10:33:58	1.256		30.65	30.65	1014.6	67.3	164		64	47.423	408.1	-14.0	29.80
84	2019-07-06 10:34:00	1.251		30.67	30.67	1014.7	67.3	166		64	47.441	408.4	-13.9	29.82
85	2019-07-06 10:34:02	1.245		30.70	30.70	1014.7	67.3	168		64	47.462	408.3	-13.7	29.82
86	2019-07-06 10:34:04	1.239		30.72	30.72	1014.7	67.3	170		64	47.487	408.7	-13.9	29.82
87	2019-07-06 10:34:06	1.233		30.73	30.73	1014.7	67.3	172		64	47.507	408.9	-13.8	29.82
88	2019-07-06 10:34:08	1.226		30.76	30.76	1014.7	67.3	174		64	47.534	409.1	-14.1	29.83
89	2019-07-06 10:34:10	1.223		30.82	30.82	1014.7	67.3	176		64	47.543	409.3	-13.8	29.83
90	2019-07-06 10:34:12	1.214		30.84	30.84	1014.7	67.3	178		64	47.574	409.3	-13.8	29.83
91	2019-07-06 10:34:14	1.210		30.86	30.86	1014.6	67.4	180		64	47.591	409.3	-14.1	29.83
92	2019-07-06 10:34:16	1.204		30.86	30.86	1014.7	67.3	182		64	47.612	409.5	-14.1	29.83
93	2019-07-06 10:34:18	1.198		30.86	30.86	1014.7	67.4	184		64	47.635	409.5	-13.9	29.83
94	2019-07-06 10:34:20	1.195		30.85	30.85	1014.7	67.4	186		64	47.648	409.7	-14.2	29.83
95	2019-07-06 10:34:22	1.188		30.86	30.86	1014.7	67.3	188		64	47.674	409.9	-14.1	29.83
96	2019-07-06 10:34:24	1.184		30.87	30.87	1014.7	67.3	190		64	47.692	409.8	-13.8	29.84
97	2019-07-06 10:34:26	1.180		30.90	30.90	1014.6	67.3	192		64	47.705	410.3	-14.0	29.83
98	2019-07-06 10:34:28	1.175		30.92	30.92	1014.7	67.3	194		64	47.722	410.5	-14.0	29.83
99	2019-07-06 10:34:30	1.170		30.94	30.94	1014.7	67.3	196		64	47.742	410.5	-14.2	29.85
100	2019-07-06 10:34:32	1.164		30.95	30.95	1014.6	67.2	198		64	47.763	410.6	-13.9	29.84
101	2019-07-06 10:34:34	1.161		30.94	30.94	1014.6	67.3	200		64	47.778	410.7	-13.8	29.85
102	2019-07-06 10:34:36	1.157		30.94	30.94	1014.6	67.3	202		64	47.791	410.9	-14.1	29.84
103	2019-07-06 10:34:38	1.151		30.96	30.96	1014.7	67.4	204		64	47.813	411.0	-14.1	29.86
104	2019-07-06 10:34:40	1.146		30.97	30.97	1014.7	67.4	206		64	47.835	411.4	-13.9	29.85
105	2019-07-06 10:34:42	1.141		30.99	30.99	1014.6	67.4	208		64	47.853	411.2	-13.9	29.86
106	2019-07-06 10:34:44	1.136		31.01	31.01	1014.7	67.5	210		64	47.872	411.6	-13.8	29.87
107	2019-07-06 10:34:46	1.133		31.02	31.02	1014.6	67.6	212		64	47.881	411.7	-13.7	29.87
108	2019-07-06 10:34:48	1.127		31.02	31.02	1014.7	67.5	214		64	47.905	411.7	-13.8	29.87
109	2019-07-06 10:34:50	1.122		31.03	31.03	1014.7	67.6	216		64	47.924	411.8	-13.7	29.87
110	2019-07-06 10:34:52	1.118		31.02	31.02	1014.7	67.5	218		64	47.942	412.2	-14.0	29.88
111	2019-07-06 10:34:54	1.115		31.02	31.02	1014.6	67.6	220		64	47.952	411.9	-14.0	29.87
112	2019-07-06 10:34:56	1.108		31.03	31.03	1014.7	67.5	222		64	47.979	408.1	-14.0	29.88
113	2019-07-06 10:34:58	1.104		31.04	31.04	1014.7	67.5	224		64	47.993	407.7	-14.0	29.88
114	2019-07-06 10:35:00	1.100		31.04	31.04	1014.6	67.5	226		64	48.010	408.1	-13.8	29.88
115	2019-07-06 10:35:02	1.096		31.02	31.02	1014.7	67.5	228		64	48.026	408.7	-13.8	29.88
116	2019-07-06 10:35:04	1.091		31.07	31.07	1014.6	67.5	230		64	48.046	432.6	-14.1	29.89
117	2019-07-06 10:35:06	1.088		31.08	31.08	1014.6	67.6	232		64	48.056	429.5	-13.9	29.89
118	2019-07-06 10:35:08	1.083		31.08	31.08	1014.5	67.6	234		64	48.077	430.3	-14.0	29.89
119	2019-07-06 10:35:10	1.079		31.07	31.07	1014.6	67.5	236		64	48.094	430.2	-14.0	29.88
120	2019-07-06 10:35:12	1.074		31.04	31.04	1014.6	67.5	238		64	48.112	430.4	-13.8	29.89
121	2019-07-06 10:35:14	1.070		31.01	31.01	1014.5	67.4	240		64	48.130	430.5	-13.9	29.90
122	2019-07-06 10:35:16	1.067		30.99	30.99	1014.6	67.4	242		64	48.143	416.8	-13.9	29.89
123	2019-07-06 10:35:18	1.064		30.98	30.98	1014.6	67.4	244		64	48.155	406.2	-13.7	29.91
124	2019-07-06 10:35:20	1.058		31.02	31.02	1014.7	67.3	246		64	48.177	406.0	-13.6	29.91
125	2019-07-06 10:35:22	1.052		31.06	31.06	1014.7	67.2	248		64	48.200	406.0	-13.8	29.91
126	2019-07-06 10:35:24	1.050		31.10	31.10	1014.7	67.1	250		64	48.205	406.1	-13.9	29.92
127	2019-07-06 10:35:26	1.042		31.15	31.15	1014.6	67.1	252		64	48.234	405.9	-14.0	29.92
128	2019-07-06 10:35:28	1.038		31.20	31.20	1014.7	67.0	254		64	48.247	405.9	-14.0	29.92
129	2019-07-06 10:35:30	1.039		31.24	31.24	1014.7	67.0	256		64	48.243	406.2	-13.9	29.93
130	2019-07-06 10:35:32	1.029		31.29	31.29	1014.7	67.0	258		64	48.279	405.8	-14.0	29.93
131	2019-07-06 10:35:34	1.026		31.34	31.34	1014.7	67.0	260		64	48.290	406.0	-13.9	29.94
132	2019-07-06 10:35:36	1.021		31.35	31.35	1014.6	66.9	262		64	48.310	406.4	-13.9	29.94
133	2019-07-06 10:35:38	1.018		31.36	31.36	1014.6	66.8	264		64	48.319	406.7	-14.1	29.95
134	2019-07-06 10:35:40	1.015		31.37	31.37	1014.6	66.8	266		64	48.331	406.4	-13.7	29.95
135	2019-07-06 10:35:42	1.006		31.39	31.39	1014.6	66.8	268		64	48.365	406.7	-13.9	29.95
136	2019-07-06 10:35:44	1.007		31.42	31.42	1014.7	66.9	270		64	48.363	406.8	-14.0	29.96
137	2019-07-06 10:35:46	1.000		31.42	31.42	1014.7	66.9	272		64	48.388	407.0	-13.8	29.96
138	2019-07-06 10:35:48	0.998		31.44	31.44	1014.7	66.8	274		64	48.398	407.1	-13.7	29.96
139	2019-07-06 10:35:50	0.992		31.44	31.44	1014.6	66.8	276		64	48.421	407.1	-14.1	29.97
140	2019-07-06 10:35:52	0.988		31.44	31.44	1014.6	66.7	278		64	48.437	407.2	-13.9	29.96
141	2019-07-06 10:35:54	0.985		31.44	31.44	1014.7	66.7	280		64	48.448	407.3	-14.0	29.97
