#Log_File	LOG040
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.37
#Unique_ID	24EB9B04575BA8F7
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	XB7-537-209	Gas	%O2	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	XB7-537-209	29 Apr 2019	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	10%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	53.000°	22.117°	20.00°C	11.22°C	1030 mbar	47%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.30 mV	0.000°	0	0.017000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%O2)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
1	2019-07-03 10:33:31	19.719		26.03	26.03	1012.4	64.4	0		64	21.208	122.1	-3.7	29.31
2	2019-07-03 10:33:33	19.729		26.03	26.03	1012.5	64.6	2		64	21.202	122.0	-3.7	29.31
3	2019-07-03 10:33:35	19.777		26.01	26.01	1012.4	64.6	4		64	21.177	122.4	-3.1	29.32
4	2019-07-03 10:33:37	19.831		26.00	26.00	1012.5	64.5	6		64	21.146	123.6	-3.9	29.33
5	2019-07-03 10:33:39	19.850		25.97	25.97	1012.5	64.3	8		64	21.139	137.5	1.7	29.33
6	2019-07-03 10:33:41	19.874		25.97	25.97	1012.4	64.1	10		64	21.126	138.2	-10.8	29.33
7	2019-07-03 10:33:43	19.880		25.97	25.97	1012.4	64.1	12		64	21.123	138.1	-9.7	29.33
8	2019-07-03 10:33:45	19.452		25.98	25.98	1012.4	64.4	14		64	21.368	137.7	-13.8	29.34
9	2019-07-03 10:33:47	18.594		25.97	25.97	1012.5	64.6	16		64	21.882	114.5	-14.1	29.34
10	2019-07-03 10:33:49	17.747		25.98	25.98	1012.4	64.6	18		64	22.418	143.6	-14.0	29.34
11	2019-07-03 10:33:51	16.971		25.98	25.98	1012.5	64.5	20		64	22.935	146.9	-13.7	29.33
12	2019-07-03 10:33:53	16.262		25.99	25.99	1012.5	64.4	22		64	23.431	144.4	-13.8	29.35
13	2019-07-03 10:33:55	15.619		25.98	25.98	1012.5	64.4	24		64	23.906	148.3	-13.9	29.34
14	2019-07-03 10:33:57	15.031		26.00	26.00	1012.4	64.3	26		64	24.357	151.6	-13.9	29.34
15	2019-07-03 10:33:59	14.482		26.03	26.03	1012.4	64.3	28		64	24.795	154.2	-13.7	29.34
16	2019-07-03 10:34:01	13.966		26.07	26.07	1012.5	64.3	30		64	25.221	156.7	-13.7	29.34
17	2019-07-03 10:34:03	13.520		26.10	26.10	1012.4	64.3	32		64	25.606	160.5	-13.7	29.34
18	2019-07-03 10:34:05	13.041		26.12	26.12	1012.4	64.3	34		64	26.036	163.2	-13.6	29.34
19	2019-07-03 10:34:07	12.659		26.12	26.12	1012.5	64.1	36		64	26.391	165.7	-13.8	29.35
20	2019-07-03 10:34:09	12.257		26.15	26.15	1012.4	64.0	38		64	26.778	168.6	-13.9	29.34
21	2019-07-03 10:34:11	11.869		26.19	26.19	1012.5	64.0	40		64	27.158	171.2	-13.9	29.34
22	2019-07-03 10:34:13	11.503		26.23	26.23	1012.5	64.0	42		64	27.531	173.5	-13.7	29.35
23	2019-07-03 10:34:15	11.181		26.22	26.22	1012.5	63.9	44		64	27.874	176.3	-13.9	29.35
24	2019-07-03 10:34:17	10.860		26.22	26.22	1012.4	63.8	46		64	28.226	178.4	-13.8	29.36
25	2019-07-03 10:34:19	10.568		26.20	26.20	1012.5	63.7	48		64	28.557	180.8	-13.8	29.35
26	2019-07-03 10:34:21	10.275		26.20	26.20	1012.5	63.8	50		64	28.896	182.7	-13.8	29.35
27	2019-07-03 10:34:23	10.009		26.21	26.21	1012.5	63.9	52		64	29.211	183.5	-13.7	29.36
28	2019-07-03 10:34:25	9.736		26.21	26.21	1012.5	64.1	54		64	29.543	186.2	-13.8	29.35
29	2019-07-03 10:34:27	9.484		26.22	26.22	1012.5	64.1	56		64	29.858	180.0	-13.7	29.36
30	2019-07-03 10:34:29	9.228		26.24	26.24	1012.5	64.1	58		64	30.183	185.1	-13.9	29.35
31	2019-07-03 10:34:31	9.022		26.24	26.24	1012.5	64.0	60		64	30.453	204.2	-13.5	29.36
32	2019-07-03 10:34:33	8.796		26.24	26.24	1012.5	64.0	62		64	30.758	208.2	-13.9	29.35
33	2019-07-03 10:34:35	8.585		26.27	26.27	1012.5	63.9	64		64	31.043	210.7	-14.0	29.35
34	2019-07-03 10:34:37	8.390		26.30	26.30	1012.5	63.8	66		64	31.313	214.1	-14.0	29.35
35	2019-07-03 10:34:39	8.176		26.35	26.35	1012.5	63.7	68		64	31.614	216.2	-13.9	29.35
36	2019-07-03 10:34:41	8.005		26.38	26.38	1012.5	63.7	70		64	31.862	217.0	-13.8	29.35
37	2019-07-03 10:34:43	7.828		26.40	26.40	1012.5	63.7	72		64	32.123	219.2	-13.7	29.35
38	2019-07-03 10:34:45	7.652		26.41	26.41	1012.5	63.7	74		64	32.389	218.7	-13.8	29.34
39	2019-07-03 10:34:47	7.499		26.42	26.42	1012.5	63.7	76		64	32.624	224.4	-13.9	29.34
40	2019-07-03 10:34:49	7.340		26.44	26.44	1012.4	63.7	78		64	32.874	224.9	-13.7	29.34
41	2019-07-03 10:34:51	7.178		26.45	26.45	1012.4	63.9	80		64	33.131	226.6	-13.7	29.34
42	2019-07-03 10:34:53	7.054		26.46	26.46	1012.5	64.0	82		64	33.332	228.2	-13.7	29.34
43	2019-07-03 10:34:55	6.925		26.45	26.45	1012.6	64.1	84		64	33.548	219.4	-13.6	29.34
44	2019-07-03 10:34:57	6.791		26.43	26.43	1012.5	64.0	86		64	33.774	223.8	-13.8	29.34
45	2019-07-03 10:34:59	6.672		26.42	26.42	1012.4	63.8	88		64	33.981	237.5	-13.7	29.34
46	2019-07-03 10:35:01	6.551		26.42	26.42	1012.5	63.8	90		64	34.188	237.0	-13.8	29.34
47	2019-07-03 10:35:03	6.434		26.41	26.41	1012.4	63.8	92		64	34.396	238.5	-13.8	29.34
48	2019-07-03 10:35:05	6.341		26.41	26.41	1012.4	64.4	94		64	34.562	230.9	-13.9	29.34
49	2019-07-03 10:35:07	6.238		26.41	26.41	1012.5	65.2	96		64	34.747	234.5	-13.9	29.35
50	2019-07-03 10:35:09	6.138		26.38	26.38	1012.4	66.3	98		64	34.931	234.7	-13.8	29.34
51	2019-07-03 10:35:11	6.050		26.35	26.35	1012.4	66.7	100		64	35.097	231.0	-13.9	29.34
52	2019-07-03 10:35:13	5.966		26.38	26.38	1012.4	67.0	102		64	35.250	235.5	-13.6	29.34
53	2019-07-03 10:35:15	5.876		26.51	26.51	1012.4	67.2	104		64	35.405	239.4	-13.7	29.35
54	2019-07-03 10:35:17	5.811		26.46	26.46	1012.4	67.0	106		64	35.534	256.2	-13.7	29.35
55	2019-07-03 10:35:19	5.756		26.42	26.42	1012.4	67.2	108		64	35.645	256.7	-13.7	29.34
56	2019-07-03 10:35:21	5.707		26.40	26.40	1012.5	67.2	110		64	35.740	253.3	-13.7	29.34
57	2019-07-03 10:35:23	5.669		26.36	26.36	1012.4	67.3	112		64	35.820	251.3	-13.7	29.35
58	2019-07-03 10:35:25	5.623		26.43	26.43	1012.5	67.3	114		64	35.900	243.3	-13.7	29.35
59	2019-07-03 10:35:27	5.594		26.52	26.52	1012.4	67.1	116		64	35.947	248.2	-13.7	29.34
60	2019-07-03 10:35:29	5.570		26.51	26.51	1012.3	67.3	118		64	35.995	244.3	-13.8	29.35
61	2019-07-03 10:35:31	5.557		26.51	26.51	1012.4	67.4	120		64	36.020	239.5	-13.8	29.35
62	2019-07-03 10:35:33	5.549		26.51	26.51	1012.4	67.5	122		64	36.036	245.8	-13.7	29.36
63	2019-07-03 10:35:35	5.541		26.50	26.50	1012.4	67.6	124		64	36.053	236.7	-13.8	29.36
64	2019-07-03 10:35:37	5.548		26.50	26.50	1012.4	67.8	126		64	36.040	238.7	-13.7	29.36
65	2019-07-03 10:35:39	5.549		26.62	26.62	1012.4	67.9	128		64	36.025	248.4	-13.8	29.36
66	2019-07-03 10:35:41	5.552		26.85	26.85	1012.3	67.6	130		64	35.993	268.8	-13.9	29.37
67	2019-07-03 10:35:43	5.568		26.80	26.80	1012.4	67.7	132		64	35.966	303.8	-13.9	29.37
68	2019-07-03 10:35:45	5.589		26.77	26.77	1012.5	67.1	134		64	35.926	307.7	-13.6	29.37
69	2019-07-03 10:35:47	5.619		26.82	26.82	1012.6	66.7	136		64	35.862	300.8	-13.9	29.37
70	2019-07-03 10:35:49	5.645		26.90	26.90	1012.5	66.4	138		64	35.802	301.3	-13.8	29.36
71	2019-07-03 10:35:51	5.679		26.86	26.86	1012.6	66.2	140		64	35.740	301.0	-13.7	29.37
72	2019-07-03 10:35:53	5.727		26.80	26.80	1012.6	65.9	142		64	35.654	300.3	-13.8	29.37
73	2019-07-03 10:35:55	5.769		26.75	26.75	1012.5	65.7	144		64	35.581	299.2	-13.8	29.37
74	2019-07-03 10:35:57	5.821		26.69	26.69	1012.6	65.6	146		64	35.487	298.6	-13.8	29.37
75	2019-07-03 10:35:59	5.863		26.65	26.65	1012.7	65.6	148		64	35.410	298.0	-13.7	29.38
76	2019-07-03 10:36:01	5.911		26.61	26.61	1012.6	65.6	150		64	35.325	297.2	-13.7	29.38
77	2019-07-03 10:36:03	5.964		26.59	26.59	1012.6	65.6	152		64	35.228	296.3	-13.8	29.37
78	2019-07-03 10:36:05	6.025		26.57	26.57	1012.6	65.5	154		64	35.117	295.4	-14.0	29.36
79	2019-07-03 10:36:07	6.075		26.54	26.54	1012.6	65.5	156		64	35.026	294.7	-13.7	29.36
80	2019-07-03 10:36:09	6.132		26.53	26.53	1012.6	65.3	158		64	34.923	293.8	-13.7	29.36
81	2019-07-03 10:36:11	6.194		26.50	26.50	1012.6	65.3	160		64	34.814	293.1	-13.8	29.37
82	2019-07-03 10:36:13	6.251		26.47	26.47	1012.6	65.1	162		64	34.713	292.1	-13.8	29.36
83	2019-07-03 10:36:15	6.310		26.46	26.46	1012.6	64.9	164		64	34.608	291.5	-13.8	29.36
84	2019-07-03 10:36:17	6.375		26.45	26.45	1012.5	64.8	166		64	34.494	290.5	-13.9	29.36
85	2019-07-03 10:36:19	6.434		26.46	26.46	1012.6	64.6	168		64	34.388	289.5	-13.9	29.36
86	2019-07-03 10:36:21	6.494		26.48	26.48	1012.6	64.5	170		64	34.280	288.6	-14.0	29.36
87	2019-07-03 10:36:23	6.564		26.48	26.48	1012.6	64.5	172		64	34.157	287.6	-13.8	29.36
88	2019-07-03 10:36:25	6.627		26.47	26.47	1012.6	64.5	174		64	34.050	286.7	-13.9	29.37
89	2019-07-03 10:36:27	6.693		26.48	26.48	1012.5	64.6	176		64	33.936	285.7	-13.7	29.36
90	2019-07-03 10:36:29	6.752		26.47	26.47	1012.6	64.5	178		64	33.836	284.7	-13.6	29.36
91	2019-07-03 10:36:31	6.816		26.43	26.43	1012.6	64.5	180		64	33.732	283.9	-13.9	29.36
