#Log_File	LOG066
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.37
#Unique_ID	24EB9B04575BA8F7
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	XB7-537-209	Gas	%O2	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	XB7-537-209	29 Apr 2019	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	10%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	53.000°	22.117°	20.00°C	11.22°C	1030 mbar	47%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.30 mV	0.000°	0	0.017000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%O2)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
1	2019-07-09 10:21:17	18.561		24.37	24.37	1018.1	58.9	1		64	22.016	181.7	-4.1	30.30
2	2019-07-09 10:21:18	18.572		24.39	24.39	1018.1	58.8	2		64	22.006	177.9	-7.4	30.31
3	2019-07-09 10:21:20	18.643		24.39	24.39	1018.0	58.6	4		64	21.962	182.8	-9.2	30.31
4	2019-07-09 10:21:22	17.809		24.41	24.41	1018.2	58.4	6		64	22.486	187.5	-14.0	30.32
5	2019-07-09 10:21:24	16.863		24.40	24.40	1018.1	58.2	8		64	23.122	194.3	-13.9	30.33
6	2019-07-09 10:21:26	15.631		24.36	24.36	1018.1	58.1	10		64	24.017	201.2	-13.9	30.33
7	2019-07-09 10:21:28	14.828		24.37	24.37	1018.0	58.1	12		64	24.641	208.8	-14.1	30.32
8	2019-07-09 10:21:30	13.924		24.40	24.40	1018.0	58.0	14		64	25.387	216.4	-14.0	30.33
9	2019-07-09 10:21:32	13.121		24.45	24.45	1018.2	57.8	16		64	26.091	222.7	-14.0	30.33
10	2019-07-09 10:21:34	12.383		24.45	24.45	1018.0	57.7	18		64	26.789	228.7	-14.0	30.33
11	2019-07-09 10:21:36	11.751		24.43	24.43	1018.1	57.7	20		64	27.422	234.3	-14.1	30.34
12	2019-07-09 10:21:38	11.190		24.46	24.46	1018.1	57.7	22		64	28.009	240.0	-14.2	30.33
13	2019-07-09 10:21:40	10.690		24.47	24.47	1018.2	57.5	24		64	28.559	245.4	-14.3	30.34
14	2019-07-09 10:21:42	10.237		24.42	24.42	1018.4	57.3	26		64	29.084	250.4	-14.1	30.34
15	2019-07-09 10:21:44	9.845		24.40	24.40	1018.1	57.4	28		64	29.561	254.6	-14.2	30.33
16	2019-07-09 10:21:46	9.477		24.38	24.38	1018.2	57.3	30		64	30.021	258.4	-14.0	30.34
17	2019-07-09 10:21:48	9.155		24.36	24.36	1018.2	57.2	32		64	30.438	261.3	-14.1	30.33
18	2019-07-09 10:21:50	8.870		24.35	24.35	1018.1	57.2	34		64	30.818	266.1	-14.0	30.34
19	2019-07-09 10:21:52	8.605		24.35	24.35	1018.2	57.2	36		64	31.180	269.5	-14.0	30.33
20	2019-07-09 10:21:54	8.366		24.36	24.36	1018.1	57.2	38		64	31.513	272.0	-14.0	30.34
21	2019-07-09 10:21:56	8.157		24.33	24.33	1018.1	57.1	40		64	31.819	275.5	-13.9	30.33
22	2019-07-09 10:21:58	7.965		24.30	24.30	1018.1	57.0	42		64	32.104	278.1	-14.0	30.33
23	2019-07-09 10:22:00	7.777		24.28	24.28	1018.1	57.0	44		64	32.388	280.5	-13.8	30.34
24	2019-07-09 10:22:02	7.634		24.28	24.28	1018.1	57.1	46		64	32.606	283.1	-14.2	30.34
25	2019-07-09 10:22:04	7.475		24.28	24.28	1018.1	57.1	48		64	32.851	285.5	-13.9	30.34
26	2019-07-09 10:22:06	7.354		24.27	24.27	1018.1	57.2	50		64	33.043	287.3	-14.0	30.34
27	2019-07-09 10:22:08	7.235		24.26	24.26	1018.1	57.2	52		64	33.235	289.3	-14.0	30.34
28	2019-07-09 10:22:10	7.125		24.26	24.26	1018.1	57.2	54		64	33.413	291.1	-14.0	30.34
