Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	V1_IV	V2_IV	
1	2020-05-01 14:54:26	1	1		TEMPESTX_20200501_SALT		2.5	-0.517409	
2	2020-05-01 14:57:57	2	2	1.930000	TEMPESTX_20200501_SALT		2.8	-0.528	
3	2020-05-01 15:01:29	3	3	0.700000	TEMPESTX_20200501_SALT		2.8	-0.531	
4	2020-05-01 15:05:04	4	4	1.020000	TEMPESTX_20200501_SALT		2.6	-0.532	
5	2020-05-01 15:08:36	5	1	1.110000	TEMPESTX_20200501_SALT		2.5	-0.532	
6	2020-05-01 15:12:05	6	2	1.050000	TEMPESTX_20200501_SALT		2.8	-0.533	
7	2020-05-01 15:15:35	7	3	0.530000	TEMPESTX_20200501_SALT		2.8	-0.533	
8	2020-05-01 15:19:09	8	4	0.970000	TEMPESTX_20200501_SALT		2.6	-0.533	
9	2020-05-01 15:22:45	9	1	1.290000	TEMPESTX_20200501_SALT		2.5	-0.533	
10	2020-05-01 15:26:18	10	2	1.470000	TEMPESTX_20200501_SALT		2.765	-0.533	
11	2020-05-01 15:29:49	11	3	0.620000	TEMPESTX_20200501_SALT		2.8	-0.534	
12	2020-05-01 15:33:19	12	4	1.520000	TEMPESTX_20200501_SALT		2.6	-0.534	
13	2020-05-01 15:36:51	13	1	0.940000	TEMPESTX_20200501_SALT		2.5	-0.534	
14	2020-05-01 15:40:20	14	2	1.610000	TEMPESTX_20200501_SALT		2.8	-0.534	
15	2020-05-01 15:43:52	15	3	0.620000	TEMPESTX_20200501_SALT		2.8	-0.534	
16	2020-05-01 15:47:26	16	4	0.990000	TEMPESTX_20200501_SALT		2.6	-0.534	
17	2020-05-01 15:51:02	17	1	0.870000	TEMPESTX_20200501_SALT		2.5	-0.535	
18	2020-05-01 15:54:31	18	2	1.470000	TEMPESTX_20200501_SALT		2.8	-0.535	
19	2020-05-01 15:58:02	19	3	0.720000	TEMPESTX_20200501_SALT		2.8	-0.535	
20	2020-05-01 16:01:35	20	4	0.970000	TEMPESTX_20200501_SALT		2.6	-0.535	
21	2020-05-01 16:05:11	21	1	1.180000	TEMPESTX_20200501_SALT		2.5	-0.535	
22	2020-05-01 16:08:40	22	2	1.440000	TEMPESTX_20200501_SALT		2.8	-0.535	
23	2020-05-01 16:12:10	23	3	0.490000	TEMPESTX_20200501_SALT		2.8	-0.535	
24	2020-05-01 16:15:40	24	4	1.110000	TEMPESTX_20200501_SALT		2.6	-0.535	
25	2020-05-01 16:19:11	25	1	1.620000	TEMPESTX_20200501_SALT		2.5	-0.535	
26	2020-05-01 16:22:40	26	2	1.400000	TEMPESTX_20200501_SALT		2.8	-0.535	
27	2020-05-01 16:26:10	27	3	0.910000	TEMPESTX_20200501_SALT		2.8	-0.535	
28	2020-05-01 16:29:44	28	4	0.950000	TEMPESTX_20200501_SALT		2.6	-0.535	
29	2020-05-01 16:33:19	29	1	1.560000	TEMPESTX_20200501_SALT		2.5	-0.535	
30	2020-05-01 16:36:48	30	2	1.330000	TEMPESTX_20200501_SALT		2.8	-0.535	
31	2020-05-01 16:40:18	31	3	0.690000	TEMPESTX_20200501_SALT		2.8	-0.535	
32	2020-05-01 16:43:49	32	4	1.090000	TEMPESTX_20200501_SALT		2.6	-0.535	
33	2020-05-01 16:47:20	33	1	2.080000	TEMPESTX_20200501_SALT		2.5	-0.535	
34	2020-05-01 16:50:50	34	2	1.570000	TEMPESTX_20200501_SALT		2.8	-0.535	
35	2020-05-01 16:54:21	35	3	1.020000	TEMPESTX_20200501_SALT		2.8	-0.535	
36	2020-05-01 16:57:53	36	4	1.140000	TEMPESTX_20200501_SALT		2.6	-0.536	
37	2020-05-01 17:01:25	37	1	1.840000	TEMPESTX_20200501_SALT		2.5	-0.535	
38	2020-05-01 17:04:55	38	2	1.420000	TEMPESTX_20200501_SALT		2.8	-0.535	
39	2020-05-01 17:08:24	39	3	0.700000	TEMPESTX_20200501_SALT		2.8	-0.535	
40	2020-05-01 17:11:58	40	4	1.030000	TEMPESTX_20200501_SALT		2.6	-0.536	
41	2020-05-01 17:15:34	41	1	1.500000	TEMPESTX_20200501_SALT		2.5	-0.536	
42	2020-05-01 17:19:03	42	2	1.340000	TEMPESTX_20200501_SALT		2.8	-0.536	
43	2020-05-01 17:22:34	43	3	0.680000	TEMPESTX_20200501_SALT		2.8	-0.536	
44	2020-05-01 17:26:04	44	4	1.310000	TEMPESTX_20200501_SALT		2.6	-0.536	
45	2020-05-01 17:29:36	45	1	1.950000	TEMPESTX_20200501_SALT		2.5	-0.536	
46	2020-05-01 17:33:06	46	2	1.450000	TEMPESTX_20200501_SALT		2.8	-0.536	
47	2020-05-01 17:36:36	47	3	0.420000	TEMPESTX_20200501_SALT		2.8	-0.536	
48	2020-05-01 17:40:07	48	4	1.180000	TEMPESTX_20200501_SALT		2.6	-0.536	
49	2020-05-01 17:43:43	49	1	2.160000	TEMPESTX_20200501_SALT		2.5	-0.536	
50	2020-05-01 17:47:13	50	2	1.430000	TEMPESTX_20200501_SALT		2.8	-0.536	
51	2020-05-01 17:50:43	51	3	0.700000	TEMPESTX_20200501_SALT		2.8	-0.535	
52	2020-05-01 17:54:14	52	4	1.140000	TEMPESTX_20200501_SALT		2.6	-0.535	
