Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	V1_IV	V2_IV	
601	2020-05-04 17:00:37	601	1	1.420000	CONTROL_20200501_TEMPESTX		3.7	0.378	
609	2020-05-04 18:00:37	609	1	2.070000	CONTROL_20200501_TEMPESTX		3.7	0.373	
605	2020-05-04 17:30:37	605	1	2.380000	CONTROL_20200501_TEMPESTX		3.7	0.377	
610	2020-05-04 18:04:09	610	2	3.060000	CONTROL_20200501_TEMPESTX		3.7	0.482	
612	2020-05-04 18:11:09	612	4	2.960000	CONTROL_20200501_TEMPESTX		3.665	0.479	
606	2020-05-04 17:34:08	606	2	3.350000	CONTROL_20200501_TEMPESTX		3.662	0.483	
608	2020-05-04 17:41:07	608	4	3.100000	CONTROL_20200501_TEMPESTX		3.644	0.48	
597	2020-05-04 16:30:37	597	1	3.200000	CONTROL_20200501_TEMPESTX		3.635	0.38	
595	2020-05-04 16:07:42	595	3	2.610000	CONTROL_20200501_TEMPESTX		3.609	0.445	
603	2020-05-04 17:07:37	603	3	1.320000	CONTROL_20200501_TEMPESTX		3.6	0.446	
593	2020-05-04 16:00:37	593	1	1.560000	CONTROL_20200501_TEMPESTX		3.6	0.381	
581	2020-05-04 14:30:37	581	1	1.870000	CONTROL_20200501_TEMPESTX		3.6	0.383	
545	2020-05-04 10:00:37	545	1	1.890000	CONTROL_20200501_TEMPESTX		3.6	0.399	
537	2020-05-04 09:00:37	537	1	1.940000	CONTROL_20200501_TEMPESTX		3.6	0.4	
607	2020-05-04 17:37:36	607	3	1.970000	CONTROL_20200501_TEMPESTX		3.6	0.444	
573	2020-05-04 13:30:37	573	1	2.090000	CONTROL_20200501_TEMPESTX		3.6	0.388	
589	2020-05-04 15:30:37	589	1	2.200000	CONTROL_20200501_TEMPESTX		3.6	0.382	
599	2020-05-04 16:37:37	599	3	2.220000	CONTROL_20200501_TEMPESTX		3.6	0.447	
611	2020-05-04 18:07:41	611	3	2.490000	CONTROL_20200501_TEMPESTX		3.6	0.444	
561	2020-05-04 12:00:37	561	1	2.530000	CONTROL_20200501_TEMPESTX		3.6	0.394	
569	2020-05-04 13:00:37	569	1	2.720000	CONTROL_20200501_TEMPESTX		3.6	0.389	
564	2020-05-04 12:11:10	564	4	2.720000	CONTROL_20200501_TEMPESTX		3.6	0.483	
552	2020-05-04 10:41:11	552	4	2.740000	CONTROL_20200501_TEMPESTX		3.6	0.483	
585	2020-05-04 15:00:37	585	1	2.860000	CONTROL_20200501_TEMPESTX		3.6	0.382	
556	2020-05-04 11:11:10	556	4	2.880000	CONTROL_20200501_TEMPESTX		3.6	0.483	
560	2020-05-04 11:41:09	560	4	2.940000	CONTROL_20200501_TEMPESTX		3.6	0.482	
600	2020-05-04 16:41:06	600	4	2.990000	CONTROL_20200501_TEMPESTX		3.6	0.481	
548	2020-05-04 10:11:05	548	4	2.990000	CONTROL_20200501_TEMPESTX		3.6	0.484	
576	2020-05-04 13:41:06	576	4	3.040000	CONTROL_20200501_TEMPESTX		3.6	0.484	
584	2020-05-04 14:40:57	584	4	3.070000	CONTROL_20200501_TEMPESTX		3.6	0.483	
580	2020-05-04 14:11:05	580	4	3.080000	CONTROL_20200501_TEMPESTX		3.6	0.482	
588	2020-05-04 15:11:06	588	4	3.140000	CONTROL_20200501_TEMPESTX		3.6	0.482	
596	2020-05-04 16:11:12	596	4	3.240000	CONTROL_20200501_TEMPESTX		3.6	0.481	
568	2020-05-04 12:41:09	568	4	3.260000	CONTROL_20200501_TEMPESTX		3.6	0.486	
592	2020-05-04 15:41:11	592	4	3.270000	CONTROL_20200501_TEMPESTX		3.6	0.481	
604	2020-05-04 17:11:07	604	4	3.300000	CONTROL_20200501_TEMPESTX		3.6	0.48	
574	2020-05-04 13:34:06	574	2	3.370000	CONTROL_20200501_TEMPESTX		3.6	0.487	
590	2020-05-04 15:34:06	590	2	3.400000	CONTROL_20200501_TEMPESTX		3.6	0.486	
566	2020-05-04 12:34:07	566	2	3.470000	CONTROL_20200501_TEMPESTX		3.6	0.488	
572	2020-05-04 13:11:12	572	4	3.490000	CONTROL_20200501_TEMPESTX		3.6	0.487	
562	2020-05-04 12:04:08	562	2	3.520000	CONTROL_20200501_TEMPESTX		3.6	0.489	
594	2020-05-04 16:04:10	594	2	3.530000	CONTROL_20200501_TEMPESTX		3.6	0.486	
586	2020-05-04 15:04:07	586	2	3.540000	CONTROL_20200501_TEMPESTX		3.6	0.486	
598	2020-05-04 16:34:09	598	2	3.590000	CONTROL_20200501_TEMPESTX		3.6	0.485	
602	2020-05-04 17:04:09	602	2	3.610000	CONTROL_20200501_TEMPESTX		3.6	0.484	
553	2020-05-04 11:00:37	553	1	3.660000	CONTROL_20200501_TEMPESTX		3.6	0.398	
549	2020-05-04 10:30:37	549	1	3.660000	CONTROL_20200501_TEMPESTX		3.6	0.398	
578	2020-05-04 14:04:07	578	2	3.970000	CONTROL_20200501_TEMPESTX		3.6	0.487	
565	2020-05-04 12:30:37	565	1	3.990000	CONTROL_20200501_TEMPESTX		3.6	0.392	
558	2020-05-04 11:34:07	558	2	4.020000	CONTROL_20200501_TEMPESTX		3.6	0.49	
557	2020-05-04 11:30:37	557	1	4.400000	CONTROL_20200501_TEMPESTX		3.6	0.396	
554	2020-05-04 11:04:09	554	2	4.930000	CONTROL_20200501_TEMPESTX		3.6	0.494	
577	2020-05-04 14:00:37	577	1	4.970000	CONTROL_20200501_TEMPESTX		3.6	0.385	
541	2020-05-04 09:30:37	541	1	4.980000	CONTROL_20200501_TEMPESTX		3.6	0.4	
525	2020-05-04 07:30:37	525	1	6.080000	CONTROL_20200501_TEMPESTX		3.6	0.402	
544	2020-05-04 09:41:11	544	4	2.910000	CONTROL_20200501_TEMPESTX		3.582	0.485	
591	2020-05-04 15:37:38	591	3	3.860000	CONTROL_20200501_TEMPESTX		3.58	0.445	
540	2020-05-04 09:11:05	540	4	2.750000	CONTROL_20200501_TEMPESTX		3.576	0.486	
533	2020-05-04 08:30:37	533	1	7.790000	CONTROL_20200501_TEMPESTX		3.575	0.401	
550	2020-05-04 10:34:10	550	2	4.200000	CONTROL_20200501_TEMPESTX		3.54	0.496	
536	2020-05-04 08:41:10	536	4	2.750000	CONTROL_20200501_TEMPESTX		3.538	0.486	
570	2020-05-04 13:04:10	570	2	3.510000	CONTROL_20200501_TEMPESTX		3.538	0.489	
134	2020-05-02 06:34:12	134	2	4.020000	CONTROL_20200501_TEMPESTX		3.525	0.472	
546	2020-05-04 10:04:06	546	2	3.920000	CONTROL_20200501_TEMPESTX		3.518	0.495	
