Plot,Grid Square,Junction Box ID,Address,ID,Depth,Data Logger ID,Logger Station,Date Online (2020)
Freshwater,B2,C3,a ,T076,15,22,"Top, Left",14-May
Freshwater,D2,E3,b,T077,15,22,"Top, Left",8-Jun
Freshwater,D3,E3,c,T078,15,22,"Top, Left",8-Jun
Freshwater,E3,E3,d,T053,15,22,"Top, Left",8-Jun
Freshwater,B4,C5,e,T080,15,22,"Top, Left",4-May
Freshwater,C4,C5,f,T081,15,22,"Top, Left",4-May
Freshwater,D4,E5,g,T082,15,22,"Top, Left",29-Apr
Freshwater,E4,E5,h,T083,15,22,"Top, Left",29-Apr
Freshwater,C5,C5,i,T084,15,22,"Top, Left",4-May
Freshwater,D5,E5,j,T085,15,22,"Top, Left",29-Apr
Freshwater,E5,E5,k,T086,15,22,"Top, Left",29-Apr
Freshwater,C3,C3,A,T040,5,22,"Top, Left",14-May
Freshwater,C3,C3,B,T041,15,22,"Top, Left",14-May
Freshwater,C3,C3,C,T042,30,22,"Top, Left",14-May
,,,,,,,,
Freshwater,F2,G3,l,T012,15,21,"Top, Right",14-May
Freshwater,H2,I3,m,T013,15,21,"Top, Right",29-Apr
Freshwater,F3,G3,a,T001,15,21,"Top, Right",14-May
Freshwater,G3,G3,b,T002,15,21,"Top, Right",14-May
Freshwater,I3,I3,c,T003,15,21,"Top, Right",29-Apr
Freshwater,G4,G5,d,T004,15,21,"Top, Right",8-Jun
Freshwater,H4,I5,e,T005,15,21,"Top, Right",4-May
Freshwater,F5,G5,f,T006,15,21,"Top, Right",8-Jun
Freshwater,G5,G5,g,T007,15,21,"Top, Right",8-Jun
Freshwater,H5,I5,h,T008,15,21,"Top, Right",4-May
Freshwater,I5,I5,i,T009,15,21,"Top, Right",4-May
Freshwater,H3,I3,D,T121,5,21,"Top, Right",29-Apr
Freshwater,H3,I3,E,T122,15,21,"Top, Right",29-Apr
Freshwater,H3,I3,F,T123,30,21,"Top, Right",29-Apr
Freshwater,F4,G5,G,T124,5,21,"Top, Right",8-Jun
Freshwater,F4,G5,H,T125,15,21,"Top, Right",8-Jun
Freshwater,F4,G5,I,T126,30,21,"Top, Right",8-Jun
,,,,,,,,
Freshwater,B6,C7,j,T010,15,23,Bottom,14-May
Freshwater,D6,E7,k,T011,15,23,Bottom,22-Apr
Freshwater,E6,E7,l,T025,15,23,Bottom,22-Apr
Freshwater,F6,G7,m,T026,15,23,Bottom,29-Apr
Freshwater,G6,G7,a,T014,15,23,Bottom,29-Apr
Freshwater,C7,C7,c,T016,15,23,Bottom,14-May
Freshwater,E7,E7,b,T015,15,23,Bottom,22-Apr
Freshwater,G7,G7,d,T017,15,23,Bottom,29-Apr
Freshwater,I7,I7,e,T018,15,23,Bottom,4-May
Freshwater,C6,C7,A,T118,5,23,Bottom,14-May
Freshwater,C6,C7,B,T119,15,23,Bottom,14-May
Freshwater,C6,C7,C,T120,30,23,Bottom,14-May
Freshwater,H6,I7,D,T043,5,23,Bottom,4-May
Freshwater,H6,I7,E,T044,15,23,Bottom,4-May
Freshwater,H6,I7,F,T045,30,23,Bottom,4-May
,,,,,,,,
Seawater,B2,C3,a ,T027,15,31,"Top, Left",8-Jun
Seawater,D2,E3,b,T028,15,31,"Top, Left",4-May
Seawater,D3,E3,c,T029,15,31,"Top, Left",4-May
Seawater,E3,E3,d,T030,15,31,"Top, Left",4-May
Seawater,B4,C5,e,T031,15,31,"Top, Left",30-Apr
Seawater,C4,C5,f,T032,15,31,"Top, Left",30-Apr
Seawater,D4,E5,g,T020,15,31,"Top, Left",14-May
Seawater,E4,E5,h,T021,15,31,"Top, Left",14-May
Seawater,C5,C5,i,T022,15,31,"Top, Left",30-Apr
Seawater,D5,E5,j,T023,15,31,"Top, Left",14-May
Seawater,E5,E5,k,T024,15,31,"Top, Left",14-May
Seawater,C3,C3,A,T089,5,31,"Top, Left",8-Jun
Seawater,C3,C3,B,T090,15,31,"Top, Left",8-Jun
Seawater,C3,C3,C,T091,30,31,"Top, Left",8-Jun
,,,,,,,,
Seawater,F2,G3,l,T087,15,33,"Top, Right",14-May
Seawater,H2,I3,m,T088,15,33,"Top, Right",4-May
Seawater,F3,G3,a,T063,15,33,"Top, Right",14-May
Seawater,G3,G3,b,T064,15,33,"Top, Right",14-May
Seawater,I3,I3,c,T065,15,33,"Top, Right",4-May
Seawater,G4,G5,d,T066,15,33,"Top, Right",8-Jun
Seawater,H4,I5,e,T067,15,33,"Top, Right",29-Apr
Seawater,F5,G5,f,T068,15,33,"Top, Right",8-Jun
Seawater,G5,G5,g,T069,15,33,"Top, Right",8-Jun
Seawater,H5,I5,h,T070,15,33,"Top, Right",29-Apr
Seawater,I5,I5,i,T071,15,33,"Top, Right",29-Apr
Seawater,H3,I3,D,T092,5,33,"Top, Right",4-May
Seawater,H3,I3,E,T093,15,33,"Top, Right",4-May
Seawater,H3,I3,F,T094,30,33,"Top, Right",4-May
Seawater,F4,G5,G,T046,5,33,"Top, Right",8-Jun
Seawater,F4,G5,H,T047,15,33,"Top, Right",8-Jun
Seawater,F4,G5,I,T048,30,33,"Top, Right",8-Jun
,,,,,,,,
Seawater,B6,C7,j,T072,15,32,Bottom,4-May
Seawater,D6,E7,k,T073,15,32,Bottom,14-May
Seawater,E6,E7,l,T038,15,32,Bottom,14-May
Seawater,F6,G7,m,T075,15,32,Bottom,8-Jun
Seawater,G6,G7,a,T050,15,32,Bottom,8-Jun
Seawater,C7,C7,b,T051,15,32,Bottom,4-May
Seawater,E7,E7,c,T052,15,32,Bottom,14-May
Seawater,G7,G7,d,T102,15,32,Bottom,8-Jun
Seawater,I7,I7,e,T054,15,32,Bottom,30-Apr
Seawater,C6,C7,A,T105,5,32,Bottom,4-May
Seawater,C6,C7,B,T049,15,32,Bottom,4-May
Seawater,C6,C7,C,T098,30,32,Bottom,4-May
Seawater,H6,I7,D,T106,5,32,Bottom,30-Apr
Seawater,H6,I7,E,T096,15,32,Bottom,30-Apr
Seawater,H6,I7,F,T128,30,32,Bottom,30-Apr
,,,,,,,,
Control,B2,C3,a ,T135,15,11,"Top, Left",8-Jun
Control,D2,E3,b,T100,15,11,"Top, Left",Apr-31
Control,D3,E3,c,T132,15,11,"Top, Left",Apr-31
Control,E3,E3,d,T160,15,11,"Top, Left",Apr-31
Control,B4,C5,e,T133,15,11,"Top, Left",4-May
Control,C4,C5,f,T019,15,11,"Top, Left",4-May
Control,D4,E5,g,T056,15,11,"Top, Left",14-May
Control,E4,E5,h,T129,15,11,"Top, Left",14-May
Control,C5,C5,i,T058,15,11,"Top, Left",4-May
Control,D5,E5,j,T059,15,11,"Top, Left",14-May
Control,E5,E5,k,T060,15,11,"Top, Left",14-May
Control,C3,C3,A,T138,5,11,"Top, Left",8-Jun
Control,C3,C3,B,T055,15,11,"Top, Left",8-Jun
Control,C3,C3,C,T101,30,11,"Top, Left",8-Jun
,,,,,,,,
Control,F2,G3,l,T110,15,13,"Top, Right",10-Jun
Control,H2,G3,m,T111,15,13,"Top, Right",10-Jun
Control,F3,G3,a,T099,15,13,"Top, Right",10-Jun
Control,G3,G3,b,T113,15,13,"Top, Right",10-Jun
Control,I3,I3,c,T137,15,13,"Top, Right",8-Jun
Control,G4,G5,d,T109,15,13,"Top, Right",10-Jun
Control,H4,I5,e,T103,15,13,"Top, Right",10-Jun
Control,F5,G5,f,T104,15,13,"Top, Right",10-Jun
Control,G5,G5,g,T033,15,13,"Top, Right",10-Jun
Control,H5,I5,h,T057,15,13,"Top, Right",10-Jun
Control,I5,I5,i,T035,15,13,"Top, Right",10-Jun
Control,H3,I3,D,T134,5,13,"Top, Right",8-Jun
Control,H3,I3,E,T107,15,13,"Top, Right",8-Jun
Control,H3,I3,F,T117,30,13,"Top, Right",8-Jun
Control,F4,G5,G,T095,5,13,"Top, Right",10-Jun
Control,F4,G5,H,T039,15,13,"Top, Right",10-Jun
Control,F4,G5,I,T130,30,13,"Top, Right",10-Jun
,,,,,,,,
Control,B6,C7,j,T036,15,12,Bottom,4-May
Control,D6,E7,k,T037,15,12,Bottom,8-Jun
Control,E6,E7,l,T074,15,12,Bottom,8-Jun
Control,F6,G7,m,T062,15,12,Bottom,10-Jun
Control,G6,G7,a,T112,15,12,Bottom,4-May
Control,C7,C7,b,T136,15,12,Bottom,10-Jun
Control,E7,E7,c,T114,15,12,Bottom,8-Jun
Control,G7,G7,d,T115,15,12,Bottom,10-Jun
Control,I7,I7,e,T116,15,12,Bottom,10-Jun
Control,C6,C7,A,T108,5,12,Bottom,4-May
Control,C6,C7,B,T097,15,12,Bottom,4-May
Control,C6,C7,C,T079,30,12,Bottom,4-May
Control,H6,I7,D,T131,5,12,Bottom,10-Jun
Control,H6,I7,E,T034,15,12,Bottom,10-Jun
Control,H6,I7,F,T127,30,12,Bottom,10-Jun
,,,,,,,,
