"Plot Title: LSLE"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20370964_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370964)","High Range, μS/cm (LGR S/N: 20370964_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370964)","Temp, °C (LGR S/N: 20370964_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370964)","Coupler Detached (LGR S/N: 20370964)","Coupler Attached (LGR S/N: 20370964)","Stopped (LGR S/N: 20370964)","End Of File (LGR S/N: 20370964)","Coupler Detached (LGR S/N: 20370964)","Coupler Attached (LGR S/N: 20370964)","Stopped (LGR S/N: 20370964)","End Of File (LGR S/N: 20370964)"
1,07/09/18 12:25:20 PM,0.0,0.0,22.29,,,,,,,,
2,07/09/18 12:25:35 PM,,,,Logged,,,,,,,
3,07/09/18 12:55:20 PM,2151.2,2159.4,20.39,,,,,,,,
4,07/09/18 01:25:20 PM,2112.3,2118.0,20.28,,,,,,,,
5,07/09/18 01:55:20 PM,2103.1,2108.1,20.24,,,,,,,,
6,07/09/18 02:25:20 PM,2097.7,2102.3,20.22,,,,,,,,
7,07/09/18 02:55:20 PM,2092.9,2097.6,20.20,,,,,,,,
8,07/09/18 03:25:20 PM,2089.1,2094.7,20.18,,,,,,,,
9,07/09/18 03:55:20 PM,2086.4,2090.7,20.16,,,,,,,,
10,07/09/18 04:25:20 PM,2084.2,2088.9,20.16,,,,,,,,
11,07/09/18 04:55:20 PM,2082.1,2086.6,20.13,,,,,,,,
12,07/09/18 05:25:20 PM,2080.5,2084.8,20.13,,,,,,,,
13,07/09/18 05:55:20 PM,2078.9,2083.1,20.12,,,,,,,,
14,07/09/18 06:25:20 PM,2078.3,2081.9,20.12,,,,,,,,
15,07/09/18 06:55:20 PM,2076.2,2079.6,20.10,,,,,,,,
16,07/09/18 07:25:20 PM,2074.6,2078.4,20.09,,,,,,,,
17,07/09/18 07:55:20 PM,2073.5,2076.7,20.08,,,,,,,,
18,07/09/18 08:25:20 PM,2072.4,2075.5,20.06,,,,,,,,
19,07/09/18 08:55:20 PM,2070.8,2073.8,20.05,,,,,,,,
20,07/09/18 09:25:20 PM,2069.2,2073.2,20.05,,,,,,,,
