"Plot Title: HSLE"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20370966_duplicate_duplicate_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370966)","High Range, μS/cm (LGR S/N: 20370966_duplicate_duplicate_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370966)","Temp, °C (LGR S/N: 20370966_duplicate_duplicate_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370966)","Coupler Detached (LGR S/N: 20370966)","Coupler Attached (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)","Coupler Detached (LGR S/N: 20370966)","Coupler Attached (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)"
1,07/09/18 10:23:28 AM,0.0,0.0,24.19,,,,,,,,,,
2,07/09/18 10:24:52 AM,,,,Logged,,,,,,,,,
3,07/09/18 10:53:28 AM,2766.9,2941.0,20.04,,,,,,,,,,
4,07/09/18 11:23:28 AM,2751.7,2923.5,19.79,,,,,,,,,,
5,07/09/18 11:53:28 AM,2747.5,2918.6,19.70,,,,,,,,,,
6,07/09/18 12:23:28 PM,2746.4,2916.8,19.66,,,,,,,,,,
7,07/09/18 12:53:28 PM,2744.3,2913.8,19.62,,,,,,,,,,
8,07/09/18 01:23:28 PM,2743.3,2912.6,19.60,,,,,,,,,,
9,07/09/18 01:53:28 PM,2741.2,2911.4,19.59,,,,,,,,,,
10,07/09/18 02:23:28 PM,2741.2,2911.4,19.57,,,,,,,,,,
11,07/09/18 02:53:28 PM,2741.2,2910.2,19.56,,,,,,,,,,
12,07/09/18 03:23:28 PM,2740.1,2910.2,19.55,,,,,,,,,,
13,07/09/18 03:53:28 PM,2740.1,2909.6,19.53,,,,,,,,,,
14,07/09/18 04:23:28 PM,2738.6,2909.6,19.53,,,,,,,,,,
15,07/09/18 04:53:28 PM,2736.0,2907.7,19.50,,,,,,,,,,
16,07/09/18 05:23:28 PM,2734.4,2907.1,19.50,,,,,,,,,,
17,07/09/18 05:53:28 PM,2733.9,2907.1,19.49,,,,,,,,,,
18,07/09/18 06:23:28 PM,2733.3,2906.5,19.48,,,,,,,,,,
19,07/09/18 06:53:28 PM,2733.9,2907.1,19.47,,,,,,,,,,
20,07/09/18 07:23:28 PM,2733.9,2907.1,19.48,,,,,,,,,,
21,07/09/18 07:53:28 PM,2734.9,2908.3,19.47,,,,,,,,,,
22,07/09/18 08:23:28 PM,2737.0,2909.6,19.47,,,,,,,,,,
23,07/09/18 08:53:28 PM,2736.5,2909.6,19.46,,,,,,,,,,
24,07/09/18 09:23:28 PM,2738.0,2910.2,19.46,,,,,,,,,,
25,07/09/18 09:53:28 PM,2738.0,2910.2,19.46,,,,,,,,,,
26,07/09/18 10:23:28 PM,2738.0,2910.2,19.46,,,,,,,,,,
27,07/09/18 10:53:28 PM,2738.6,2910.8,19.44,,,,,,,,,,
28,07/09/18 11:23:28 PM,2738.0,2910.2,19.44,,,,,,,,,,
29,07/09/18 11:53:28 PM,2738.0,2909.6,19.44,,,,,,,,,,
30,07/10/18 12:23:28 AM,2738.0,2909.6,19.44,,,,,,,,,,
31,07/10/18 12:53:28 AM,2739.1,2910.2,19.44,,,,,,,,,,
32,07/10/18 01:23:28 AM,2738.6,2909.6,19.44,,,,,,,,,,
33,07/10/18 01:53:28 AM,2737.5,2908.3,19.44,,,,,,,,,,
34,07/10/18 02:23:28 AM,2737.0,2907.1,19.44,,,,,,,,,,
35,07/10/18 02:53:28 AM,2736.5,2906.5,19.43,,,,,,,,,,
36,07/10/18 03:23:28 AM,2736.5,2906.5,19.43,,,,,,,,,,
37,07/10/18 03:53:28 AM,2736.5,2905.3,19.44,,,,,,,,,,
38,07/10/18 04:23:28 AM,2736.5,2905.3,19.44,,,,,,,,,,
39,07/10/18 04:53:28 AM,2736.0,2905.3,19.43,,,,,,,,,,
40,07/10/18 05:23:28 AM,2734.9,2903.5,19.44,,,,,,,,,,
41,07/10/18 05:53:28 AM,2733.9,2902.9,19.43,,,,,,,,,,
42,07/10/18 06:23:28 AM,2733.3,2901.1,19.43,,,,,,,,,,
43,07/10/18 06:53:28 AM,2732.3,2899.9,19.43,,,,,,,,,,
44,07/10/18 07:23:28 AM,2732.3,2899.9,19.43,,,,,,,,,,
45,07/10/18 07:53:28 AM,2731.2,2898.1,19.43,,,,,,,,,,
46,07/10/18 08:23:28 AM,2729.1,2896.2,19.43,,,,,,,,,,
47,07/10/18 08:53:28 AM,2729.1,2896.2,19.43,,,,,,,,,,
48,07/10/18 09:23:28 AM,2729.1,2895.6,19.42,,,,,,,,,,
49,07/10/18 09:53:28 AM,2728.1,2893.8,19.42,,,,,,,,,,
50,07/10/18 10:23:28 AM,2727.0,2892.0,19.42,,,,,,,,,,
51,07/10/18 10:53:28 AM,2723.9,2889.6,19.42,,,,,,,,,,
52,07/10/18 11:23:28 AM,2722.8,2887.8,19.42,,,,,,,,,,
53,07/10/18 11:53:28 AM,2720.8,2886.6,19.42,,,,,,,,,,
54,07/10/18 12:23:28 PM,2719.2,2883.5,19.41,,,,,,,,,,
55,07/10/18 12:53:28 PM,2718.1,2881.7,19.41,,,,,,,,,,
56,07/10/18 01:23:28 PM,2715.5,2879.9,19.41,,,,,,,,,,
57,07/10/18 01:53:28 PM,2713.9,2877.5,19.40,,,,,,,,,,
58,07/10/18 02:23:28 PM,2712.4,2875.7,19.40,,,,,,,,,,
59,07/10/18 02:53:28 PM,2709.8,2873.2,19.38,,,,,,,,,,
60,07/10/18 03:23:28 PM,2708.2,2871.4,19.40,,,,,,,,,,
61,07/10/18 03:53:28 PM,2706.6,2869.0,19.38,,,,,,,,,,
62,07/10/18 04:23:28 PM,2705.6,2867.8,19.38,,,,,,,,,,
63,07/10/18 04:53:28 PM,2707.1,2869.0,19.37,,,,,,,,,,
64,07/10/18 05:23:28 PM,2709.8,2872.6,19.37,,,,,,,,,,
65,07/10/18 05:53:28 PM,2710.8,2873.2,19.37,,,,,,,,,,
66,07/10/18 06:23:28 PM,2712.9,2876.9,19.37,,,,,,,,,,
67,07/10/18 06:53:28 PM,2712.9,2876.3,19.37,,,,,,,,,,
68,07/10/18 07:23:28 PM,2716.0,2880.5,19.36,,,,,,,,,,
69,07/10/18 07:53:28 PM,2715.0,2881.1,19.37,,,,,,,,,,
70,07/10/18 08:23:28 PM,2711.9,2879.3,19.37,,,,,,,,,,
71,07/10/18 08:53:28 PM,2710.3,2878.1,19.38,,,,,,,,,,
