Plot,Section,Tag,DBH_2019,Date_2019,Species_code,Status_2019,Sapflux,DBH_2020,Date_2020,Status_2020,Date_2021,DBH_2021,Status_2021,In_Plot,Notes,JS_codes
Control,East,1301,10.7,2019-03-09,COFL2,LI,,10.7,2020-03-10,LI,2021-03-09,10.6,LI,FALSE,,
Control,East,1302,11.7,2019-03-09,ACRU,LI,,11.7,2020-03-10,LI,2021-03-09,11.7,LI,FALSE,,
Control,East,1303,18.7,2019-03-09,ACRU,LI,,18.9,2020-03-10,LI,2021-03-09,19.1,LI,FALSE,,
Control,East,1304,51.8,2019-03-09,LIST2,LI,,52.2,2020-03-10,LI,2021-03-09,52.1,LI,TRUE,,
Control,East,1305,35.2,2019-03-09,LIST2,LI,,35,2020-03-10,LI,2021-03-09,35.5,LI,TRUE,,
Control,East,1306,21.9,2019-03-09,LIST2,LI,,22.4,2020-03-10,LI,2021-03-09,21.9,LI,TRUE,,
Control,East,1307,22.6,2019-03-09,,DS,,,2020-03-10,DS,2021-03-09,,DS,TRUE,,
Control,East,1308,5.9,2019-03-09,FAGR,LI,,6,2020-03-10,LI,2021-03-09,6.1,LI,TRUE,,
Control,East,1309,11.6,2019-03-09,FAGR,LI,,12,2020-03-10,LI,2021-03-09,12.2,LI,TRUE,,
Control,East,1310,29.1,2019-03-09,LIST2,LI,,28.9,2020-03-10,LI,2021-03-09,29.2,LI,TRUE,,
Control,East,1311,37.2,2019-03-09,LIST2,LI,,37.3,2020-03-10,LI,2021-03-09,37.3,LI,TRUE,,
Control,East,1312,26.3,2019-03-09,CAGL8,LI,,26.5,2020-03-10,LI,2021-03-09,26.9,LI,TRUE,,
Control,East,1313,15,2019-03-09,ACRU,LI,,15,2020-03-10,LI,2021-03-09,15.1,LI,TRUE,,
Control,East,1314,9.5,2019-03-09,LITU,LI,,9.6,2020-03-10,LI,2021-03-09,9.7,LI,TRUE,,
Control,East,1315,49.2,2019-03-09,,DS,,,2020-03-10,DS,2021-03-09,,DC,TRUE,,
Control,East,1316,51.6,2019-03-09,LIST2,LI,,51.8,2020-03-10,LI,2021-03-09,52,LI,TRUE,,
Control,East,1317,21,2019-03-09,CAGL8,LI,,21.2,2020-03-10,LI,2021-03-09,21.4,LI,TRUE,,
Control,East,1318,5,2019-03-09,FAGR,LI,,5.6,2020-03-10,LI,2021-03-09,5.8,LI,TRUE,,
Control,East,1319,19.9,2019-03-09,ACRU,LI,,19.9,2020-03-10,LI,2021-03-09,19.9,LI,TRUE,,
Control,East,1320,10,2019-03-09,ACRU,LI,,10.1,2020-03-10,LI,2021-03-09,10.1,LI,TRUE,,
Control,East,1321,14.5,2019-03-09,CAGL8,LI,,14.8,2020-03-10,LI,2021-03-09,15.1,LI,TRUE,,
Control,East,1322,19.3,2019-03-09,ACRU,DS,,,2020-03-10,DS,2021-03-09,,DS,TRUE,,
Control,East,1323,28.7,2019-03-09,QUAL,LI,,29.2,2020-03-10,LI,2021-03-09,29.7,LI,TRUE,,SP
Control,East,1324,13.7,2019-03-09,,LI,,13.8,2020-03-10,LI,2021-03-09,13.9,LI,TRUE,,
Control,East,1325,47.7,2019-03-09,LITU,LI,C4,48.2,2020-03-10,LI,2021-03-09,48.6,LI,TRUE,,
Control,East,1326,14.8,2019-03-09,CAGL8,LI,,15.1,2020-03-10,LI,2021-03-09,15.3,LI,TRUE,,
Control,East,1327,53.1,2019-03-09,LIST2,LI,,52.6,2020-03-10,LI,2021-03-09,53.3,LI,TRUE,,"IR, SP"
Control,East,1328,27.8,2019-03-09,ACRU,LI,C12,27.8,2020-03-10,LI,2021-03-09,27.9,LI,TRUE,,
Control,East,1329,6.6,2019-03-09,FAGR,LI,,6.8,2020-03-10,LI,2021-03-09,7,LI,TRUE,,
Control,East,1330,39.8,2019-03-09,LITU,LI,C5,39.9,2020-03-10,LI,2021-03-09,39.7,LI,TRUE,,"IR, SP"
Control,East,1331,55.1,2019-03-09,LIST2,LI,,55.3,2020-03-10,LI,2021-03-09,55.2,LI,TRUE,,
Control,East,1332,12.7,2019-03-09,FAGR,LI,,12.8,2020-03-10,LI,2021-03-09,13,LI,TRUE,,
Control,East,1333,8.3,2019-03-09,FAGR,LI,,8.7,2020-03-10,LI,2021-03-09,8.8,LI,TRUE,,
Control,East,1334,16.7,2019-03-09,,DS,,,2020-03-10,DS,2021-03-09,,DC,TRUE,,
Control,East,1335,11.3,2019-03-09,CAGL8,LI,,11.3,2020-03-10,LI,2021-03-09,11.4,LI,TRUE,,
Control,East,1336,18.2,2019-03-09,CAGL8,LI,,18.9,2020-03-10,LI,2021-03-09,18.8,LI,TRUE,,
Control,East,1337,14.3,2019-03-09,FAGR,LI,,14.6,2020-03-10,LI,2021-03-09,14.9,LI,TRUE,,
Control,East,1338,4.7,2019-03-09,FAGR,LI,,4.7,2020-03-10,LI,2021-03-09,4.8,LI,TRUE,,
Control,East,1339,36.1,2019-03-09,ACRU,LI,,36.2,2020-03-10,LI,2021-03-09,37.4,LI,TRUE,,
Control,East,1340,23.3,2019-03-09,CAGL8,LI,,23.7,2020-03-10,LI,2021-03-09,24.3,LI,TRUE,,
Control,East,1341,25.7,2019-03-09,QUAL,LI,,25.7,2020-03-10,LI,2021-03-09,25.7,LI,TRUE,,SP
Control,East,1342,16.6,2019-03-09,FAGR,LI,,16.9,2020-03-10,LI,2021-03-09,17.1,LI,TRUE,,
Control,East,1343,11.2,2019-03-09,ACRU,LI,,11,2020-03-10,LI,2021-03-09,,DS,TRUE,,
Control,East,1344,5.4,2019-03-09,FAGR,LI,,5.6,2020-03-10,LI,2021-03-09,5.6,LI,TRUE,,
Control,East,1345,18.9,2019-03-09,QUAL,LI,,18.9,2020-03-10,LI,2021-03-09,18.8,LI,TRUE,,SP
Control,East,1346,43.3,2019-03-09,LIST2,LI,,43.3,2020-03-10,LI,2021-03-09,43.2,LI,TRUE,,SP
Control,East,1347,30,2019-03-09,ACRU,LI,,30.4,2020-03-10,LI,2021-03-09,30.4,LI,TRUE,,
Control,East,1348,31.6,2019-03-09,ACRU,LI,,32,2020-03-10,LI,2021-03-09,32.1,LI,TRUE,,
Control,East,1349,10.1,2019-03-09,FAGR,LI,,10.3,2020-03-10,LI,2021-03-09,10.7,LI,TRUE,,
Control,East,1350,4.5,2019-03-09,FAGR,LI,,4.7,2020-03-10,LI,2021-03-09,4.8,LI,TRUE,,
Control,East,1351,2,2019-03-09,FAGR,LI,,2.1,2020-03-10,LI,2021-03-09,2,LI,TRUE,,
Control,East,1352,18.8,2019-03-09,QUFA,LI,,19.1,2020-03-10,LI,2021-03-09,18.8,LI,TRUE,,SP
Control,Center,1353,9,2019-03-09,FAGR,LI,,9.3,2020-03-10,LI,2021-03-09,9.7,LI,TRUE,,
Control,Center,1354,28.1,2019-03-09,QUFA,LI,,28.3,2020-03-10,LI,2021-03-09,28.5,LI,TRUE,,SP
Control,Center,1355,12.6,2019-03-09,COFL2,LI,,12.6,2020-03-10,LI,2021-03-09,12.7,LI,TRUE,,SP
Control,Center,1356,6.5,2019-03-09,FAGR,LI,,6.7,2020-03-10,LI,2021-03-09,6.8,LI,TRUE,,
Control,Center,1357,6.3,2019-03-09,ILOP,LI,,6.4,2020-03-10,LI,2021-03-09,6.4,LI,TRUE,,
Control,Center,1358,10.2,2019-03-09,FAGR,LI,,10.4,2020-03-10,LI,2021-03-09,10.6,LI,TRUE,,
Control,Center,1359,6.5,2019-03-09,ILOP,LI,,,2020-03-10,DC,2021-03-09,,DC,TRUE,,
Control,Center,1360,23.5,2019-03-09,LIST2,LI,,23.7,2020-03-10,LI,2021-03-09,23.7,LI,TRUE,,
Control,Center,1361,11.5,2019-03-09,,DS,,,2020-03-10,DS,2021-03-09,,,TRUE,,
Control,Center,1362,11.5,2019-03-09,ACRU,LI,,11.7,2020-03-10,LI,2021-03-09,11.8,LI,TRUE,,
Control,Center,1363,5.2,2019-03-09,FAGR,LI,,5.4,2020-03-10,LI,2021-03-09,5.5,LI,TRUE,,
Control,Center,1364,33.1,2019-03-09,LITU,LI,,33.4,2020-03-10,LI,2021-03-09,,LI,TRUE,,
Control,Center,1365,22.5,2019-03-09,FAGR,LI,,22.8,2020-03-10,LI,2021-03-09,23,LI,TRUE,,
Control,Center,1366,52.3,2019-03-09,LIST2,LI,,52,2020-03-10,LI,2021-03-09,52.3,LI,TRUE,,
Control,Center,1367,23.5,2019-03-09,LIST2,LI,,23.5,2020-03-10,LI,2021-03-09,23.5,LI,TRUE,,
Control,Center,1368,7.2,2019-03-09,FAGR,LI,,7.2,2020-03-10,LI,2021-03-09,7.5,LI,TRUE,,
Control,Center,1369,8.3,2019-03-09,FAGR,LI,,8.5,2020-03-10,LI,2021-03-09,8.7,LI,TRUE,,
Control,Center,1370,11.7,2019-03-09,QUAL,LI,,11.8,2020-03-10,LI,2021-03-09,11.8,LI,TRUE,,SP
Control,Center,1371,12.6,2019-03-09,,DS,,,2020-03-10,DS,2021-03-09,,DS,TRUE,,
Control,Center,1372,15.1,2019-03-09,QUAL,LI,,15.1,2020-03-10,LI,2021-03-09,15.2,LI,TRUE,,"SP, IR"
Control,Center,1373,13.3,2019-03-09,FAGR,LI,,13.4,2020-03-10,LI,2021-03-09,13.5,LI,TRUE,,
Control,Center,1374,14.2,2019-03-09,FAGR,LI,,14.5,2020-03-10,LI,2021-03-09,14.5,LI,TRUE,,
Control,Center,1375,11.7,2019-03-09,QUAL,LI,,11.5,2020-03-10,LI,2021-03-09,,DS,TRUE,,"SP, IR"
Control,Center,1376,24.1,2019-03-09,LIST2,LI,,24.1,2020-03-10,LI,2021-03-09,24.1,LI,TRUE,,
Control,Center,1377,19.8,2019-03-09,QUAL,LI,,19.8,2020-03-10,LI,2021-03-09,19.8,LI,TRUE,,SP
Control,Center,1378,17.6,2019-03-09,QUAL,LI,,17.6,2020-03-10,LI,2021-03-09,17.7,LI,TRUE,,SP
Control,Center,1379,23.1,2019-03-09,LIST2,LI,,23,2020-03-10,LI,2021-03-09,23,LI,TRUE,,
Control,Center,1380,43.9,2019-03-09,FAGR,LI,C17,44.3,2020-03-10,LI,2021-03-09,44.5,LI,TRUE,,
Control,Center,1381,9.5,2019-03-09,FAGR,LI,,9.8,2020-03-10,LI,2021-03-09,10.1,LI,TRUE,,
Control,Center,1382,6.5,2019-03-09,COFL2,LI,,6.5,2020-03-10,LI,2021-03-09,6.5,LI,TRUE,,
Control,Center,1383,15,2019-03-09,ACRU,LI,,15.1,2020-03-10,LI,2021-03-09,15.2,LI,TRUE,,
Control,Center,1384,46.4,2019-03-09,LITU,LI,C1,46.7,2020-03-10,LI,2021-03-09,47.1,LI,TRUE,,
Control,Center,1385,39.2,2019-03-09,LITU,LI,C2,39.3,2020-03-10,LI,2021-03-09,39.5,LI,TRUE,,
Control,Center,1386,10.7,2019-03-09,COFL2,LI,,10.9,2020-03-10,LI,2021-03-09,10.5,LI,TRUE,,SP
Control,Center,1387,35.9,2019-03-09,ACRU,LI,C10,35.5,2020-03-10,LI,2021-03-09,36,LI,TRUE,,
Control,Center,1388,8.4,2019-03-09,ACRU,LI,,8.4,2020-03-10,LI,2021-03-09,8.5,LI,TRUE,,
Control,Center,1389,7.5,2019-03-09,FAGR,LI,,7.7,2020-03-10,LI,2021-03-09,7.9,LI,TRUE,,
Control,Center,1390,31.1,2019-03-09,FAGR,LI,C16,31.1,2020-03-10,LI,2021-03-09,32,LI,TRUE,,
Control,Center,1391,7.4,2019-03-09,FAGR,LI,,7.7,2020-03-10,LI,2021-03-09,8.1,LI,TRUE,,
Control,Center,1392,10.5,2019-03-09,ACRU,LI,,10.5,2020-03-10,LI,2021-03-09,10.5,LI,TRUE,,
Control,Center,1393,10.4,2019-03-09,CAGL8,LI,,10.5,2020-03-10,LI,2021-03-09,10.5,LI,TRUE,,
Control,Center,1394,28.8,2019-03-09,ACRU,LI,,28.6,2020-03-10,LI,2021-03-09,,DS,TRUE,,
Control,Center,1395,34.6,2019-03-09,ACRU,LI,,34.7,2020-03-10,LI,2021-03-09,34.7,LI,TRUE,,
Control,Center,1396,12.7,2019-03-09,ACRU,LI,,12.7,2020-03-10,LI,2021-03-09,12.9,LI,TRUE,,
Control,Center,1397,20.7,2019-03-09,ACRU,LI,,20.6,2020-03-10,LI,2021-03-09,20.7,LI,TRUE,,
Control,Center,1398,4.2,2019-03-09,,DS,,,2020-03-10,DS,2021-03-09,,DS,TRUE,,
Control,Center,1399,26.7,2019-03-09,ACRU,LI,,,2020-03-10,DS,2021-03-09,,DS,TRUE,,
Control,Center,1400,18.3,2019-03-09,QUAL,LI,,18.7,2020-03-10,LI,2021-03-09,18.8,LI,TRUE,,
Control,Center,1401,14.4,2019-03-09,COFL2,LI,,14.4,2020-03-10,LI,2021-03-09,14.3,LI,TRUE,,SP
Control,Center,1402,19.9,2019-03-09,LIST2,LI,,19.6,2020-03-10,LI,2021-03-09,19.5,LI,TRUE,,
Control,West,1403,8.9,2019-03-09,FAGR,LI,,9,2020-03-10,LI,2021-03-09,9.3,LI,FALSE,,
Control,West,1404,5.7,2019-03-09,COFL2,LI,,5.8,2020-03-10,LI,2021-03-09,5.8,LI,TRUE,,
Control,West,1405,71.4,2019-03-09,QU??,LI,,70.8,2020-03-10,LI,2021-03-09,71,LI,TRUE,,
Control,West,1406,33.7,2019-03-09,LIST2,LI,,33.8,2020-03-10,LI,2021-03-09,33.9,LI,TRUE,,
Control,West,1407,37.2,2019-03-09,FAGR,LI,C13,37.5,2020-03-10,LI,2021-03-09,37.6,LI,TRUE,,
Control,West,1408,44.4,2019-03-09,LITU,LI,,44.8,2020-03-10,LI,2021-03-09,45.2,LI,FALSE,,
Control,West,1409,10,2019-03-09,QUAL,LI,,10,2020-03-10,LI,2021-03-09,10,LI,FALSE,,SP
Control,West,1410,17.8,2019-03-09,CAGL8,LI,,17.9,2020-03-10,LI,2021-03-09,18,LI,FALSE,,
Control,West,1411,58.3,2019-03-09,LITU,LI,C6,58.7,2020-03-10,LI,2021-03-09,59.4,LI,TRUE,,
Control,West,1412,24.5,2019-03-09,FAGR,LI,C14,24.9,2020-03-10,LI,2021-03-09,25.1,LI,TRUE,,
Control,West,1413,15.6,2019-03-09,LIST2,LI,,15.5,2020-03-10,LI,2021-03-09,15.5,LI,TRUE,,SP
Control,West,1414,13.3,2019-03-09,FAGR,LI,,13.4,2020-03-10,LI,2021-03-09,13.5,LI,TRUE,,
Control,West,1415,16.8,2019-03-09,LITU,LI,,16.8,2020-03-10,LI,2021-03-09,16.9,LI,TRUE,,
Control,West,1416,11.9,2019-03-09,NYSY,LI,,11.9,2020-03-10,LI,2021-03-09,11.9,LI,TRUE,,
Control,West,1417,32.3,2019-03-09,QUAL,LI,,32.4,2020-03-10,LI,2021-03-09,32.5,LI,FALSE,,
Control,West,1418,15.7,2019-03-09,FAGR,LI,,16.2,2020-03-10,LI,2021-03-09,16.4,LI,FALSE,,
Control,West,1419,56.5,2019-03-09,LITU,LI,,56.6,2020-03-10,LI,2021-03-09,57.3,LI,FALSE,,
Control,West,1420,8.6,2019-03-09,ACRU,LI,,8.5,2020-03-10,LI,2021-03-09,8.6,LI,TRUE,,
Control,West,1421,34.9,2019-03-09,QUVE,LI,,35.4,2020-03-10,LI,2021-03-09,35.9,LI,TRUE,,SP
Control,West,1422,21.1,2019-03-09,NYSY,LI,,21.1,2020-03-10,LI,2021-03-09,21.1,LI,TRUE,May be LIST,
Control,West,1423,12.5,2019-03-09,CAGL8,LI,,12.6,2020-03-10,LI,2021-03-09,12.6,LI,TRUE,,
Control,West,1424,12.6,2019-03-09,QUAL,LI,,12.7,2020-03-10,LI,2021-03-09,12.7,LI,TRUE,,
Control,West,1425,45.6,2019-03-09,LITU,LI,C3,46.2,2020-03-10,LI,2021-03-09,47.1,LI,TRUE,,
Control,West,1426,17.8,2019-03-09,QUAL,LI,,17.8,2020-03-10,LI,2021-03-09,18.1,LI,TRUE,,
Control,West,1427,26,2019-03-09,QUAL,LI,,26.2,2020-03-10,LI,2021-03-09,26.7,LI,TRUE,,
Control,West,1428,22.8,2019-03-09,CAGL8,LI,,23,2020-03-10,LI,2021-03-09,23.1,LI,TRUE,,
Control,West,1429,23.9,2019-03-09,CAGL8,LI,,24.1,2020-03-10,LI,2021-03-09,24.3,LI,TRUE,,
Control,West,1430,6.6,2019-03-09,COFL2,LI,,6.7,2020-03-10,LI,2021-03-09,6.8,LI,TRUE,,
Control,West,1431,11.6,2019-03-09,ACRU,LI,,11.4,2020-03-10,LI,2021-03-09,11.5,LI,TRUE,,SP
Control,West,1432,28.2,2019-03-09,FAGR,LI,C15,28.2,2020-03-10,LI,2021-03-09,28.5,LI,TRUE,,
Control,West,1433,9.8,2019-03-09,ACRU,LI,,9.7,2020-03-10,LI,2021-03-09,9.7,LI,TRUE,,
Control,West,1434,3.2,2019-03-09,COFL2,LI,,,2020-03-10,DS,2021-03-09,,DC,TRUE,,
Control,West,1435,29.8,2019-03-09,CAGL8,LI,,30,2020-03-10,LI,2021-03-09,30.2,LI,TRUE,,
Control,West,1436,25.8,2019-03-09,ACRU,LI,C8,25.8,2020-03-10,LI,2021-03-09,25.7,LI,TRUE,,
Control,West,1437,36.5,2019-03-09,ACRU,LI,,36.8,2020-03-10,LI,2021-03-09,37.7,DS,TRUE,,
Control,West,1438,9.9,2019-03-09,FAGR,LI,,10.2,2020-03-10,LI,2021-03-09,10.4,LI,TRUE,,
Control,West,1439,31.8,2019-03-09,ACRU,LI,C7,31.8,2020-03-10,LI,2021-03-09,32,LI,TRUE,,
Control,West,1440,15.9,2019-03-09,QUAL,LI,,15.9,2020-03-10,LI,2021-03-09,15.9,LI,TRUE,,
Control,West,1441,36,2019-03-09,QUFA,LI,,36.5,2020-03-10,LI,2021-03-09,36.7,LI,TRUE,,SP
Control,West,1442,7.6,2019-03-09,COFL2,LI,,7.6,2020-03-10,LI,2021-03-09,7.6,LI,TRUE,,
Control,West,1443,39.8,2019-03-09,,DS,,,2020-03-10,DS,2021-03-09,,DS,TRUE,,
Control,West,1444,17,2019-03-09,LIST2,LI,,17,2020-03-10,LI,2021-03-09,17,LI,TRUE,,
Control,West,1445,13.4,2019-03-09,FAGR,LI,,13.7,2020-03-10,LI,2021-03-09,14,LI,TRUE,,
Control,West,1446,17.2,2019-03-09,ACRU,LI,,,2020-03-10,DS,2021-03-09,,DC,TRUE,,
Control,West,1447,62.8,2019-03-09,LITU,LI,,62.1,2020-03-10,LI,2021-03-09,62.4,LI,TRUE,,
Control,West,1448,9,2019-03-09,ACRU,LI,,8.7,2020-03-10,LI,2021-03-09,8.8,DS,TRUE,,
Control,West,1449,16.6,2019-03-09,NYSY,LI,,16.8,2020-03-10,LI,2021-03-09,16.7,LI,TRUE,May be LIST,
Control,West,1450,44,2019-03-09,LITU,LI,,44.5,2020-03-10,LI,2021-03-09,45,LI,TRUE,,
Control,West,1451,,,ACRU,,,,,,2021-03-09,19.1,LI,TRUE,,
Control,Center,1452,,,FAGR,,C18,,,,2021-03-09,45.4,LI,TRUE,,
Fresh,West,1501,7.5,2019-02-24,FAGR,LI,,7.7,2020-03-10,LI,2021-03-09,7.8,LI,TRUE,,
Fresh,West,1502,61.5,2019-02-24,LITU,LI,,61.2,2020-03-10,LI,2021-03-09,60.8,LI,TRUE,,SP
