Plot,Sapflux_ID,Tree_ID,spp,Grid_Square,Well_Height_m
Control,C1,1384,LITU,F5,0.8
Control,C2,1385,LITU,F5,0.8
Control,C3,1425,LITU,C5,0.8
Control,C7_H,1439,ACRU,B3,1.3
Control,C7_L,1439,ACRU,B3,0.75
Control,C11_H,1395,ACRU,F2,0.8
Control,C11_L,1395,ACRU,F2,1.3
Control,C19_H,1451,ACRU,A1,1.3
Control,C19_L,1451,ACRU,A1,0.8
Control,C13,1407,FAGR,B8,0.8
Control,C14,1412,FAGR,B7,0.8
Control,C15,1432,FAGR,A4,0.7
Seawater,S1,1771,LITU,C5,0.8
Seawater,S2,1790,LITU,E5,0.8
Seawater,S3,1783,LITU,D7,0.75
Seawater,S7_H,1733,ACRU,D7,1.2
Seawater,S7_L,1733,ACRU,C6,0.75
Seawater,S8_H,1788,ACRU,C6,1.2
Seawater,S8_L,1788,ACRU,F2,0.8
Seawater,S9_H,1865,ACRU,F2,1.3
Seawater,S9_L,1865,ACRU,A2,0.8
Seawater,S13,1848,FAGR,I2,0.8
Seawater,S14,1851,FAGR,E4,0.85
Seawater,S15,1829,FAGR,B5,0.75
Freshwater,F1,1578,LITU,H5,0.75
Freshwater,F2,1576,LITU,G6,0.75
Freshwater,F3,1552,LITU,D5,0.85
Freshwater,F7_H,1520,ACRU,B5,1.3
Freshwater,F7_L,1520,ACRU,B5,0.75
Freshwater,F8_H,1521,ACRU,B4,1.3
Freshwater,F8_L,1521,ACRU,B4,0.8
Freshwater,F9_H,1592,ACRU,G3,1.3
Freshwater,F9_L,1592,ACRU,G3,0.9
Freshwater,F13,1519,FAGR,D6,0.8
Freshwater,F14,1543,FAGR,D7,0.75
Freshwater,F15,1516,FAGR,A6,0.85
