"TOA5","PNNL_32","CR1000X","29516","CR1000X.Std.05.01","CPU:Tempest_v5_8_1_21.CR1X","40249","sapflow"
"TIMESTAMP","RECORD","Statname","BattV_Avg","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)","DiffVolt_Avg(7)","DiffVolt_Avg(8)","DiffVolt_Avg(9)","DiffVolt_Avg(10)","DiffVolt_Avg(11)","DiffVolt_Avg(12)","DiffVolt_Avg(13)","DiffVolt_Avg(14)","DiffVolt(1)","DiffVolt(2)","DiffVolt(3)","DiffVolt(4)","DiffVolt(5)","DiffVolt(6)","DiffVolt(7)","DiffVolt(8)","DiffVolt(9)","DiffVolt(10)","DiffVolt(11)","DiffVolt(12)","DiffVolt(13)","DiffVolt(14)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-13 00:00:00",20767,"NAN",13.71,1.096,0.681,0.609,0.592,0.558,0.443,0.425,0.446,0,0,0,0,0,0,1.096,0.681,0.609,0.592,0.558,0.443,0.425,0.446,0,0,0,0,0,0
"2022-05-13 00:15:00",20768,"NAN",13.72,1.097,0.681,0.609,0.592,0.557,0.442,0.425,0.446,0,0,0,0,0,0,1.096,0.681,0.609,0.592,0.557,0.443,0.424,0.446,0,0,0,0,0,0
"2022-05-13 00:30:00",20769,"NAN",13.72,1.097,0.681,0.608,0.591,0.559,0.442,0.424,0.446,0,0,0,0,0,0,1.097,0.681,0.608,0.591,0.56,0.442,0.424,0.446,0,0,0,0,0,0
"2022-05-13 00:45:00",20770,"NAN",13.71,1.098,0.681,0.608,0.591,0.559,0.442,0.424,0.446,0,0,0,0,0,0,1.099,0.681,0.608,0.591,0.557,0.442,0.424,0.446,0,0,0,0,0,0
"2022-05-13 01:00:00",20771,"NAN",13.71,1.1,0.681,0.608,0.591,0.557,0.442,0.424,0.446,0,0,0,0,0,0,1.101,0.681,0.608,0.59,0.557,0.442,0.424,0.445,0,0,0,0,0,0
"2022-05-13 01:15:00",20772,"NAN",13.71,1.103,0.681,0.608,0.59,0.558,0.442,0.423,0.445,0,0,0,0,0,0,1.103,0.681,0.608,0.59,0.558,0.442,0.423,0.445,0,0,0,0,0,0
"2022-05-13 01:30:00",20773,"NAN",13.72,1.101,0.681,0.608,0.59,0.558,0.442,0.423,0.445,0,0,0,0,0,0,1.1,0.681,0.608,0.59,0.557,0.442,0.423,0.445,0,0,0,0,0,0
"2022-05-13 01:45:00",20774,"NAN",13.71,1.099,0.681,0.608,0.59,0.558,0.442,0.423,0.445,0,0,0,0,0,0,1.098,0.681,0.607,0.589,0.559,0.441,0.423,0.445,0,0,0,0,0,0
"2022-05-13 02:00:00",20775,"NAN",13.71,1.097,0.68,0.607,0.589,0.559,0.441,0.422,0.445,0,0,0,0,0,0,1.096,0.68,0.607,0.589,0.559,0.441,0.422,0.445,0,0,0,0,0,0
"2022-05-13 02:15:00",20776,"NAN",13.71,1.097,0.68,0.607,0.589,0.558,0.441,0.422,0.445,0,0,0,0,0,0,1.099,0.68,0.607,0.588,0.559,0.441,0.422,0.445,0,0,0,0,0,0
"2022-05-13 02:30:00",20777,"NAN",13.72,1.101,0.68,0.606,0.587,0.559,0.441,0.422,0.444,0,0,0,0,0,0,1.105,0.68,0.606,0.587,0.559,0.441,0.422,0.444,0,0,0,0,0,0
"2022-05-13 02:45:00",20778,"NAN",13.72,1.106,0.68,0.606,0.587,0.559,0.441,0.421,0.444,0,0,0,0,0,0,1.105,0.68,0.606,0.586,0.559,0.441,0.421,0.444,0,0,0,0,0,0
"2022-05-13 03:00:00",20779,"NAN",13.72,1.104,0.68,0.606,0.586,0.559,0.44,0.421,0.444,0,0,0,0,0,0,1.104,0.68,0.606,0.586,0.558,0.44,0.421,0.444,0,0,0,0,0,0
"2022-05-13 03:15:00",20780,"NAN",13.71,1.103,0.68,0.606,0.586,0.558,0.44,0.421,0.444,0,0,0,0,0,0,1.103,0.68,0.606,0.585,0.557,0.44,0.42,0.444,0,0,0,0,0,0
"2022-05-13 03:30:00",20781,"NAN",13.72,1.103,0.68,0.606,0.585,0.557,0.44,0.42,0.444,0,0,0,0,0,0,1.101,0.68,0.606,0.585,0.557,0.44,0.42,0.444,0,0,0,0,0,0
"2022-05-13 03:45:00",20782,"NAN",13.72,1.1,0.68,0.605,0.584,0.557,0.439,0.42,0.444,0,0,0,0,0,0,1.1,0.68,0.605,0.584,0.557,0.439,0.42,0.444,0,0,0,0,0,0
"2022-05-13 04:00:00",20783,"NAN",13.71,1.097,0.68,0.605,0.584,0.555,0.439,0.42,0.444,0,0,0,0,0,0,1.095,0.68,0.603,0.583,0.555,0.439,0.42,0.444,0,0,0,0,0,0
"2022-05-13 04:15:00",20784,"NAN",13.71,1.094,0.68,0.601,0.582,0.554,0.435,0.42,0.444,0,0,0,0,0,0,1.093,0.68,0.599,0.582,0.553,0.427,0.42,0.443,0,0,0,0,0,0
"2022-05-13 04:30:00",20785,"NAN",13.72,1.093,0.679,0.598,0.582,0.553,0.423,0.42,0.443,0,0,0,0,0,0,1.094,0.68,0.597,0.581,0.554,0.421,0.42,0.443,0,0,0,0,0,0
"2022-05-13 04:45:00",20786,"NAN",13.72,1.093,0.68,0.596,0.581,0.553,0.421,0.42,0.443,0,0,0,0,0,0,1.092,0.68,0.595,0.58,0.553,0.421,0.42,0.443,0,0,0,0,0,0
"2022-05-13 05:00:00",20787,"NAN",13.71,1.093,0.68,0.595,0.58,0.553,0.422,0.42,0.443,0,0,0,0,0,0,1.093,0.68,0.595,0.579,0.553,0.422,0.42,0.443,0,0,0,0,0,0
"2022-05-13 05:15:00",20788,"NAN",13.71,1.092,0.68,0.594,0.579,0.552,0.423,0.42,0.443,0,0,0,0,0,0,1.093,0.679,0.594,0.578,0.552,0.424,0.42,0.443,0,0,0,0,0,0
"2022-05-13 05:30:00",20789,"NAN",13.72,1.093,0.68,0.594,0.577,0.553,0.426,0.42,0.443,0,0,0,0,0,0,1.091,0.681,0.594,0.577,0.553,0.427,0.42,0.444,0,0,0,0,0,0
"2022-05-13 05:45:00",20790,"NAN",13.72,1.09,0.68,0.594,0.577,0.553,0.429,0.42,0.443,0,0,0,0,0,0,1.089,0.68,0.594,0.576,0.553,0.429,0.42,0.443,0,0,0,0,0,0
"2022-05-13 06:00:00",20791,"NAN",13.71,1.089,0.68,0.594,0.575,0.553,0.43,0.419,0.443,0,0,0,0,0,0,1.088,0.68,0.594,0.575,0.552,0.43,0.419,0.443,0,0,0,0,0,0
"2022-05-13 06:15:00",20792,"NAN",13.72,1.087,0.681,0.594,0.575,0.552,0.43,0.419,0.443,0,0,0,0,0,0,1.086,0.68,0.594,0.574,0.551,0.429,0.419,0.443,0,0,0,0,0,0
"2022-05-13 06:30:00",20793,"NAN",13.71,1.086,0.68,0.594,0.574,0.55,0.428,0.419,0.443,0,0,0,0,0,0,1.086,0.68,0.594,0.573,0.55,0.426,0.419,0.443,0,0,0,0,0,0
"2022-05-13 06:45:00",20794,"NAN",13.72,1.087,0.68,0.591,0.573,0.551,0.424,0.419,0.443,0,0,0,0,0,0,1.087,0.68,0.589,0.573,0.55,0.426,0.419,0.443,0,0,0,0,0,0
"2022-05-13 07:00:00",20795,"NAN",13.71,1.086,0.68,0.587,0.572,0.549,0.428,0.419,0.443,0,0,0,0,0,0,1.085,0.68,0.585,0.571,0.547,0.429,0.419,0.443,0,0,0,0,0,0
"2022-05-13 07:15:00",20796,"NAN",13.72,1.088,0.68,0.581,0.571,0.549,0.429,0.419,0.443,0,0,0,0,0,0,1.089,0.68,0.578,0.57,0.551,0.429,0.419,0.443,0,0,0,0,0,0
"2022-05-13 07:30:00",20797,"NAN",13.72,1.089,0.681,0.578,0.57,0.551,0.43,0.419,0.443,0,0,0,0,0,0,1.089,0.681,0.579,0.569,0.55,0.43,0.419,0.443,0,0,0,0,0,0
"2022-05-13 07:45:00",20798,"NAN",13.72,1.09,0.681,0.576,0.569,0.551,0.43,0.419,0.443,0,0,0,0,0,0,1.093,0.681,0.571,0.568,0.552,0.43,0.419,0.443,0,0,0,0,0,0
