site,plot_name,plot_id,treatment_name,transect,warming_level,co2_level,treatment,logger,link
C3,C3_tr1_T0,310,T0,tr1,amb,amb,amb_x_amb,c3log,logger
C3,C3e_tr1_T0,610,eT0,tr1,amb,elev,amb_x_elev,c3log,logger
C3,C3_tr1_T1,311,T1,tr1,1.7,amb,1.7_x_amb,c3log,logger
C3,C3_tr1_T2,312,T2,tr1,3.4,amb,3.4_x_amb,c3log,logger
C3,C3_tr1_T3,313,T3,tr1,5.1,amb,5.1_x_amb,c3log,logger
C3,C3e_tr1_T3,613,eT3,tr1,5.1,elev,5.1_x_elev,c3log,logger
C3,C3_tr2_T0,320,T0,tr2,amb,amb,amb_x_amb,c3log,logger
C3,C3e_tr2_T0,620,eT0,tr2,amb,elev,amb_x_elev,c3log,logger
C3,C3_tr2_T1,321,T1,tr2,1.7,amb,1.7_x_amb,c3log,logger
C3,C3_tr2_T2,322,T2,tr2,3.4,amb,3.4_x_amb,c3log,logger
C3,C3_tr2_T3,323,T3,tr2,5.1,amb,5.1_x_amb,c3log,logger
C3,C3e_tr2_T3,623,eT3,tr2,5.1,elev,5.1_x_elev,c3log,logger
C3,C3_tr3_T0,330,T0,tr3,amb,amb,amb_x_amb,c3log,logger
C3,C3e_tr3_T0,630,eT0,tr3,amb,elev,amb_x_elev,c3log,logger
C3,C3_tr3_T1,331,T1,tr3,1.7,amb,1.7_x_amb,c3log,logger
C3,C3_tr3_T2,332,T2,tr3,3.4,amb,3.4_x_amb,c3log,logger
C3,C3_tr3_T3,333,T3,tr3,5.1,amb,5.1_x_amb,c3log,logger
C3,C3e_tr3_T3,633,eT3,tr3,5.1,elev,5.1_x_elev,c3log,logger
C4,C4_tr4_T0,440,T0,tr4,amb,amb,amb_x_amb,c4log,logger
C4,C4_tr4_T1,441,T1,tr4,1.7,amb,1.7_x_amb,c4log,logger
C4,C4_tr4_T2,442,T2,tr4,3.4,amb,3.4_x_amb,c4log,logger
C4,C4_tr4_T3,443,T3,tr4,5.1,amb,5.1_x_amb,c4log,logger
C4,C4_tr5_T0,450,T0,tr5,amb,amb,amb_x_amb,c4log,logger
C4,C4_tr5_T1,451,T1,tr5,1.7,amb,1.7_x_amb,c4log,logger
C4,C4_tr5_T2,452,T2,tr5,3.4,amb,3.4_x_amb,c4log,logger
C4,C4_tr5_T3,453,T3,tr5,5.1,amb,5.1_x_amb,c4log,logger
C4,C4_tr6_T0,460,T0,tr6,amb,amb,amb_x_amb,c4log,logger
C4,C4_tr6_T1,461,T1,tr6,1.7,amb,1.7_x_amb,c4log,logger
C4,C4_tr6_T2,462,T2,tr6,3.4,amb,3.4_x_amb,c4log,logger
C4,C4_tr6_T3,463,T3,tr6,5.1,amb,5.1_x_amb,c4log,logger
C3,C3_tr1_T0,310,T0,tr1,amb,amb,amb_x_amb,c3log,310
C3,C3e_tr1_T0,610,eT0,tr1,amb,elev,amb_x_elev,c3log,610
C3,C3_tr1_T1,311,T1,tr1,1.7,amb,1.7_x_amb,c3log,311
C3,C3_tr1_T2,312,T2,tr1,3.4,amb,3.4_x_amb,c3log,312
C3,C3_tr1_T3,313,T3,tr1,5.1,amb,5.1_x_amb,c3log,313
C3,C3e_tr1_T3,613,eT3,tr1,5.1,elev,5.1_x_elev,c3log,613
C3,C3_tr2_T0,320,T0,tr2,amb,amb,amb_x_amb,c3log,320
C3,C3e_tr2_T0,620,eT0,tr2,amb,elev,amb_x_elev,c3log,620
C3,C3_tr2_T1,321,T1,tr2,1.7,amb,1.7_x_amb,c3log,321
C3,C3_tr2_T2,322,T2,tr2,3.4,amb,3.4_x_amb,c3log,322
C3,C3_tr2_T3,323,T3,tr2,5.1,amb,5.1_x_amb,c3log,323
C3,C3e_tr2_T3,623,eT3,tr2,5.1,elev,5.1_x_elev,c3log,623
C3,C3_tr3_T0,330,T0,tr3,amb,amb,amb_x_amb,c3log,330
C3,C3e_tr3_T0,630,eT0,tr3,amb,elev,amb_x_elev,c3log,630
C3,C3_tr3_T1,331,T1,tr3,1.7,amb,1.7_x_amb,c3log,331
C3,C3_tr3_T2,332,T2,tr3,3.4,amb,3.4_x_amb,c3log,332
C3,C3_tr3_T3,333,T3,tr3,5.1,amb,5.1_x_amb,c3log,333
