Plot,Section,Tree_ID,Grid,Species_code,Sapflux_ID,In_Plot,Year,Date,DBH,Status,Notes
C,East,915,H3,,,TRUE,2019,,,,
C,East,915,H3,,,TRUE,2020,,,,
C,East,915,H3,,,TRUE,2021,,,,
C,East,915,H3,,,TRUE,2022,,,,
C,East,915,H3,,,TRUE,2023,,,,
C,East,915,H3,,,TRUE,2024,2024-02-27,1.5,LI,
C,East,915,H3,,,TRUE,2025,2025-03-07,1.5,LI,
C,East,1301,I6,COFL2,,FALSE,2019,2019-03-09,10.7,LI,
C,East,1301,I6,COFL2,,FALSE,2020,2020-03-10,10.7,LI,
C,East,1301,I6,COFL2,,FALSE,2021,2021-03-09,10.6,LI,
C,East,1301,I6,COFL2,,FALSE,2022,2022-03-04,10.6,LI,
C,East,1301,I6,COFL2,,FALSE,2023,2023-03-09,10.5,LI,
C,East,1301,I6,COFL2,,FALSE,2024,2024-02-27,10.6,LI,
C,East,1301,I6,COFL2,,FALSE,2025,2025-03-07,10.5,LI,
C,East,1302,I8,ACRU,,FALSE,2019,2019-03-09,11.7,LI,2025: topped
C,East,1302,I8,ACRU,,FALSE,2020,2020-03-10,11.7,LI,2025: topped
C,East,1302,I8,ACRU,,FALSE,2021,2021-03-09,11.7,LI,2025: topped
C,East,1302,I8,ACRU,,FALSE,2022,2022-03-04,11.7,LI,2025: topped
C,East,1302,I8,ACRU,,FALSE,2023,2023-03-09,11.7,LI,2025: topped
C,East,1302,I8,ACRU,,FALSE,2024,2024-02-27,11.7,LI,2025: topped
C,East,1302,I8,ACRU,,FALSE,2025,2025-03-07,11.7,LI,2025: topped
C,East,1303,I8,ACRU,,FALSE,2019,2019-03-09,18.7,LI,
C,East,1303,I8,ACRU,,FALSE,2020,2020-03-10,18.9,LI,
C,East,1303,I8,ACRU,,FALSE,2021,2021-03-09,19.1,LI,
C,East,1303,I8,ACRU,,FALSE,2022,2022-03-04,19.1,LI,
C,East,1303,I8,ACRU,,FALSE,2023,2023-03-09,19.3,LI,
C,East,1303,I8,ACRU,,FALSE,2024,2024-02-27,19.3,LI,
C,East,1303,I8,ACRU,,FALSE,2025,2025-03-07,19.4,LI,
C,East,1304,H8,LIST2,,TRUE,2019,2019-03-09,51.8,LI,
C,East,1304,H8,LIST2,,TRUE,2020,2020-03-10,52.2,LI,
C,East,1304,H8,LIST2,,TRUE,2021,2021-03-09,52.1,LI,
C,East,1304,H8,LIST2,,TRUE,2022,2022-03-04,52.9,LI,
C,East,1304,H8,LIST2,,TRUE,2023,2023-03-09,52.5,LI,
C,East,1304,H8,LIST2,,TRUE,2024,2024-02-27,53.3,LI,
C,East,1304,H8,LIST2,,TRUE,2025,2025-03-07,53.2,LI,
C,East,1305,H8,LIST2,,TRUE,2019,2019-03-09,35.2,LI,
C,East,1305,H8,LIST2,,TRUE,2020,2020-03-10,35,LI,
C,East,1305,H8,LIST2,,TRUE,2021,2021-03-09,35.5,LI,
C,East,1305,H8,LIST2,,TRUE,2022,2022-03-04,35.5,LI,
C,East,1305,H8,LIST2,,TRUE,2023,2023-03-09,34.9,LI,
C,East,1305,H8,LIST2,,TRUE,2024,2024-02-27,34.9,LI,
C,East,1305,H8,LIST2,,TRUE,2025,2025-03-07,34.9,LI,
C,East,1306,H7,LIST2,,TRUE,2019,2019-03-09,21.9,LI,
C,East,1306,H7,LIST2,,TRUE,2020,2020-03-10,22.4,LI,
C,East,1306,H7,LIST2,,TRUE,2021,2021-03-09,21.9,LI,
C,East,1306,H7,LIST2,,TRUE,2022,2022-03-04,21.9,LI,
C,East,1306,H7,LIST2,,TRUE,2023,2023-03-09,21.9,LI,
C,East,1306,H7,LIST2,,TRUE,2024,2024-02-27,22,LI,
C,East,1306,H7,LIST2,,TRUE,2025,2025-03-07,22,LI,
C,East,1307,H7,,,TRUE,2019,2019-03-09,22.6,DS,
C,East,1307,H7,,,TRUE,2020,2020-03-10,,DS,
C,East,1307,H7,,,TRUE,2021,2021-03-09,,DS,
C,East,1307,H7,,,TRUE,2022,2022-03-04,,DS,
C,East,1307,H7,,,TRUE,2023,2023-03-09,,DS,
C,East,1307,H7,,,TRUE,2024,2024-02-27,,DS,
C,East,1307,H7,,,TRUE,2025,2025-03-07,,DS,
C,East,1308,H7,FAGR,,TRUE,2019,2019-03-09,5.9,LI,
C,East,1308,H7,FAGR,,TRUE,2020,2020-03-10,6,LI,
C,East,1308,H7,FAGR,,TRUE,2021,2021-03-09,6.1,LI,
C,East,1308,H7,FAGR,,TRUE,2022,2022-03-04,6.3,LI,
C,East,1308,H7,FAGR,,TRUE,2023,2023-03-09,6.3,LI,
C,East,1308,H7,FAGR,,TRUE,2024,2024-02-27,6.4,LI,
C,East,1308,H7,FAGR,,TRUE,2025,2025-03-07,6.3,LI,
C,East,1309,I7,FAGR,,TRUE,2019,2019-03-09,11.6,LI,
C,East,1309,I7,FAGR,,TRUE,2020,2020-03-10,12,LI,
C,East,1309,I7,FAGR,,TRUE,2021,2021-03-09,12.2,LI,
C,East,1309,I7,FAGR,,TRUE,2022,2022-03-04,12.6,LI,
C,East,1309,I7,FAGR,,TRUE,2023,2023-03-09,12.9,LI,
C,East,1309,I7,FAGR,,TRUE,2024,2024-02-27,13.3,LI,
C,East,1309,I7,FAGR,,TRUE,2025,2025-03-07,13.5,LI,
C,East,1310,I7,LIST2,,TRUE,2019,2019-03-09,29.1,LI,
C,East,1310,I7,LIST2,,TRUE,2020,2020-03-10,28.9,LI,
C,East,1310,I7,LIST2,,TRUE,2021,2021-03-09,29.2,LI,
C,East,1310,I7,LIST2,,TRUE,2022,2022-03-04,29.1,LI,
C,East,1310,I7,LIST2,,TRUE,2023,2023-03-09,29.3,LI,
C,East,1310,I7,LIST2,,TRUE,2024,2024-02-27,29.2,LI,
C,East,1310,I7,LIST2,,TRUE,2025,2025-03-07,29.1,LI,
C,East,1311,I7,LIST2,,TRUE,2019,2019-03-09,37.2,LI,
C,East,1311,I7,LIST2,,TRUE,2020,2020-03-10,37.3,LI,
C,East,1311,I7,LIST2,,TRUE,2021,2021-03-09,37.3,LI,
C,East,1311,I7,LIST2,,TRUE,2022,2022-03-04,37.2,LI,
C,East,1311,I7,LIST2,,TRUE,2023,2023-03-09,37.3,LI,
C,East,1311,I7,LIST2,,TRUE,2024,2024-02-27,37.5,LI,
C,East,1311,I7,LIST2,,TRUE,2025,2025-03-07,37.3,LI,
C,East,1312,I7,CAGL8,,TRUE,2019,2019-03-09,26.3,LI,
C,East,1312,I7,CAGL8,,TRUE,2020,2020-03-10,26.5,LI,
