"TOA5","PNNL_32","CR1000","86633","CR1000.Std.31.03","CPU:Tempest_v3a.CR1","59684","Terosdata"
"TIMESTAMP","RECORD","Statname","Teros(1,1)","Teros(1,2)","Teros(1,3)","Teros(2,1)","Teros(2,2)","Teros(2,3)","Teros(3,1)","Teros(3,2)","Teros(3,3)","Teros(4,1)","Teros(4,2)","Teros(4,3)","Teros(5,1)","Teros(5,2)","Teros(5,3)","Teros(6,1)","Teros(6,2)","Teros(6,3)","Teros(7,1)","Teros(7,2)","Teros(7,3)","Teros(8,1)","Teros(8,2)","Teros(8,3)","Teros(9,1)","Teros(9,2)","Teros(9,3)","Teros(10,1)","Teros(10,2)","Teros(10,3)","Teros(11,1)","Teros(11,2)","Teros(11,3)","Teros(12,1)","Teros(12,2)","Teros(12,3)","Teros(13,1)","Teros(13,2)","Teros(13,3)","Teros(14,1)","Teros(14,2)","Teros(14,3)","Teros(15,1)","Teros(15,2)","Teros(15,3)","Teros(16,1)","Teros(16,2)","Teros(16,3)","Teros(17,1)","Teros(17,2)","Teros(17,3)","Teros(18,1)","Teros(18,2)","Teros(18,3)","Teros(19,1)","Teros(19,2)","Teros(19,3)","Teros(20,1)","Teros(20,2)","Teros(20,3)","Teros(21,1)","Teros(21,2)","Teros(21,3)","Teros(22,1)","Teros(22,2)","Teros(22,3)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-03-19 00:00:00",30570,"PNNL_32","NAN","NAN","NAN","NAN","NAN","NAN",2805.45,7.8,49,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2676.47,7.6,77,"NAN","NAN","NAN",2839.08,8,87,"NAN","NAN","NAN",2830.5,7.6,53,"NAN","NAN","NAN",2673.2,7.9,57,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-03-19 00:15:00",30571,"PNNL_32","NAN","NAN","NAN","NAN","NAN","NAN",2805.6,7.8,48,2687.36,7.7,78,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2816.56,8,76,2730.43,7.9,41,2671.62,7.6,71,"NAN","NAN","NAN",2838.09,8,80,"NAN","NAN","NAN",2830.4,7.6,51,2865.21,8,106,2673.27,7.9,74,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-03-19 00:30:00",30572,"PNNL_32","NAN","NAN","NAN","NAN","NAN","NAN",2803.6,7.8,46,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2671.59,7.6,68,"NAN","NAN","NAN",2837.74,8,82,"NAN","NAN","NAN",2830.52,7.6,50,2865.19,8,104,2673.71,7.9,65,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-03-19 00:45:00",30573,"PNNL_32",2691.1,7.7,105,"NAN","NAN","NAN",2804.48,7.8,58,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2819.98,8,69,"NAN","NAN","NAN",2670.33,7.6,70,"NAN","NAN","NAN",2838.03,8,83,"NAN","NAN","NAN",2829.9,7.6,55,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-03-19 01:00:00",30574,"PNNL_32",2688.48,7.7,99,"NAN","NAN","NAN",2803.83,7.8,49,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2821.08,7.9,77,2729.4,7.9,38,2670.82,7.6,76,"NAN","NAN","NAN",2836.7,8,81,"NAN","NAN","NAN",2829.56,7.6,50,2861.75,8,97,2672.99,7.9,70,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-03-19 01:15:00",30575,"PNNL_32",2686.97,7.7,102,"NAN","NAN","NAN",2805.26,7.8,48,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2821.07,7.9,82,"NAN","NAN","NAN",2673.03,7.6,70,"NAN","NAN","NAN",2837.55,8,79,"NAN","NAN","NAN",2829.94,7.6,52,2859.21,8,111,2672.77,7.8,70,2746.13,7.5,35,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-03-19 01:30:00",30576,"PNNL_32",2685.43,7.7,100,"NAN","NAN","NAN",2803.51,7.8,52,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2816.88,7.9,72,2728.61,7.9,25,2670.32,7.6,74,"NAN","NAN","NAN",2836.29,8,71,"NAN","NAN","NAN",2835.42,7.6,50,"NAN","NAN","NAN",2672.33,7.8,66,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-03-19 01:45:00",30577,"PNNL_32","NAN","NAN","NAN","NAN","NAN","NAN",2798.27,7.8,58,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2817.44,7.9,72,"NAN","NAN","NAN",2670.46,7.6,70,"NAN","NAN","NAN",2836.06,8,78,"NAN","NAN","NAN",2836,7.6,50,"NAN","NAN","NAN",2671.92,7.8,62,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
